,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2010-2018,42,158,52*,13.16,0,82,6/43,20.10,3,12,0,-6.94
2,in England,2013-2019,18,74,29,8.22,0,38,5/26,24.28,2,4,0,-16.06
3,in India,2010-2010,1,-,-,-,-,0,-,-,0,0,0,-
4,in Ireland,2015-2015,1,-,-,-,-,2,2/34,17.00,0,0,0,-
5,in New Zealand,2015-2017,3,32,29*,16.00,0,10,6/28,14.90,1,3,0,1.10
6,in Sri Lanka,2016-2016,5,17,12,8.50,0,12,3/32,18.16,0,1,0,-9.66
7,in U.A.E.,2012-2014,5,17,11*,17.00,0,14,5/42,15.42,1,1,0,1.57
8,in West Indies,2016-2016,5,17,17,17.00,0,8,3/43,21.37,0,0,0,-4.37
9,in Zimbabwe,2014-2014,5,33,29*,33.00,0,6,2/23,33.33,0,1,0,-0.33
11,in Africa,2014-2014,5,33,29*,33.00,0,6,2/23,33.33,0,1,0,-0.33
12,in Americas,2016-2016,5,17,17,17.00,0,8,3/43,21.37,0,0,0,-4.37
13,in Asia,2010-2016,11,34,12,11.33,0,26,5/42,18.65,1,2,0,-7.32
14,in Europe,2013-2019,19,74,29,8.22,0,40,5/26,23.92,2,4,0,-15.70
15,in Oceania,2010-2018,45,190,52*,13.57,0,92,6/28,19.54,4,15,0,-5.97
17,home,2010-2018,42,158,52*,13.16,0,82,6/43,20.10,3,12,0,-6.94
18,away,2010-2019,23,108,29*,10.80,0,45,6/28,24.20,1,6,0,-13.39
19,neutral,2012-2019,20,82,29*,13.66,0,45,5/26,19.40,3,4,0,-5.73
21,year 2010,,2,-,-,-,-,4,4/27,19.50,0,0,0,-
22,year 2012,,9,43,17,21.50,0,18,5/42,21.27,1,2,0,0.22
23,year 2013,,8,79,52*,79.00,0,15,5/20,18.40,2,2,0,60.60
24,year 2014,,9,39,29*,19.50,0,12,4/32,30.41,0,1,0,-10.91
25,year 2015,,18,2,1*,0.66,0,41,6/28,16.26,2,7,0,-15.60
26,year 2016,,13,45,17,11.25,0,26,3/32,19.69,0,2,0,-8.44
27,year 2017,,9,51,29*,10.20,0,18,4/29,23.16,0,4,0,-12.96
28,year 2018,,7,21,12,4.20,0,11,4/59,37.36,0,1,0,-33.16
