,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2014-2018,9,84,34,21.00,0,16,4/48,24.56,0,1,0,-3.56
2,in England,2013-2019,8,105,92,35.00,0,8,2/39,50.37,0,1,0,-15.37
3,in India,2013-2019,8,45,28,7.50,0,13,3/44,33.00,0,3,0,-25.49
4,in Ireland,2015-2015,1,-,-,-,-,3,3/13,4.33,0,1,0,-
5,in U.A.E.,2019-2019,3,2,2*,-,0,7,3/53,23.71,0,0,0,-
6,in West Indies,2016-2016,3,16,15,8.00,0,5,2/38,30.20,0,1,0,-22.19
8,in Americas,2016-2016,3,16,15,8.00,0,5,2/38,30.20,0,1,0,-22.19
9,in Asia,2013-2019,11,47,28,7.83,0,20,3/44,29.75,0,3,0,-21.91
10,in Europe,2013-2019,9,105,92,35.00,0,11,3/13,37.81,0,2,0,-2.81
11,in Oceania,2014-2018,9,84,34,21.00,0,16,4/48,24.56,0,1,0,-3.56
13,home,2014-2018,9,84,34,21.00,0,16,4/48,24.56,0,1,0,-3.56
14,away,2013-2019,14,68,28,9.71,0,23,3/13,29.47,0,5,0,-19.76
15,neutral,2016-2019,9,100,92,25.00,0,13,3/53,37.23,0,1,0,-12.23
17,year 2013,,2,10,7*,10.00,0,1,1/34,114.00,0,0,0,-103.99
18,year 2014,,8,50,16,16.66,0,15,4/48,24.46,0,1,0,-7.79
19,year 2015,,3,0,0*,-,0,6,3/13,17.00,0,2,0,-
20,year 2016,,3,16,15,8.00,0,5,2/38,30.20,0,1,0,-22.19
21,year 2017,,5,10,8,3.33,0,10,3/44,25.10,0,3,0,-21.76
22,year 2018,,1,34,34,34.00,0,1,1/26,26.00,0,0,0,8.00
23,year 2019,,10,132,92,26.40,0,14,3/53,38.85,0,0,0,-12.45
25,season 2013,,1,7,7*,-,0,1,1/34,34.00,0,0,0,-
26,season 2013/14,,6,42,16,14.00,0,10,3/34,32.90,0,1,0,-18.89
27,season 2014/15,,3,11,9*,11.00,0,5,4/48,23.60,0,0,0,-12.59
28,season 2015,,3,0,0*,-,0,6,3/13,17.00,0,2,0,-
29,season 2016,,3,16,15,8.00,0,5,2/38,30.20,0,1,0,-22.19
30,season 2017/18,,5,10,8,3.33,0,10,3/44,25.10,0,3,0,-21.76
31,season 2018/19,,6,68,34,22.66,0,11,3/53,26.36,0,0,0,-3.69
32,season 2019,,5,98,92,32.66,0,4,2/58,70.00,0,0,0,-37.33
34,*GJ Bailey,2013-2014,4,13,8*,6.50,0,2,1/16,106.00,0,0,0,-99.49
35,*MJ Clarke,2013-2014,6,47,16,23.50,0,14,4/48,19.21,0,1,0,4.28
36,*AJ Finch,2018-2019,11,166,92,27.66,0,15,3/53,38.00,0,0,0,-10.33
37,*SPD Smith,2015-2017,11,26,15,5.20,0,21,3/13,24.00,0,6,0,-18.79
39,is not captain,2013-2019,32,252,92,16.80,0,52,4/48,29.90,0,7,0,-13.10
41,is not keeper,2013-2019,32,252,92,16.80,0,52,4/48,29.90,0,7,0,-13.10
43,won the toss,2013-2019,13,75,28,10.71,0,19,3/13,33.68,0,2,0,-22.96
44,lost the toss,2013-2019,19,177,92,22.12,0,33,4/48,27.72,0,5,0,-5.60
46,won toss & batted,2014-2019,10,60,28,12.00,0,17,3/13,26.23,0,2,0,-14.23
47,won toss & fielded,2013-2019,3,15,8*,7.50,0,2,1/52,97.00,0,0,0,-89.49
48,lost toss & sent in,2013-2019,8,147,92,49.00,0,13,4/48,30.84,0,1,0,18.15
49,lost toss & fielded,2014-2019,11,30,16,6.00,0,20,3/44,25.70,0,4,0,-19.69
51,matches batting first,2013-2019,18,207,92,25.87,0,30,4/48,28.23,0,3,0,-2.35
52,matches fielding first,2013-2019,14,45,16,6.42,0,22,3/44,32.18,0,4,0,-25.75
54,1st match innings,2013-2019,32,207,92,25.87,0,22,3/44,32.18,0,4,0,-6.30
55,2nd match innings,2013-2019,32,45,16,6.42,0,30,4/48,28.23,0,3,0,-21.80
57,day match,2013-2019,11,158,92,31.60,0,15,4/48,35.40,0,2,0,-3.79
58,day/night match,2013-2019,21,94,28,9.40,0,37,3/34,27.67,0,5,0,-18.27
60,won match,2014-2019,18,151,92,30.20,0,33,4/48,25.39,0,3,0,4.80
61,lost match,2013-2019,14,101,34,10.10,0,19,3/44,37.73,0,4,0,-27.63
63,won batting first,2014-2019,11,135,92,33.75,0,22,4/48,23.63,0,2,0,10.11
64,won fielding first,2014-2019,7,16,16,16.00,0,11,3/47,28.90,0,1,0,-12.90
65,lost batting first,2013-2019,7,72,34,18.00,0,8,2/46,40.87,0,1,0,-22.87
66,lost fielding first,2013-2019,7,29,8*,4.83,0,11,3/44,35.45,0,3,0,-30.62
68,2 team series,2013-2019,24,138,34,13.80,0,43,4/48,26.13,0,6,0,-12.33
69,3-4 team tournaments,2016-2016,3,16,15,8.00,0,5,2/38,30.20,0,1,0,-22.19
70,5+ team tournaments,2019-2019,5,98,92,32.66,0,4,2/58,70.00,0,0,0,-37.33
72,only match in series,2015-2015,1,-,-,-,-,3,3/13,4.33,0,1,0,-
73,1st match in series,2014-2019,7,73,34,24.33,0,15,4/48,21.00,0,2,0,3.33
74,2nd match in series,2014-2019,6,30,16,7.50,0,9,3/51,34.88,0,2,0,-27.38
75,3rd match in series,2014-2017,2,-,-,-,-,4,3/47,26.25,0,0,0,-
76,4th match in series,2013-2019,5,17,8*,-,0,8,3/53,27.62,0,0,0,-
77,5th match in series,2014-2017,2,15,15,7.50,0,4,3/34,19.00,0,1,0,-11.49
78,7th match in series,2013-2013,1,3,3,3.00,0,0,-,-,0,0,0,-
80,World Cup,2019-2019,5,98,92,32.66,0,4,2/58,70.00,0,0,0,-37.33
82,tournament finals,2016-2016,1,15,15,15.00,0,1,1/46,46.00,0,0,0,-30.99
83,preliminary matches,2016-2019,7,99,92,24.75,0,8,2/38,48.12,0,1,0,-23.37
