,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2012-2019,5,12,12*,12.00,0,1,1/76,279.00,0,1,0,-266.99
2,in England,2018-2019,6,12,5*,6.00,0,4,2/53,62.75,0,2,0,-56.74
3,in India,2019-2019,3,7,6*,-,0,3,1/34,44.33,0,0,0,-
4,in Sri Lanka,2016-2016,1,4,4*,-,0,1,1/49,49.00,0,0,0,-
5,in U.A.E.,2014-2019,7,-,-,-,-,8,2/33,40.25,0,3,0,-
6,in West Indies,2012-2016,3,34,30,34.00,0,5,3/39,24.00,0,1,0,10.00
7,in Zimbabwe,2014-2014,4,8,8*,-,0,7,4/44,25.71,0,0,0,-
9,in Africa,2014-2014,4,8,8*,-,0,7,4/44,25.71,0,0,0,-
10,in Americas,2012-2016,3,34,30,34.00,0,5,3/39,24.00,0,1,0,10.00
11,in Asia,2014-2019,11,11,6*,-,0,12,2/33,42.00,0,3,0,-
12,in Europe,2018-2019,6,12,5*,6.00,0,4,2/53,62.75,0,2,0,-56.74
13,in Oceania,2012-2019,5,12,12*,12.00,0,1,1/76,279.00,0,1,0,-266.99
15,home,2012-2019,5,12,12*,12.00,0,1,1/76,279.00,0,1,0,-266.99
16,away,2012-2019,12,32,8*,32.00,0,15,4/44,34.00,0,2,0,-1.99
17,neutral,2014-2019,12,33,30,16.50,0,13,2/33,41.92,0,4,0,-25.42
19,year 2012,,2,4,4*,4.00,0,1,1/41,77.00,0,1,0,-72.99
20,year 2014,,6,8,8*,-,0,10,4/44,25.30,0,0,0,-
21,year 2016,,5,34,30,34.00,0,6,3/39,43.66,0,1,0,-9.66
22,year 2018,,2,4,3*,4.00,0,1,1/38,70.00,0,1,0,-65.99
23,year 2019,,14,27,12*,27.00,0,11,2/53,61.09,0,4,0,-34.09
25,season 2011/12,,2,4,4*,4.00,0,1,1/41,77.00,0,1,0,-72.99
26,season 2014,,4,8,8*,-,0,7,4/44,25.71,0,0,0,-
27,season 2014/15,,2,-,-,-,-,3,2/33,24.33,0,0,0,-
28,season 2015/16,,2,-,-,-,-,1,1/76,134.00,0,0,0,-
29,season 2016,,3,34,30,34.00,0,5,3/39,25.60,0,1,0,8.40
30,season 2018,,2,4,3*,4.00,0,1,1/38,70.00,0,1,0,-65.99
31,season 2018/19,,10,19,12*,-,0,8,1/34,61.37,0,3,0,-
32,season 2019,,4,8,5*,8.00,0,3,2/53,60.33,0,1,0,-52.33
34,*GJ Bailey,2014-2014,5,0,0*,-,0,6,2/33,34.83,0,0,0,-
35,*MJ Clarke,2014-2014,1,8,8*,-,0,4,4/44,11.00,0,0,0,-
36,*AJ Finch,2019-2019,14,27,12*,27.00,0,11,2/53,61.09,0,4,0,-34.09
37,*TD Paine,2018-2018,2,4,3*,4.00,0,1,1/38,70.00,0,1,0,-65.99
38,*SPD Smith,2016-2016,5,34,30,34.00,0,6,3/39,43.66,0,1,0,-9.66
39,*SR Watson,2012-2012,2,4,4*,4.00,0,1,1/41,77.00,0,1,0,-72.99
41,is not captain,2012-2019,29,77,30,19.25,0,29,4/44,46.00,0,7,0,-26.74
43,is not keeper,2012-2019,29,77,30,19.25,0,29,4/44,46.00,0,7,0,-26.74
45,won the toss,2012-2019,14,40,12*,40.00,0,16,4/44,38.81,0,3,0,1.18
46,lost the toss,2012-2019,15,37,30,12.33,0,13,2/42,54.84,0,4,0,-42.51
48,won toss & batted,2012-2019,12,34,12*,34.00,0,12,4/44,45.00,0,2,0,-10.99
49,won toss & fielded,2016-2019,2,6,6*,-,0,4,3/39,20.25,0,1,0,-
50,lost toss & sent in,2012-2019,9,0,0*,0.00,0,6,2/42,71.50,0,3,0,-71.49
51,lost toss & fielded,2014-2019,6,37,30,18.50,0,7,2/53,40.57,0,1,0,-22.07
53,matches batting first,2012-2019,21,34,12*,17.00,0,18,4/44,53.83,0,5,0,-36.83
54,matches fielding first,2014-2019,8,43,30,21.50,0,11,3/39,33.18,0,2,0,-11.68
56,1st match innings,2012-2019,29,34,12*,17.00,0,11,3/39,33.18,0,2,0,-16.18
57,2nd match innings,2012-2019,29,43,30,21.50,0,18,4/44,53.83,0,5,0,-32.33
59,day match,2012-2019,8,18,8*,18.00,0,8,4/44,43.12,0,1,0,-25.12
60,day/night match,2012-2019,21,59,30,19.66,0,21,3/39,47.09,0,6,0,-27.42
62,won match,2012-2019,17,1,1*,1.00,0,18,3/39,43.77,0,6,0,-42.77
63,lost match,2014-2019,11,72,30,24.00,0,10,4/44,50.50,0,1,0,-26.49
64,tied match,2012-2012,1,4,4*,-,0,1,1/41,41.00,0,0,0,-
66,won batting first,2012-2019,13,1,1*,1.00,0,12,2/33,50.58,0,4,0,-49.58
67,won fielding first,2014-2019,4,-,-,-,-,6,3/39,30.16,0,2,0,-
68,lost batting first,2014-2019,7,29,12*,29.00,0,5,4/44,64.20,0,1,0,-35.19
69,lost fielding first,2016-2019,4,43,30,21.50,0,5,2/53,36.80,0,0,0,-15.29
70,tied batting first,2012-2012,1,4,4*,-,0,1,1/41,41.00,0,0,0,-
72,2 team series,2012-2019,18,31,12*,31.00,0,15,2/33,57.20,0,4,0,-26.19
73,3-4 team tournaments,2012-2016,7,38,30,19.00,0,11,4/44,26.81,0,2,0,-7.81
74,5+ team tournaments,2019-2019,4,8,5*,8.00,0,3,2/53,60.33,0,1,0,-52.33
76,1st match in series,2014-2019,3,-,-,-,-,3,2/33,40.33,0,1,0,-
77,2nd match in series,2014-2019,5,22,12*,-,0,4,1/40,63.50,0,0,0,-
78,3rd match in series,2012-2019,3,4,4*,-,0,3,1/41,48.66,0,0,0,-
79,4th match in series,2016-2019,3,3,3*,-,0,3,1/38,54.33,0,0,0,-
80,5th match in series,2016-2019,4,2,1*,2.00,0,2,1/34,87.00,0,3,0,-84.99
82,World Cup,2019-2019,4,8,5*,8.00,0,3,2/53,60.33,0,1,0,-52.33
84,tournament finals,2012-2014,2,0,0*,0.00,0,0,-,-,0,1,0,-
85,tournament semi-finals,2019-2019,1,5,5*,-,0,0,-,-,0,0,0,-
86,preliminary matches,2014-2019,8,41,30,20.50,0,14,4/44,25.00,0,2,0,-4.49
