,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2014-2018,20,55,15,7.85,0,33,4/24,28.72,0,3,0,-20.87
2,in England,2012-2019,19,64,23*,6.40,0,29,4/49,29.65,0,4,0,-23.25
3,in India,2017-2019,10,26,15,6.50,0,18,5/70,24.44,1,2,0,-17.94
4,in Ireland,2012-2015,2,-,-,-,-,3,2/19,10.00,0,1,0,-
5,in New Zealand,2015-2017,3,70,36,35.00,0,5,2/38,30.40,0,2,0,4.60
6,in South Africa,2011-2011,3,17,11*,-,0,5,3/28,30.00,0,0,0,-
7,in U.A.E.,2019-2019,1,2,2*,-,0,3,3/23,7.66,0,1,0,-
9,in Africa,2011-2011,3,17,11*,-,0,5,3/28,30.00,0,0,0,-
10,in Asia,2017-2019,11,28,15,7.00,0,21,5/70,22.04,1,3,0,-15.04
11,in Europe,2012-2019,21,64,23*,6.40,0,32,4/49,27.81,0,5,0,-21.41
12,in Oceania,2014-2018,23,125,36,13.88,0,38,4/24,28.94,0,5,0,-15.05
14,home,2014-2018,20,55,15,7.85,0,33,4/24,28.72,0,3,0,-20.87
15,away,2011-2019,27,133,36,12.09,0,45,5/70,26.46,1,7,0,-14.37
16,neutral,2017-2019,11,46,23*,9.20,0,18,3/23,25.77,0,3,0,-16.57
18,year 2011,,3,17,11*,-,0,5,3/28,30.00,0,0,0,-
19,year 2012,,2,4,4,4.00,0,2,1/11,32.00,0,0,0,-27.99
20,year 2014,,2,1,1*,1.00,0,5,3/54,23.00,0,2,0,-21.99
21,year 2015,,11,12,7*,12.00,0,21,4/49,23.95,0,3,0,-11.95
22,year 2016,,3,0,0*,-,0,8,4/41,16.12,0,0,0,-
23,year 2017,,15,94,36,13.42,0,16,3/33,44.12,0,1,0,-30.69
24,year 2018,,6,38,12,9.50,0,8,4/24,33.25,0,0,0,-23.74
25,year 2019,,16,68,23*,7.55,0,31,5/70,21.61,1,7,0,-14.05
27,season 2011/12,,3,17,11*,-,0,5,3/28,30.00,0,0,0,-
28,season 2012,,2,4,4,4.00,0,2,1/11,32.00,0,0,0,-27.99
29,season 2014/15,,7,8,7*,8.00,0,12,3/42,30.25,0,4,0,-22.24
30,season 2015,,6,5,5,5.00,0,14,4/49,18.21,0,1,0,-13.21
31,season 2016/17,,10,79,36,19.75,0,18,4/41,26.16,0,1,0,-6.41
32,season 2017,,3,4,4,4.00,0,2,1/22,72.00,0,0,0,-67.99
33,season 2017/18,,8,27,12,6.75,0,11,4/24,34.00,0,0,0,-27.24
34,season 2018/19,,9,39,15,9.75,0,18,5/70,19.72,1,3,0,-9.97
35,season 2019,,10,51,23*,7.28,0,14,3/33,30.50,0,4,0,-23.21
37,*GJ Bailey,2014-2015,4,1,1*,1.00,0,6,3/54,34.83,0,2,0,-33.83
38,*MJ Clarke,2011-2015,7,28,11*,28.00,0,12,3/28,24.50,0,2,0,3.50
39,*AJ Finch,2017-2019,21,153,36,11.76,0,35,5/70,25.60,1,7,0,-13.83
40,*SPD Smith,2015-2018,26,52,15,6.50,0,43,4/24,28.00,0,2,0,-21.49
42,is not captain,2011-2019,58,234,36,10.17,0,96,5/70,27.11,1,13,0,-16.94
44,is not keeper,2011-2019,58,234,36,10.17,0,96,5/70,27.11,1,13,0,-16.94
46,won the toss,2012-2019,29,122,36,15.25,0,48,4/24,26.37,0,6,0,-11.12
47,lost the toss,2011-2019,29,112,27,7.46,0,48,5/70,27.85,1,7,0,-20.38
49,won toss & batted,2015-2019,19,71,23*,17.75,0,30,4/49,26.33,0,6,0,-8.58
50,won toss & fielded,2012-2019,10,51,36,12.75,0,18,4/24,26.44,0,0,0,-13.69
51,lost toss & sent in,2011-2019,12,36,12,4.50,0,24,4/41,19.91,0,3,0,-15.41
52,lost toss & fielded,2011-2019,17,76,27,10.85,0,24,5/70,35.79,1,4,0,-24.93
54,matches batting first,2011-2019,31,107,23*,8.91,0,54,4/41,23.48,0,9,0,-14.56
55,matches fielding first,2011-2019,27,127,36,11.54,0,42,5/70,31.78,1,4,0,-20.24
57,1st match innings,2011-2019,58,107,23*,8.91,0,42,5/70,31.78,1,4,0,-22.86
58,2nd match innings,2011-2019,57,127,36,11.54,0,54,4/41,23.48,0,9,0,-11.93
60,day match,2012-2019,18,102,36,9.27,0,25,4/49,31.28,0,5,0,-22.00
61,day/night match,2011-2019,40,132,23*,11.00,0,71,5/70,25.64,1,8,0,-14.64
63,won match,2011-2019,33,74,23*,8.22,0,67,5/70,21.14,1,10,0,-12.92
64,lost match,2011-2019,22,160,36,11.42,0,26,4/29,41.76,0,3,0,-30.34
65,no result,2012-2017,3,-,-,-,-,3,1/11,33.33,0,0,0,-
67,won batting first,2011-2019,21,64,23*,9.14,0,43,4/41,19.39,0,7,0,-10.25
68,won fielding first,2011-2019,12,10,6*,5.00,0,24,5/70,24.29,1,3,0,-19.29
69,lost batting first,2015-2019,10,43,12,8.60,0,11,4/49,39.45,0,2,0,-30.85
70,lost fielding first,2011-2019,12,117,36,13.00,0,15,4/29,43.46,0,1,0,-30.46
71,no result fielding first,2012-2017,3,-,-,-,-,3,1/11,33.33,0,0,0,-
73,2 team series,2011-2019,41,179,36,11.93,0,75,5/70,24.29,1,9,0,-12.35
74,3-4 team tournaments,2015-2015,3,-,-,-,-,2,1/42,84.00,0,0,0,-
75,5+ team tournaments,2015-2019,15,62,23*,7.75,0,21,3/33,31.00,0,6,0,-23.24
77,only match in series,2012-2015,3,7,7*,-,0,5,2/19,13.60,0,3,0,-
78,1st match in series,2011-2019,10,88,36,14.66,0,15,3/28,30.80,0,0,0,-16.13
79,2nd match in series,2011-2019,7,14,11*,3.50,0,15,4/29,20.53,0,0,0,-17.03
80,3rd match in series,2011-2019,10,48,27,24.00,0,16,3/23,28.87,0,2,0,-4.87
81,4th match in series,2014-2019,6,4,3,4.00,0,17,5/70,18.11,1,3,0,-14.11
82,5th match in series,2014-2019,5,18,15,9.00,0,7,3/54,30.57,0,1,0,-21.57
84,World Cup,2015-2019,12,58,23*,8.28,0,19,3/33,26.68,0,6,0,-18.39
85,Chappell-Hadlee,2015-2017,6,70,36,35.00,0,13,4/41,21.61,0,2,0,13.38
86,ICC Champions Trophy,2017-2017,3,4,4,4.00,0,2,1/22,72.00,0,0,0,-67.99
88,tournament semi-finals,2019-2019,1,6,6,6.00,0,1,1/34,34.00,0,0,0,-27.99
89,preliminary matches,2015-2019,17,56,23*,8.00,0,22,3/33,35.68,0,6,0,-27.68
