,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2017-2019,6,234,82,46.80,0,-,-,-,-,2,0,-
2,in England,2019-2019,1,4,4,4.00,0,-,-,-,-,0,0,-
3,in India,2017-2019,8,295,117,36.87,1,-,-,-,-,2,0,-
4,in New Zealand,2017-2017,2,7,7,3.50,0,-,-,-,-,4,0,-
5,in U.A.E.,2019-2019,5,92,47,30.66,0,-,-,-,-,6,0,-
7,in Asia,2017-2019,13,387,117,35.18,1,-,-,-,-,8,0,-
8,in Europe,2019-2019,1,4,4,4.00,0,-,-,-,-,0,0,-
9,in Oceania,2017-2019,8,241,82,34.42,0,-,-,-,-,6,0,-
11,home,2017-2019,6,234,82,46.80,0,-,-,-,-,2,0,-
12,away,2017-2019,11,306,117,27.81,1,-,-,-,-,6,0,-
13,neutral,2019-2019,5,92,47,30.66,0,-,-,-,-,6,0,-
15,year 2017,,8,149,82,21.28,0,-,-,-,-,6,0,-
16,year 2019,,14,483,117,40.25,1,-,-,-,-,8,0,-
18,season 2016/17,,5,90,82,22.50,0,-,-,-,-,5,0,-
19,season 2017/18,,3,59,43,19.66,0,-,-,-,-,1,0,-
20,season 2018/19,,13,479,117,43.54,1,-,-,-,-,8,0,-
21,season 2019,,1,4,4,4.00,0,-,-,-,-,0,0,-
23,*AJ Finch,2017-2019,16,490,117,35.00,1,-,-,-,-,12,0,-
24,*SPD Smith,2017-2017,6,142,82,28.40,0,-,-,-,-,2,0,-
26,is not captain,2017-2019,22,632,117,33.26,1,-,-,-,-,14,0,-
28,is designated keeper,2017-2017,3,10,7,3.33,0,-,-,-,-,5,0,-
29,is not keeper,2017-2019,19,622,117,38.87,1,-,-,-,-,9,0,-
31,won the toss,2017-2019,14,412,82,31.69,0,-,-,-,-,6,0,-
32,lost the toss,2017-2019,8,220,117,36.66,1,-,-,-,-,8,0,-
34,won toss & batted,2017-2019,11,275,73,27.50,0,-,-,-,-,4,0,-
35,won toss & fielded,2017-2019,3,137,82,45.66,0,-,-,-,-,2,0,-
36,lost toss & sent in,2019-2019,4,73,58,18.25,0,-,-,-,-,2,0,-
37,lost toss & fielded,2017-2019,4,147,117,73.50,1,-,-,-,-,6,0,-
39,matches batting first,2017-2019,15,348,73,24.85,0,-,-,-,-,6,0,-
40,matches fielding first,2017-2019,7,284,117,56.80,1,-,-,-,-,8,0,-
42,1st match innings,2017-2019,22,348,73,24.85,0,-,-,-,-,8,0,-
43,2nd match innings,2017-2019,22,284,117,56.80,1,-,-,-,-,6,0,-
45,day match,2017-2019,3,11,7,3.66,0,-,-,-,-,4,0,-
46,day/night match,2017-2019,19,621,117,38.81,1,-,-,-,-,10,0,-
48,won match,2017-2019,13,460,117,46.00,1,-,-,-,-,8,0,-
49,lost match,2017-2019,9,172,58,19.11,0,-,-,-,-,6,0,-
51,won batting first,2017-2019,9,231,73,28.87,0,-,-,-,-,4,0,-
52,won fielding first,2017-2019,4,229,117,114.50,1,-,-,-,-,4,0,-
53,lost batting first,2017-2019,6,117,58,19.50,0,-,-,-,-,2,0,-
54,lost fielding first,2017-2019,3,55,48,18.33,0,-,-,-,-,4,0,-
56,2 team series,2017-2019,21,628,117,34.88,1,-,-,-,-,14,0,-
57,5+ team tournaments,2019-2019,1,4,4,4.00,0,-,-,-,-,0,0,-
59,1st match in series,2017-2019,4,129,73,43.00,0,-,-,-,-,1,0,-
60,2nd match in series,2019-2019,3,68,48,34.00,0,-,-,-,-,3,0,-
61,3rd match in series,2017-2019,6,190,82,31.66,0,-,-,-,-,7,0,-
62,4th match in series,2017-2019,4,167,117,55.66,1,-,-,-,-,3,0,-
63,5th match in series,2017-2019,4,74,52,18.50,0,-,-,-,-,0,0,-
65,World Cup,2019-2019,1,4,4,4.00,0,-,-,-,-,0,0,-
66,Chappell-Hadlee,2017-2017,2,7,7,3.50,0,-,-,-,-,4,0,-
