,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2008-2019,35,1549,131,46.93,3,-,-,-,-,10,0,-
2,in England,2010-2019,11,398,131,39.80,2,-,-,-,-,4,0,-
3,in India,2009-2019,8,173,112,21.62,1,-,-,-,-,0,0,-
4,in New Zealand,2016-2017,3,43,22,14.33,0,-,-,-,-,1,0,-
5,in Scotland,2013-2013,1,151,151,151.00,1,-,-,-,-,0,0,-
6,in South Africa,2011-2011,1,30,30,30.00,0,-,-,-,-,1,0,-
7,in Sri Lanka,2011-2016,3,73,70,24.33,0,-,-,-,-,2,0,-
8,in U.A.E.,2009-2019,6,198,91*,49.50,0,-,-,-,-,4,0,-
9,in West Indies,2008-2008,5,158,81,31.60,0,-,-,-,-,0,0,-
11,in Africa,2011-2011,1,30,30,30.00,0,-,-,-,-,1,0,-
12,in Americas,2008-2008,5,158,81,31.60,0,-,-,-,-,0,0,-
13,in Asia,2009-2019,17,444,112,29.60,1,-,-,-,-,6,0,-
14,in Europe,2010-2019,12,549,151,49.90,3,-,-,-,-,4,0,-
15,in Oceania,2008-2019,38,1592,131,44.22,3,-,-,-,-,11,0,-
17,home,2008-2019,35,1549,131,46.93,3,-,-,-,-,10,0,-
18,away,2008-2019,30,1000,151,34.48,4,-,-,-,-,8,0,-
19,neutral,2009-2019,8,224,91*,37.33,0,-,-,-,-,4,0,-
21,year 2008,,8,333,81,47.57,0,-,-,-,-,0,0,-
22,year 2009,,11,393,112,35.72,1,-,-,-,-,1,0,-
23,year 2010,,10,313,83,31.30,0,-,-,-,-,5,0,-
24,year 2011,,7,235,110,33.57,1,-,-,-,-,2,0,-
25,year 2013,,5,216,151,54.00,1,-,-,-,-,0,0,-
26,year 2014,,4,177,71*,59.00,0,-,-,-,-,1,0,-
27,year 2015,,1,45,45,45.00,0,-,-,-,-,0,0,-
28,year 2016,,5,146,71,29.20,0,-,-,-,-,4,0,-
29,year 2017,,2,38,22,19.00,0,-,-,-,-,0,0,-
30,year 2018,,7,416,131,59.42,3,-,-,-,-,3,0,-
31,year 2019,,13,461,131,41.90,1,-,-,-,-,6,0,-
33,season 2008,,8,333,81,47.57,0,-,-,-,-,0,0,-
34,season 2008/09,,6,233,79,38.83,0,-,-,-,-,1,0,-
35,season 2009,,1,16,16,16.00,0,-,-,-,-,0,0,-
36,season 2009/10,,11,367,112,33.36,1,-,-,-,-,3,0,-
37,season 2010,,1,59,59,59.00,0,-,-,-,-,2,0,-
38,season 2010/11,,6,164,110,27.33,1,-,-,-,-,1,0,-
39,season 2011,,2,72,70,36.00,0,-,-,-,-,0,0,-
40,season 2011/12,,1,30,30,30.00,0,-,-,-,-,1,0,-
41,season 2012/13,,1,40,40,40.00,0,-,-,-,-,0,0,-
42,season 2013,,4,176,151,58.66,1,-,-,-,-,0,0,-
