,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2010-2018,46,1925,164,53.47,6,11,3/33,31.72,0,28,0,21.74
2,in Bangladesh,2011-2011,3,6,5,3.00,0,3,2/34,40.00,0,4,0,-36.99
3,in England,2010-2019,24,744,85,35.42,0,8,2/34,27.87,0,6,0,7.55
4,in India,2010-2017,10,170,63,28.33,0,1,1/44,145.00,0,1,0,-116.66
5,in Ireland,2012-2015,2,21,21,21.00,0,-,-,-,-,0,0,-
6,in New Zealand,2015-2016,4,45,21,11.25,0,-,-,-,-,3,0,-
7,in South Africa,2011-2016,8,236,108,39.33,1,1,1/24,24.00,0,3,0,15.33
8,in Sri Lanka,2011-2016,7,131,58,32.75,0,0,-,-,0,5,0,-
9,in U.A.E.,2014-2014,3,190,101,63.33,1,0,-,-,0,6,0,-
10,in West Indies,2016-2016,7,264,78,52.80,0,-,-,-,-,5,0,-
11,in Zimbabwe,2014-2014,4,78,36,19.50,0,4,3/16,11.25,0,4,0,8.25
13,in Africa,2011-2016,12,314,108,31.40,1,5,3/16,13.80,0,7,0,17.60
14,in Americas,2016-2016,7,264,78,52.80,0,-,-,-,-,5,0,-
15,in Asia,2010-2017,23,497,101,33.13,1,4,2/34,80.50,0,16,0,-47.36
16,in Europe,2010-2019,26,765,85,34.77,0,8,2/34,27.87,0,6,0,6.89
17,in Oceania,2010-2018,50,1970,164,49.25,6,11,3/33,31.72,0,31,0,17.52
19,home,2010-2018,46,1925,164,53.47,6,11,3/33,31.72,0,28,0,21.74
20,away,2010-2019,47,1160,108,29.74,1,14,3/16,31.78,0,21,0,-2.04
21,neutral,2011-2019,25,725,101,42.64,1,3,1/6,56.33,0,16,0,-13.68
23,year 2010,,9,139,41,27.80,0,9,2/34,33.44,0,3,0,-5.64
24,year 2011,,20,204,46*,20.40,0,13,3/33,34.92,0,11,0,-14.52
25,year 2012,,3,29,21,14.50,0,0,-,-,0,0,0,-
26,year 2013,,1,8,8,8.00,0,0,-,-,0,0,0,-
27,year 2014,,12,541,104,49.18,2,5,3/16,19.20,0,15,0,29.98
28,year 2015,,19,805,105,53.66,2,0,-,-,0,6,0,-
29,year 2016,,26,1154,164,50.17,3,0,-,-,0,19,0,-
30,year 2017,,13,449,108*,44.90,1,-,-,-,-,6,0,-
31,year 2018,,5,102,45,20.40,0,-,-,-,-,2,0,-
32,year 2019,,10,379,85,37.90,0,1,1/6,32.00,0,3,0,5.90
34,season 2009/10,,1,-,-,-,-,2,2/78,39.00,0,2,0,-
35,season 2010,,4,94,41,31.33,0,7,2/34,26.00,0,0,0,5.33
36,season 2010/11,,16,199,46*,24.87,0,9,3/33,35.33,0,5,0,-10.45
37,season 2011,,6,24,18,8.00,0,3,2/34,51.00,0,6,0,-42.99
38,season 2011/12,,2,26,26,26.00,0,1,1/24,24.00,0,1,0,2.00
39,season 2012,,3,29,21,14.50,0,0,-,-,0,0,0,-
40,season 2012/13,,1,8,8,8.00,0,0,-,-,0,0,0,-
41,season 2013/14,,1,19,19,19.00,0,-,-,-,-,1,0,-
42,season 2014,,4,78,36,19.50,0,4,3/16,11.25,0,4,0,8.25
43,season 2014/15,,20,1072,105,71.46,4,1,1/17,70.00,0,15,0,1.46
44,season 2015,,6,177,70,29.50,0,-,-,-,-,1,0,-
45,season 2015/16,,8,356,149,44.50,1,0,-,-,0,7,0,-
46,season 2016,,9,352,78,50.28,0,-,-,-,-,7,0,-
47,season 2016/17,,14,667,164,55.58,3,-,-,-,-,8,0,-
48,season 2017,,3,86,56,86.00,0,-,-,-,-,2,0,-
49,season 2017/18,,10,244,63,24.40,0,-,-,-,-,3,0,-
50,season 2019,,10,379,85,37.90,0,1,1/6,32.00,0,3,0,5.90
52,*GJ Bailey,2013-2015,18,678,104,42.37,2,5,3/16,26.20,0,18,0,16.17
53,*MJ Clarke,2010-2015,27,589,105,36.81,1,12,3/33,29.58,0,13,0,7.22
54,*AJ Finch,2019-2019,10,379,85,37.90,0,1,1/6,32.00,0,3,0,5.90
55,*RT Ponting,2010-2011,12,180,41,30.00,0,10,2/34,40.90,0,3,0,-10.89
56,*SPD Smith,2015-2018,51,1984,164,45.09,5,0,-,-,0,28,0,-
58,is captain,2015-2018,51,1984,164,45.09,5,0,-,-,0,28,0,-
59,is not captain,2010-2019,67,1826,105,38.04,3,28,3/16,33.10,0,37,0,4.93
61,is not keeper,2010-2019,118,3810,164,41.41,8,28,3/16,34.39,0,65,0,7.02
