,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2013-2019,9,184,59,23.00,0,-,-,-,-,3,0,-
2,in England,2019-2019,9,316,89,35.11,0,-,-,-,-,5,0,-
3,in India,2019-2019,5,383,104,76.60,2,-,-,-,-,3,0,-
4,in New Zealand,2016-2016,2,94,50,47.00,0,-,-,-,-,2,0,-
5,in South Africa,2016-2016,1,82,82*,-,0,-,-,-,-,0,0,-
6,in Sri Lanka,2016-2016,2,6,6,3.00,0,-,-,-,-,0,0,-
7,in U.A.E.,2019-2019,5,272,98,54.40,0,-,-,-,-,0,0,-
8,in West Indies,2016-2016,7,217,98,36.16,0,-,-,-,-,0,0,-
10,in Africa,2016-2016,1,82,82*,-,0,-,-,-,-,0,0,-
11,in Americas,2016-2016,7,217,98,36.16,0,-,-,-,-,0,0,-
12,in Asia,2016-2019,12,661,104,55.08,2,-,-,-,-,3,0,-
13,in Europe,2019-2019,9,316,89,35.11,0,-,-,-,-,5,0,-
14,in Oceania,2013-2019,11,278,59,27.80,0,-,-,-,-,5,0,-
16,home,2013-2019,9,184,59,23.00,0,-,-,-,-,3,0,-
17,away,2016-2019,14,662,104,47.28,2,-,-,-,-,6,0,-
18,neutral,2016-2019,17,708,98,47.20,0,-,-,-,-,4,0,-
20,year 2013,,3,14,8*,7.00,0,-,-,-,-,0,0,-
21,year 2016,,12,399,98,39.90,0,-,-,-,-,2,0,-
22,year 2017,,3,56,30,18.66,0,-,-,-,-,1,0,-
23,year 2019,,22,1085,104,49.31,2,-,-,-,-,10,0,-
25,season 2012/13,,3,14,8*,7.00,0,-,-,-,-,0,0,-
26,season 2015/16,,2,94,50,47.00,0,-,-,-,-,2,0,-
27,season 2016,,9,223,98,27.87,0,-,-,-,-,0,0,-
28,season 2016/17,,4,138,82*,46.00,0,-,-,-,-,1,0,-
29,season 2018/19,,13,769,104,59.15,2,-,-,-,-,5,0,-
30,season 2019,,9,316,89,35.11,0,-,-,-,-,5,0,-
32,*GJ Bailey,2013-2013,1,3,3,3.00,0,-,-,-,-,0,0,-
33,*MJ Clarke,2013-2013,2,11,8*,11.00,0,-,-,-,-,0,0,-
34,*AJ Finch,2019-2019,22,1085,104,49.31,2,-,-,-,-,10,0,-
35,*SPD Smith,2016-2017,13,449,98,40.81,0,-,-,-,-,3,0,-
36,*DA Warner,2016-2016,2,6,6,3.00,0,-,-,-,-,0,0,-
38,is not captain,2013-2019,40,1554,104,42.00,2,-,-,-,-,13,0,-
40,is not keeper,2013-2019,40,1554,104,42.00,2,-,-,-,-,13,0,-
42,won the toss,2013-2019,18,665,100,39.11,1,-,-,-,-,8,0,-
43,lost the toss,2013-2019,22,889,104,44.45,1,-,-,-,-,5,0,-
45,won toss & batted,2013-2019,12,530,100,44.16,1,-,-,-,-,4,0,-
46,won toss & fielded,2016-2019,6,135,44,27.00,0,-,-,-,-,4,0,-
47,lost toss & sent in,2013-2019,10,463,104,46.30,1,-,-,-,-,4,0,-
48,lost toss & fielded,2013-2019,12,426,91,42.60,0,-,-,-,-,1,0,-
50,matches batting first,2013-2019,22,993,104,45.13,2,-,-,-,-,8,0,-
51,matches fielding first,2013-2019,18,561,91,37.40,0,-,-,-,-,5,0,-
53,1st match innings,2013-2019,40,993,104,45.13,2,-,-,-,-,5,0,-
54,2nd match innings,2013-2019,39,561,91,37.40,0,-,-,-,-,8,0,-
56,day match,2016-2019,7,277,89,46.16,0,-,-,-,-,4,0,-
57,day/night match,2013-2019,33,1277,104,41.19,2,-,-,-,-,9,0,-
59,won match,2013-2019,29,1190,104,44.07,2,-,-,-,-,9,0,-
60,lost match,2016-2019,10,364,98,36.40,0,-,-,-,-,4,0,-
61,no result,2016-2016,1,-,-,-,-,-,-,-,-,0,0,-
63,won batting first,2013-2019,17,773,104,45.47,2,-,-,-,-,7,0,-
64,won fielding first,2013-2019,12,417,91,41.70,0,-,-,-,-,2,0,-
65,lost batting first,2016-2019,5,220,98,44.00,0,-,-,-,-,1,0,-
66,lost fielding first,2016-2019,5,144,44,28.80,0,-,-,-,-,3,0,-
67,no result fielding first,2016-2016,1,-,-,-,-,-,-,-,-,0,0,-
69,2 team series,2013-2019,24,1021,104,46.40,2,-,-,-,-,8,0,-
70,3-4 team tournaments,2016-2016,7,217,98,36.16,0,-,-,-,-,0,0,-
71,5+ team tournaments,2019-2019,9,316,89,35.11,0,-,-,-,-,5,0,-
73,only match in series,2016-2016,1,82,82*,-,0,-,-,-,-,0,0,-
74,1st match in series,2013-2019,5,144,59,36.00,0,-,-,-,-,1,0,-
75,2nd match in series,2013-2019,6,217,88,36.16,0,-,-,-,-,4,0,-
76,3rd match in series,2016-2019,5,191,104,38.20,1,-,-,-,-,2,0,-
77,4th match in series,2016-2019,4,183,91,45.75,0,-,-,-,-,0,0,-
78,5th match in series,2016-2019,3,204,100,68.00,1,-,-,-,-,1,0,-
80,World Cup,2019-2019,9,316,89,35.11,0,-,-,-,-,5,0,-
81,Chappell-Hadlee,2016-2016,2,94,50,47.00,0,-,-,-,-,2,0,-
83,tournament finals,2016-2016,1,14,14,14.00,0,-,-,-,-,0,0,-
84,preliminary matches,2016-2019,15,519,98,37.07,0,-,-,-,-,5,0,-
