,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,2015-2018,15,283,83,20.21,0,-,-,-,-,10,0,-
2,in England,2019-2019,5,184,94*,46.00,0,-,-,-,-,3,0,-
3,in Ireland,2019-2019,1,76,76,76.00,0,-,-,-,-,3,0,-
4,in New Zealand,2019-2019,3,3,1,1.00,0,-,-,-,-,2,0,-
5,in South Africa,2017-2017,3,41,21,13.66,0,-,-,-,-,1,0,-
6,in U.A.E.,2018-2018,6,181,121,30.16,1,-,-,-,-,2,3,-
8,in Africa,2017-2017,3,41,21,13.66,0,-,-,-,-,1,0,-
9,in Asia,2015-2018,21,464,121,23.20,1,-,-,-,-,12,3,-
10,in Europe,2019-2019,6,260,94*,52.00,0,-,-,-,-,6,0,-
11,in Oceania,2019-2019,3,3,1,1.00,0,-,-,-,-,2,0,-
13,home,2015-2018,15,283,83,20.21,0,-,-,-,-,10,0,-
14,away,2017-2019,7,120,76,17.14,0,-,-,-,-,6,0,-
15,neutral,2018-2019,11,365,121,36.50,1,-,-,-,-,5,3,-
17,year 2015,,9,124,36,15.50,0,-,-,-,-,8,0,-
18,year 2017,,3,41,21,13.66,0,-,-,-,-,1,0,-
19,year 2018,,12,340,121,28.33,1,-,-,-,-,4,3,-
20,year 2019,,9,263,94*,32.87,0,-,-,-,-,8,0,-
22,season 2015,,6,100,36,20.00,0,-,-,-,-,7,0,-
23,season 2015/16,,3,24,17,8.00,0,-,-,-,-,1,0,-
24,season 2017/18,,3,41,21,13.66,0,-,-,-,-,1,0,-
25,season 2018,,6,181,121,30.16,1,-,-,-,-,2,3,-
26,season 2018/19,,9,162,83,18.00,0,-,-,-,-,4,0,-
27,season 2019,,6,260,94*,52.00,0,-,-,-,-,6,0,-
29,*Mashrafe Mortaza,2015-2019,33,768,121,24.77,1,-,-,-,-,21,3,-
31,is not captain,2015-2019,33,768,121,24.77,1,-,-,-,-,21,3,-
33,is designated keeper,2015-2019,5,98,36,19.60,0,-,-,-,-,7,0,-
34,is not keeper,2015-2019,28,670,121,25.76,1,-,-,-,-,14,3,-
36,won the toss,2015-2019,16,347,94*,23.13,0,-,-,-,-,4,3,-
37,lost the toss,2015-2019,17,421,121,26.31,1,-,-,-,-,17,0,-
39,won toss & batted,2015-2019,9,98,41,10.88,0,-,-,-,-,1,3,-
40,won toss & fielded,2015-2019,7,249,94*,41.50,0,-,-,-,-,3,0,-
41,lost toss & sent in,2015-2019,7,160,121,22.85,1,-,-,-,-,4,0,-
42,lost toss & fielded,2015-2019,10,261,76,29.00,0,-,-,-,-,13,0,-
44,matches batting first,2015-2019,16,258,121,16.12,1,-,-,-,-,5,3,-
45,matches fielding first,2015-2019,17,510,94*,34.00,0,-,-,-,-,16,0,-
47,1st match innings,2015-2019,33,258,121,16.12,1,-,-,-,-,16,0,-
48,2nd match innings,2015-2019,33,510,94*,34.00,0,-,-,-,-,5,3,-
50,day match,2017-2019,17,484,121,30.25,1,-,-,-,-,11,3,-
51,day/night match,2015-2019,16,284,83,18.93,0,-,-,-,-,10,0,-
53,won match,2015-2019,18,474,94*,29.62,0,-,-,-,-,14,3,-
54,lost match,2015-2019,15,294,121,19.60,1,-,-,-,-,7,0,-
56,won batting first,2015-2019,9,99,41,11.00,0,-,-,-,-,3,3,-
57,won fielding first,2015-2019,9,375,94*,53.57,0,-,-,-,-,11,0,-
58,lost batting first,2015-2019,7,159,121,22.71,1,-,-,-,-,2,0,-
59,lost fielding first,2015-2019,8,135,34,16.87,0,-,-,-,-,5,0,-
61,2 team series,2015-2019,21,327,83,16.35,0,-,-,-,-,13,0,-
62,3-4 team tournaments,2019-2019,1,76,76,76.00,0,-,-,-,-,3,0,-
63,5+ team tournaments,2018-2019,11,365,121,36.50,1,-,-,-,-,5,3,-
65,1st match in series,2015-2019,7,75,41,10.71,0,-,-,-,-,3,0,-
66,2nd match in series,2015-2019,7,166,83,23.71,0,-,-,-,-,6,0,-
67,3rd match in series,2015-2019,7,86,34,14.33,0,-,-,-,-,4,0,-
69,World Cup,2019-2019,5,184,94*,46.00,0,-,-,-,-,3,0,-
70,Asia Cup,2018-2018,6,181,121,30.16,1,-,-,-,-,2,3,-
72,tournament finals,2018-2018,1,121,121,121.00,1,-,-,-,-,0,0,-
73,preliminary matches,2018-2019,11,320,94*,32.00,0,-,-,-,-,8,3,-
