,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2008-2015,5,176,103,35.20,1,1,1/31,99.00,0,1,0,-63.79
2,in Bangladesh,2008-2018,90,1776,82*,32.88,0,45,3/4,38.84,0,31,0,-5.95
3,in England,2010-2019,14,426,102*,47.33,1,0,-,-,0,2,0,-
4,in Ireland,2010-2019,10,238,51,119.00,0,0,-,-,0,5,0,-
5,in New Zealand,2010-2019,11,267,128*,26.70,1,2,1/27,94.00,0,4,0,-67.29
6,in Pakistan,2008-2008,10,187,58*,26.71,0,4,2/38,99.00,0,0,0,-72.28
7,in Scotland,2010-2010,1,28,28*,-,0,-,-,-,-,0,0,-
8,in South Africa,2017-2017,3,63,35,21.00,0,0,-,-,0,0,0,-
9,in Sri Lanka,2007-2017,10,123,36,20.50,0,4,2/28,42.75,0,5,0,-22.24
10,in U.A.E.,2018-2018,6,156,74,26.00,0,3,1/17,31.00,0,1,0,-4.99
11,in West Indies,2009-2018,9,244,67*,40.66,0,6,2/38,42.83,0,7,0,-2.16
12,in Zimbabwe,2009-2013,13,292,75*,41.71,0,11,3/13,33.54,0,5,0,8.16
14,in Africa,2009-2017,16,355,75*,35.50,0,11,3/13,39.00,0,5,0,-3.49
15,in Americas,2009-2018,9,244,67*,40.66,0,6,2/38,42.83,0,7,0,-2.16
16,in Asia,2007-2018,116,2242,82*,30.71,0,56,3/4,43.00,0,37,0,-12.28
17,in Europe,2010-2019,25,692,102*,62.90,1,0,-,-,0,7,0,-
18,in Oceania,2008-2019,16,443,128*,29.53,2,3,1/27,95.66,0,5,0,-66.13
20,home,2008-2018,90,1776,82*,32.88,0,45,3/4,38.84,0,31,0,-5.95
21,away,2007-2019,60,1242,128*,31.05,1,24,3/13,54.12,0,20,0,-23.07
22,neutral,2008-2019,32,958,103,45.61,2,7,2/38,64.85,0,10,0,-19.23
24,year 2007,,1,36,36,36.00,0,2,2/28,14.00,0,0,0,22.00
25,year 2008,,18,279,58*,25.36,0,6,2/38,100.66,0,3,0,-75.30
26,year 2009,,18,248,51*,27.55,0,14,3/52,32.07,0,7,0,-4.51
27,year 2010,,24,507,64*,31.68,0,9,2/6,57.44,0,3,0,-25.75
28,year 2011,,15,304,68*,38.00,0,12,3/4,29.66,0,6,0,8.33
29,year 2012,,9,212,56*,70.66,0,9,3/46,28.44,0,3,0,42.22
30,year 2013,,9,243,75*,34.71,0,5,2/36,40.80,0,2,0,-6.08
31,year 2014,,16,294,82*,26.72,0,10,2/38,41.00,0,10,0,-14.27
32,year 2015,,15,506,128*,38.92,2,3,1/13,69.00,0,4,0,-30.07
33,year 2016,,9,229,75,28.62,0,0,-,-,0,2,0,-
34,year 2017,,14,360,102*,51.42,1,0,-,-,0,8,0,-
35,year 2018,,20,419,76,32.23,0,5,1/17,48.40,0,8,0,-16.16
36,year 2019,,14,339,69,42.37,0,1,1/27,80.00,0,5,0,-37.62
38,season 2007,,1,36,36,36.00,0,2,2/28,14.00,0,0,0,22.00
39,season 2007/08,,8,182,58*,45.50,0,3,1/31,102.33,0,1,0,-56.83
40,season 2008,,8,89,26*,14.83,0,3,2/38,96.33,0,0,0,-81.49
41,season 2008/09,,7,48,26,16.00,0,3,2/19,19.66,0,2,0,-3.66
42,season 2009,,8,164,51*,41.00,0,7,2/38,41.14,0,4,0,-0.14
43,season 2009/10,,15,334,64*,33.40,0,7,3/52,49.85,0,5,0,-16.45
44,season 2010,,9,144,42,28.80,0,1,1/28,169.00,0,0,0,-140.19
45,season 2010/11,,9,105,37,17.50,0,8,2/6,29.25,0,1,0,-11.74
46,season 2011,,8,216,68*,54.00,0,6,3/13,37.83,0,5,0,16.16
47,season 2011/12,,7,109,35,36.33,0,4,3/4,19.25,0,2,0,17.08
48,season 2012/13,,8,194,56*,48.50,0,9,3/46,26.77,0,2,0,21.72
49,season 2013,,3,142,75*,71.00,0,1,1/29,59.00,0,0,0,12.00
50,season 2013/14,,8,102,30,14.57,0,7,2/36,34.14,0,4,0,-19.57
51,season 2014,,6,79,41,15.80,0,3,1/20,48.66,0,3,0,-32.86
52,season 2014/15,,11,544,128*,77.71,2,4,2/40,61.75,0,7,0,15.96
53,season 2015,,6,76,50,15.20,0,2,1/13,36.00,0,2,0,-20.79
54,season 2015/16,,3,65,52,21.66,0,-,-,-,-,0,0,-
55,season 2016/17,,12,249,75,27.66,0,0,-,-,0,7,0,-
56,season 2017,,8,277,102*,92.33,1,0,-,-,0,3,0,-
57,season 2017/18,,8,172,76,24.57,0,0,-,-,0,4,0,-
58,season 2018,,9,266,74,38.00,0,3,1/17,37.66,0,4,0,0.33
59,season 2018/19,,9,80,30,16.00,0,3,1/21,63.66,0,1,0,-47.66
60,season 2019,,11,303,69,60.60,0,-,-,-,-,4,0,-
62,*Mashrafe Mortaza,2010-2019,81,1971,103,36.50,2,12,2/40,74.25,0,31,0,-37.74
63,*Mohammad Ashraful,2007-2009,24,355,58*,25.35,0,11,2/19,62.09,0,3,0,-36.73
64,*Mushfiqur Rahim,2011-2014,32,626,75*,29.80,0,24,3/4,31.75,0,11,0,-1.94
65,*Shakib Al Hasan,2009-2017,45,1024,128*,39.38,1,29,3/13,40.17,0,16,0,-0.78
67,is not captain,2007-2019,182,3976,128*,34.57,3,76,3/4,46.06,0,61,0,-11.49
69,is not keeper,2007-2019,182,3976,128*,34.57,3,76,3/4,46.06,0,61,0,-11.49
71,won the toss,2007-2019,88,1657,82*,30.12,0,40,3/46,45.32,0,38,0,-15.19
72,lost the toss,2008-2019,94,2319,128*,38.65,3,36,3/4,46.88,0,23,0,-8.23
74,won toss & batted,2008-2019,41,964,82*,32.13,0,11,2/38,73.09,0,18,0,-40.95
75,won toss & fielded,2007-2019,47,693,62,27.72,0,29,3/46,34.79,0,20,0,-7.07
76,lost toss & sent in,2009-2019,48,1371,128*,39.17,2,21,3/13,34.66,0,10,0,4.50
77,lost toss & fielded,2008-2019,46,948,102*,37.92,1,15,3/4,64.00,0,13,0,-26.07
79,matches batting first,2008-2019,89,2335,128*,35.92,2,32,3/13,47.87,0,28,0,-11.95
80,matches fielding first,2007-2019,93,1641,102*,32.82,1,44,3/4,44.75,0,33,0,-11.92
82,1st match innings,2007-2019,182,2335,128*,35.92,2,44,3/4,44.75,0,33,0,-8.82
83,2nd match innings,2007-2019,178,1641,102*,32.82,1,32,3/13,47.87,0,28,0,-15.05
85,day match,2007-2019,86,1819,102*,36.38,1,39,3/13,37.17,0,33,0,-0.79
86,day/night match,2008-2019,96,2157,128*,33.18,2,37,3/4,55.43,0,28,0,-22.24
88,won match,2008-2019,82,1815,103,51.85,2,43,3/13,33.97,0,36,0,17.88
89,lost match,2007-2019,95,2110,128*,26.70,1,33,3/4,61.66,0,25,0,-34.95
90,no result,2013-2017,5,51,43*,51.00,0,0,-,-,0,0,0,-
92,won batting first,2008-2019,38,1116,103,44.64,1,18,3/13,34.94,0,20,0,9.69
93,won fielding first,2008-2019,44,699,102*,69.90,1,25,3/52,33.28,0,16,0,36.62
94,lost batting first,2008-2019,49,1168,128*,29.94,1,14,2/38,64.50,0,8,0,-34.55
95,lost fielding first,2007-2019,46,942,76,23.55,0,19,3/4,59.57,0,17,0,-36.02
96,no result batting first,2017-2017,2,51,43*,51.00,0,-,-,-,-,0,0,-
97,no result fielding first,2013-2017,3,-,-,-,-,0,-,-,0,0,0,-
99,2 team series,2007-2019,120,2312,82*,29.26,0,61,3/4,40.75,0,46,0,-11.48
100,3-4 team tournaments,2008-2019,28,668,76,55.66,0,3,1/14,127.33,0,10,0,-71.66
101,5+ team tournaments,2008-2019,34,996,128*,41.50,3,12,2/38,52.75,0,5,0,-11.24
103,only match in series,2010-2010,1,28,28*,-,0,-,-,-,-,0,0,-
104,1st match in series,2008-2019,36,472,62,16.85,0,14,2/38,52.71,0,19,0,-35.85
105,2nd match in series,2008-2019,34,549,75,23.86,0,7,1/13,69.14,0,13,0,-45.27
