,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,v Afghanistan,2015-2019,7,32,14,5.33,0,9,3/20,30.44,0,2,0,-25.11
2,v Africa XI,2007-2007,2,14,13,7.00,0,1,1/57,108.00,0,1,0,-100.99
3,v Australia,2003-2019,16,72,25*,8.00,0,15,3/54,45.73,0,2,0,-37.73
4,v Bermuda,2007-2007,1,-,-,-,-,2,2/8,4.00,0,0,0,-
5,v Canada,2003-2007,2,0,0,0.00,0,2,2/38,40.00,0,2,0,-39.99
6,v England,2005-2019,14,143,44,15.88,0,17,4/29,36.70,0,4,0,-20.81
7,v India,2004-2019,20,239,42,21.72,0,23,4/38,37.04,0,6,0,-15.31
8,v Ireland,2007-2019,8,57,26,14.25,0,9,3/22,26.88,0,2,0,-12.63
9,v Kenya,2006-2006,7,89,44*,89.00,0,19,6/26,12.63,1,2,0,76.36
10,v Netherlands,2010-2010,1,18,18,18.00,0,0,-,-,0,1,0,-
11,v New Zealand,2007-2019,21,163,27,10.86,0,18,4/44,49.11,0,5,0,-38.24
12,v Pakistan,2003-2019,19,151,38,11.61,0,20,4/65,42.10,0,10,0,-30.48
13,v Scotland,2006-2015,3,51,51*,-,0,5,2/39,29.60,0,1,0,-
14,v South Africa,2007-2019,12,105,34,13.12,0,6,1/17,88.00,0,3,0,-74.87
15,v Sri Lanka,2003-2018,22,210,34*,13.12,0,26,3/25,37.15,0,6,0,-24.02
16,v U.A.E.,2008-2008,1,3,3,3.00,0,1,1/46,46.00,0,0,0,-42.99
17,v West Indies,2006-2019,19,131,37,18.71,0,30,4/37,26.03,0,1,0,-7.31
18,v Zimbabwe,2001-2018,42,308,39,12.32,0,63,4/31,22.33,0,13,0,-10.01
20,in Australia,2003-2015,9,51,14,8.50,0,9,3/20,43.00,0,2,0,-34.49
21,in Bangladesh,2001-2018,100,797,51*,14.23,0,143,4/29,25.98,0,30,0,-11.75
22,in England,2005-2019,21,135,30*,12.27,0,11,3/31,80.45,0,5,0,-68.18
23,in India,2006-2007,5,57,30,11.40,0,3,1/16,69.66,0,2,0,-58.26
