,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,2018-2018,6,16,10*,8,0,11,4/29,22,0,5,0,-13.99
2,in England,2017-2019,8,51,14,12.75,0,6,2/47,57.5,0,4,0,-44.74
3,in Ireland,2017-2019,5,6,6,6,0,3,1/22,48.66,0,0,0,-42.66
4,in New Zealand,2019-2019,3,79,37,26.33,0,2,1/42,63.5,0,0,0,-37.16
5,in South Africa,2017-2017,1,15,15,15,0,2,2/59,29.5,0,1,0,-14.49
6,in Sri Lanka,2017-2017,3,51,51,51,0,4,2/43,35.5,0,0,0,15.5
7,in U.A.E.,2018-2018,6,110,42,22,0,4,2/21,42.75,0,0,0,-20.74
8,in West Indies,2018-2018,3,-,-,-,-,3,1/37,40.66,0,1,0,-
10,in Africa,2017-2017,1,15,15,15,0,2,2/59,29.5,0,1,0,-14.49
11,in Americas,2018-2018,3,-,-,-,-,3,1/37,40.66,0,1,0,-
12,in Asia,2017-2018,15,177,51,22.12,0,19,4/29,29.21,0,5,0,-7.08
13,in Europe,2017-2019,13,57,14,11.4,0,9,2/47,54.55,0,4,0,-43.15
14,in Oceania,2019-2019,3,79,37,26.33,0,2,1/42,63.5,0,0,0,-37.16
16,home,2018-2018,6,16,10*,8,0,11,4/29,22,0,5,0,-13.99
17,away,2017-2019,12,157,51,26.16,0,13,2/43,39.76,0,3,0,-13.6
18,neutral,2017-2019,17,155,42,17.22,0,11,2/21,54.09,0,3,0,-36.86
20,year 2017,,7,86,51,21.5,0,6,2/43,41.66,0,1,0,-20.16
21,year 2018,,15,126,42,18,0,18,4/29,29.72,0,6,0,-11.72
22,year 2019,,13,116,37,19.33,0,11,2/47,51.72,0,4,0,-32.39
24,season 2016/17,,3,51,51,51,0,4,2/43,35.5,0,0,0,15.5
25,season 2017,,3,20,14,10,0,0,-,-,0,0,0,-
26,season 2017/18,,2,20,15,10,0,3,2/59,37.33,0,1,0,-27.33
27,season 2018,,9,110,42,22,0,7,2/21,41.85,0,1,0,-19.85
28,season 2018/19,,8,90,37,22.5,0,12,4/29,26.33,0,5,0,-3.83
29,season 2019,,10,37,12,12.33,0,9,2/47,49.11,0,4,0,-36.77
31,*Mashrafe Mortaza,2017-2019,34,328,51,19.29,0,35,4/29,38.68,0,11,0,-19.39
32,*Shakib Al Hasan,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-
34,is not captain,2017-2019,35,328,51,19.29,0,35,4/29,38.68,0,11,0,-19.39
36,is not keeper,2017-2019,35,328,51,19.29,0,35,4/29,38.68,0,11,0,-19.39
38,won the toss,2017-2019,16,173,51,21.62,0,21,4/29,29.09,0,4,0,-7.47
39,lost the toss,2017-2019,19,155,42,17.22,0,14,2/43,53.07,0,7,0,-35.84
41,won toss & batted,2017-2019,8,73,26,14.6,0,10,3/46,25.9,0,2,0,-11.29
42,won toss & fielded,2017-2019,8,100,51,33.33,0,11,4/29,32,0,2,0,1.33
43,lost toss & sent in,2017-2019,10,118,42,23.6,0,6,2/43,60.33,0,2,0,-36.73
44,lost toss & fielded,2017-2019,9,37,15,9.25,0,8,2/59,47.62,0,5,0,-38.37
46,matches batting first,2017-2019,18,191,42,19.1,0,16,3/46,38.81,0,4,0,-19.71
47,matches fielding first,2017-2019,17,137,51,19.57,0,19,4/29,38.57,0,7,0,-19
49,1st match innings,2017-2019,35,191,42,19.1,0,19,4/29,38.57,0,7,0,-19.47
50,2nd match innings,2017-2019,33,137,51,19.57,0,16,3/46,38.81,0,4,0,-19.24
52,day match,2017-2019,23,265,51,22.08,0,17,2/21,52.11,0,5,0,-30.03
53,day/night match,2017-2019,12,63,26,12.6,0,18,4/29,26,0,6,0,-13.39
55,won match,2017-2019,16,38,15,12.66,0,21,4/29,28.52,0,7,0,-15.85
56,lost match,2017-2019,16,276,51,21.23,0,13,2/47,53.92,0,4,0,-32.69
57,no result,2017-2017,3,14,14,14,0,1,1/50,54,0,0,0,-39.99
59,won batting first,2017-2019,9,38,15,12.66,0,12,3/46,28.08,0,3,0,-15.41
60,won fielding first,2018-2019,7,-,-,-,-,9,4/29,29.11,0,4,0,-
61,lost batting first,2017-2019,7,139,42,23.16,0,4,2/47,70,0,1,0,-46.83
62,lost fielding first,2017-2019,9,137,51,19.57,0,9,2/59,46.77,0,3,0,-27.2
63,no result batting first,2017-2017,2,14,14,14,0,0,-,-,0,0,0,-
64,no result fielding first,2017-2017,1,-,-,-,-,1,1/50,50,0,0,0,-
66,2 team series,2017-2019,15,156,51,26,0,21,4/29,30.42,0,7,0,-4.42
67,3-4 team tournaments,2017-2019,6,11,6,5.5,0,4,1/22,49.75,0,0,0,-44.24
68,5+ team tournaments,2017-2019,14,161,42,17.88,0,10,2/21,51.6,0,4,0,-33.71
70,1st match in series,2017-2019,5,27,26,13.5,0,8,3/46,24.75,0,4,0,-11.24
71,2nd match in series,2017-2019,5,26,16,26,0,4,1/39,54,0,1,0,-27.99
72,3rd match in series,2017-2019,5,103,51,34.33,0,9,4/29,25,0,2,0,9.33
74,World Cup,2019-2019,7,37,12,12.33,0,6,2/47,56.83,0,4,0,-44.49
75,Asia Cup,2018-2018,6,110,42,22,0,4,2/21,42.75,0,0,0,-20.74
76,ICC Champions Trophy,2017-2017,1,14,14,14,0,0,-,-,0,0,0,-
78,tournament finals,2018-2019,3,37,32,18.5,0,2,1/22,51,0,0,0,-32.49
79,preliminary matches,2017-2019,17,135,42,15,0,12,2/21,51.08,0,4,0,-36.08
