,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,2014-2018,7,104,37,34.66,0,-,-,-,-,3,0,-
2,in England,2019-2019,3,47,26,15.66,0,-,-,-,-,0,0,-
3,in Ireland,2019-2019,3,60,43,30.00,0,-,-,-,-,1,0,-
4,in New Zealand,2019-2019,2,119,62,59.50,0,-,-,-,-,0,0,-
5,in U.A.E.,2018-2018,6,137,63,22.83,0,-,-,-,-,2,0,-
7,in Asia,2014-2018,13,241,63,26.77,0,-,-,-,-,5,0,-
8,in Europe,2019-2019,6,107,43,21.40,0,-,-,-,-,1,0,-
9,in Oceania,2019-2019,2,119,62,59.50,0,-,-,-,-,0,0,-
11,home,2014-2018,7,104,37,34.66,0,-,-,-,-,3,0,-
12,away,2019-2019,3,119,62,39.66,0,-,-,-,-,0,0,-
13,neutral,2018-2019,11,244,63,24.40,0,-,-,-,-,3,0,-
15,year 2014,,2,26,26,26.00,0,-,-,-,-,0,0,-
16,year 2018,,11,215,63,26.87,0,-,-,-,-,5,0,-
17,year 2019,,8,226,62,32.28,0,-,-,-,-,1,0,-
19,season 2014,,2,26,26,26.00,0,-,-,-,-,0,0,-
20,season 2017/18,,1,10,10,10.00,0,-,-,-,-,1,0,-
21,season 2018,,6,137,63,22.83,0,-,-,-,-,2,0,-
22,season 2018/19,,6,187,62,62.33,0,-,-,-,-,2,0,-
23,season 2019,,6,107,43,21.40,0,-,-,-,-,1,0,-
25,*Mashrafe Mortaza,2018-2019,19,441,63,29.40,0,-,-,-,-,6,0,-
26,*Mushfiqur Rahim,2014-2014,2,26,26,26.00,0,-,-,-,-,0,0,-
28,is not captain,2014-2019,21,467,63,29.18,0,-,-,-,-,6,0,-
30,is not keeper,2014-2019,21,467,63,29.18,0,-,-,-,-,6,0,-
32,won the toss,2014-2019,11,297,63,37.12,0,-,-,-,-,2,0,-
33,lost the toss,2014-2019,10,170,57,21.25,0,-,-,-,-,4,0,-
35,won toss & batted,2018-2019,5,223,63,44.60,0,-,-,-,-,0,0,-
36,won toss & fielded,2014-2019,6,74,26,24.66,0,-,-,-,-,2,0,-
37,lost toss & sent in,2018-2019,5,115,57,23.00,0,-,-,-,-,1,0,-
38,lost toss & fielded,2014-2019,5,55,43,18.33,0,-,-,-,-,3,0,-
40,matches batting first,2018-2019,10,338,63,33.80,0,-,-,-,-,1,0,-
41,matches fielding first,2014-2019,11,129,43,21.50,0,-,-,-,-,5,0,-
43,1st match innings,2014-2019,21,338,63,33.80,0,-,-,-,-,5,0,-
44,2nd match innings,2014-2019,20,129,43,21.50,0,-,-,-,-,1,0,-
46,day match,2018-2019,12,275,63,25.00,0,-,-,-,-,3,0,-
47,day/night match,2014-2019,9,192,62,38.40,0,-,-,-,-,3,0,-
49,won match,2018-2019,11,273,63,39.00,0,-,-,-,-,3,0,-
50,lost match,2014-2019,9,194,62,21.55,0,-,-,-,-,3,0,-
51,no result,2014-2014,1,-,-,-,-,-,-,-,-,0,0,-
53,won batting first,2018-2019,5,182,63,36.40,0,-,-,-,-,0,0,-
54,won fielding first,2018-2019,6,91,43,45.50,0,-,-,-,-,3,0,-
55,lost batting first,2018-2019,5,156,62,31.20,0,-,-,-,-,1,0,-
56,lost fielding first,2014-2019,4,38,26,9.50,0,-,-,-,-,2,0,-
57,no result fielding first,2014-2014,1,-,-,-,-,-,-,-,-,0,0,-
59,2 team series,2014-2019,8,213,62,53.25,0,-,-,-,-,2,0,-
60,3-4 team tournaments,2018-2019,4,70,43,23.33,0,-,-,-,-,2,0,-
61,5+ team tournaments,2018-2019,9,184,63,20.44,0,-,-,-,-,2,0,-
63,1st match in series,2018-2019,2,99,62,49.50,0,-,-,-,-,0,0,-
64,2nd match in series,2014-2019,3,107,57,53.50,0,-,-,-,-,0,0,-
65,3rd match in series,2014-2018,3,7,7*,-,0,-,-,-,-,2,0,-
67,World Cup,2019-2019,3,47,26,15.66,0,-,-,-,-,0,0,-
68,Asia Cup,2018-2018,6,137,63,22.83,0,-,-,-,-,2,0,-
70,tournament finals,2018-2019,3,29,17,9.66,0,-,-,-,-,1,0,-
71,preliminary matches,2018-2019,10,225,63,25.00,0,-,-,-,-,3,0,-
