,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,2018-2018,6,64,50,32.00,0,6,3/45,32.00,0,1,0,0.00
2,in England,2019-2019,7,87,51*,29.00,0,13,3/72,32.07,0,1,0,-3.07
3,in Ireland,2019-2019,3,-,-,-,-,4,2/43,29.75,0,0,0,-
4,in New Zealand,2019-2019,3,95,44,31.66,0,1,1/48,135.00,0,0,0,-103.33
5,in South Africa,2017-2017,1,16,16,16.00,0,0,-,-,0,0,0,-
7,in Africa,2017-2017,1,16,16,16.00,0,0,-,-,0,0,0,-
8,in Asia,2018-2018,6,64,50,32.00,0,6,3/45,32.00,0,1,0,0.00
9,in Europe,2019-2019,10,87,51*,29.00,0,17,3/72,31.52,0,1,0,-2.52
10,in Oceania,2019-2019,3,95,44,31.66,0,1,1/48,135.00,0,0,0,-103.33
12,home,2018-2018,6,64,50,32.00,0,6,3/45,32.00,0,1,0,0.00
13,away,2017-2019,6,116,44,23.20,0,5,2/43,60.40,0,0,0,-37.19
14,neutral,2019-2019,8,82,51*,41.00,0,13,3/72,31.92,0,1,0,9.07
16,year 2017,,1,16,16,16.00,0,0,-,-,0,0,0,-
17,year 2018,,6,64,50,32.00,0,6,3/45,32.00,0,1,0,0.00
18,year 2019,,13,182,51*,30.33,0,18,3/72,37.27,0,1,0,-6.94
20,season 2017/18,,3,30,16,15.00,0,1,1/15,75.00,0,1,0,-59.99
21,season 2018/19,,7,145,50,36.25,0,6,3/45,49.66,0,0,0,-13.41
22,season 2019,,10,87,51*,29.00,0,17,3/72,31.52,0,1,0,-2.52
24,*Mashrafe Mortaza,2017-2019,20,262,51*,29.11,0,24,3/45,37.87,0,2,0,-8.76
26,is not captain,2017-2019,20,262,51*,29.11,0,24,3/45,37.87,0,2,0,-8.76
28,is not keeper,2017-2019,20,262,51*,29.11,0,24,3/45,37.87,0,2,0,-8.76
30,won the toss,2017-2019,11,162,50,32.40,0,11,3/45,44.81,0,1,0,-12.41
31,lost the toss,2018-2019,9,100,51*,25.00,0,13,3/77,32.00,0,1,0,-6.99
33,won toss & batted,2017-2019,4,113,50,37.66,0,0,-,-,0,1,0,-
34,won toss & fielded,2018-2019,7,49,44,24.50,0,11,3/45,32.81,0,0,0,-8.31
35,lost toss & sent in,2019-2019,4,41,29,20.50,0,5,2/41,35.00,0,1,0,-14.49
36,lost toss & fielded,2018-2019,5,59,51*,29.50,0,8,3/77,30.12,0,0,0,-0.62
38,matches batting first,2017-2019,8,154,50,30.80,0,5,2/41,61.40,0,2,0,-30.59
39,matches fielding first,2018-2019,12,108,51*,27.00,0,19,3/45,31.68,0,0,0,-4.68
41,1st match innings,2017-2019,20,154,50,30.80,0,19,3/45,31.68,0,0,0,-0.88
42,2nd match innings,2017-2019,20,108,51*,27.00,0,5,2/41,61.40,0,2,0,-34.39
44,day match,2017-2019,12,128,51*,25.60,0,16,3/72,39.56,0,0,0,-13.96
45,day/night match,2018-2019,8,134,50,33.50,0,8,3/45,34.50,0,2,0,-0.99
47,won match,2018-2019,11,58,50,58.00,0,15,3/45,30.53,0,1,0,27.46
48,lost match,2017-2019,9,204,51*,25.50,0,9,3/77,50.11,0,1,0,-24.61
50,won batting first,2018-2019,4,58,50,58.00,0,3,2/57,44.33,0,1,0,13.66
51,won fielding first,2018-2019,7,-,-,-,-,12,3/45,27.08,0,0,0,-
52,lost batting first,2017-2019,4,96,41,24.00,0,2,2/41,87.00,0,1,0,-62.99
53,lost fielding first,2018-2019,5,108,51*,27.00,0,7,3/77,39.57,0,0,0,-12.57
55,2 team series,2017-2019,8,161,50,32.20,0,6,3/45,57.33,0,0,0,-25.13
56,3-4 team tournaments,2018-2019,5,14,8,14.00,0,5,2/43,29.60,0,1,0,-15.59
57,5+ team tournaments,2019-2019,7,87,51*,29.00,0,13,3/72,32.07,0,1,0,-3.07
59,1st match in series,2017-2019,3,107,50,35.66,0,0,-,-,0,0,0,-
60,2nd match in series,2018-2019,2,10,10,10.00,0,3,3/45,29.66,0,0,0,-19.66
61,3rd match in series,2018-2019,3,44,44,44.00,0,3,1/38,45.66,0,0,0,-1.66
63,World Cup,2019-2019,7,87,51*,29.00,0,13,3/72,32.07,0,1,0,-3.07
65,tournament finals,2018-2019,2,8,8,8.00,0,1,1/15,44.00,0,0,0,-35.99
66,preliminary matches,2018-2019,10,93,51*,31.00,0,17,3/72,30.64,0,2,0,0.35
