,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,2016-2016,5,116,45*,38.66,0,5,2/30,22.40,0,3,0,16.26
2,in England,2017-2019,10,141,35,20.14,0,6,3/13,48.00,0,4,0,-27.85
3,in Ireland,2017-2019,6,117,52*,39.00,0,1,1/21,83.00,0,4,0,-43.99
4,in New Zealand,2016-2016,3,64,50*,32.00,0,1,1/12,78.00,0,0,0,-45.99
5,in Sri Lanka,2017-2017,3,33,24*,33.00,0,0,-,-,0,1,0,-
6,in U.A.E.,2018-2018,3,39,26*,19.50,0,1,1/8,26.00,0,0,0,-6.49
7,in West Indies,2018-2018,3,14,11*,-,0,0,-,-,0,1,0,-
9,in Americas,2018-2018,3,14,11*,-,0,0,-,-,0,1,0,-
10,in Asia,2016-2018,11,188,45*,31.33,0,6,2/30,33.00,0,4,0,-1.66
11,in Europe,2017-2019,16,258,52*,25.80,0,7,3/13,53.00,0,8,0,-27.19
12,in Oceania,2016-2016,3,64,50*,32.00,0,1,1/12,78.00,0,0,0,-45.99
14,home,2016-2016,5,116,45*,38.66,0,5,2/30,22.40,0,3,0,16.26
15,away,2016-2019,14,153,50*,30.60,0,2,1/12,162.50,0,4,0,-131.89
16,neutral,2017-2019,14,255,52*,25.50,0,7,3/13,39.00,0,6,0,-13.49
18,year 2016,,8,180,50*,36.00,0,6,2/30,31.66,0,3,0,4.33
19,year 2017,,10,108,41,27.00,0,4,3/13,43.75,0,5,0,-16.74
20,year 2018,,6,53,26*,26.50,0,1,1/8,89.00,0,1,0,-62.49
21,year 2019,,9,183,52*,26.14,0,3,2/33,85.33,0,4,0,-59.19
23,season 2016/17,,11,213,50*,35.50,0,6,2/30,41.66,0,4,0,-6.16
24,season 2017,,7,75,41,25.00,0,4,3/13,28.75,0,4,0,-3.74
25,season 2018,,6,53,26*,26.50,0,1,1/8,89.00,0,1,0,-62.49
26,season 2019,,9,183,52*,26.14,0,3,2/33,85.33,0,4,0,-59.19
28,*Mashrafe Mortaza,2016-2019,32,524,52*,29.11,0,14,3/13,50.71,0,13,0,-21.60
29,*Shakib Al Hasan,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-
31,is not captain,2016-2019,33,524,52*,29.11,0,14,3/13,50.71,0,13,0,-21.60
33,is not keeper,2016-2019,33,524,52*,29.11,0,14,3/13,50.71,0,13,0,-21.60
35,won the toss,2016-2019,13,130,52*,18.57,0,4,1/5,57.75,0,4,0,-39.17
36,lost the toss,2016-2019,20,394,50*,35.81,0,10,3/13,47.90,0,9,0,-12.08
38,won toss & batted,2016-2018,5,27,11*,9.00,0,2,1/5,35.50,0,1,0,-26.49
39,won toss & fielded,2016-2019,8,103,52*,25.75,0,2,1/12,80.00,0,3,0,-54.24
40,lost toss & sent in,2016-2019,12,278,45*,39.71,0,7,2/30,34.42,0,6,0,5.28
41,lost toss & fielded,2016-2019,8,116,50*,29.00,0,3,3/13,79.33,0,3,0,-50.33
43,matches batting first,2016-2019,17,305,45*,30.50,0,9,2/30,34.66,0,7,0,-4.16
44,matches fielding first,2016-2019,16,219,52*,27.37,0,5,3/13,79.60,0,6,0,-52.22
46,1st match innings,2016-2019,33,305,45*,30.50,0,5,3/13,79.60,0,6,0,-49.09
47,2nd match innings,2016-2019,31,219,52*,27.37,0,9,2/30,34.66,0,7,0,-7.29
49,day match,2016-2019,24,370,52*,26.42,0,7,3/13,69.57,0,8,0,-43.14
50,day/night match,2016-2019,9,154,45*,38.50,0,7,2/30,31.85,0,5,0,6.64
52,won match,2016-2019,14,213,52*,30.42,0,8,3/13,32.37,0,6,0,-1.94
53,lost match,2016-2019,17,311,50*,28.27,0,6,2/30,70.83,0,7,0,-42.56
54,no result,2017-2017,2,-,-,-,-,0,-,-,0,0,0,-
56,won batting first,2016-2019,8,130,35,26.00,0,4,1/5,33.50,0,3,0,-7.49
57,won fielding first,2017-2019,6,83,52*,41.50,0,4,3/13,31.25,0,3,0,10.25
58,lost batting first,2016-2019,8,175,45*,35.00,0,5,2/30,35.60,0,4,0,-0.59
59,lost fielding first,2016-2019,9,136,50*,22.66,0,1,1/12,247.00,0,3,0,-224.33
60,no result batting first,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-
61,no result fielding first,2017-2017,1,-,-,-,-,0,-,-,0,0,0,-
63,2 team series,2016-2018,14,227,50*,37.83,0,6,2/30,52.16,0,5,0,-14.33
64,3-4 team tournaments,2017-2019,6,117,52*,39.00,0,1,1/21,83.00,0,4,0,-43.99
65,5+ team tournaments,2017-2019,13,180,35,20.00,0,7,3/13,44.85,0,4,0,-24.85
67,1st match in series,2016-2018,4,74,50*,74.00,0,0,-,-,0,3,0,-
68,2nd match in series,2016-2018,5,80,45*,40.00,0,4,2/30,26.00,0,2,0,14.00
69,3rd match in series,2016-2018,5,73,38*,24.33,0,2,1/5,38.00,0,0,0,-13.66
71,World Cup,2019-2019,7,117,35,19.50,0,3,2/33,71.66,0,3,0,-52.16
72,Asia Cup,2018-2018,3,39,26*,19.50,0,1,1/8,26.00,0,0,0,-6.49
73,ICC Champions Trophy,2017-2017,3,24,15,24.00,0,3,3/13,24.33,0,1,0,-0.33
75,tournament finals,2019-2019,1,52,52*,-,0,0,-,-,0,1,0,-
76,tournament semi-finals,2017-2017,1,15,15,15.00,0,0,-,-,0,1,0,-
77,preliminary matches,2017-2019,17,230,41,20.90,0,8,3/13,46.87,0,6,0,-25.96
