,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2015,4,223,89,55.75,0,-,-,-,-,6,1,-
2,in Bangladesh,2006-2018,108,2944,117,36.80,3,-,-,-,-,92,25,-
3,in England,2010-2019,13,552,102*,46.00,1,-,-,-,-,8,3,-
4,in Ireland,2010-2019,10,304,63,50.66,0,-,-,-,-,13,1,-
5,in New Zealand,2007-2019,12,265,86,26.50,0,-,-,-,-,6,2,-
6,in Pakistan,2008-2008,5,105,44,21.00,0,-,-,-,-,2,0,-
7,in Scotland,2010-2010,1,0,0,0.00,0,-,-,-,-,0,0,-
8,in South Africa,2008-2017,5,181,110*,45.25,1,-,-,-,-,2,0,-
9,in Sri Lanka,2007-2017,12,78,30,7.80,0,-,-,-,-,10,3,-
10,in U.A.E.,2018-2018,5,302,144,60.40,1,-,-,-,-,6,0,-
11,in West Indies,2007-2018,20,404,72,28.85,0,-,-,-,-,14,4,-
12,in Zimbabwe,2006-2013,18,567,101,37.80,1,-,-,-,-,18,5,-
14,in Africa,2006-2017,23,748,110*,39.36,2,-,-,-,-,20,5,-
15,in Americas,2007-2018,20,404,72,28.85,0,-,-,-,-,14,4,-
16,in Asia,2006-2018,130,3429,144,34.29,4,-,-,-,-,110,28,-
17,in Europe,2010-2019,24,856,102*,45.05,1,-,-,-,-,21,4,-
18,in Oceania,2007-2019,16,488,89,34.85,0,-,-,-,-,12,3,-
20,home,2006-2018,108,2944,117,36.80,3,-,-,-,-,92,25,-
21,away,2006-2019,63,1544,110*,29.69,2,-,-,-,-,52,11,-
22,neutral,2007-2019,42,1437,144,42.26,2,-,-,-,-,33,8,-
24,year 2006,,5,24,18*,24.00,0,-,-,-,-,2,2,-
25,year 2007,,23,326,57,21.73,0,-,-,-,-,17,4,-
26,year 2008,,12,185,44,15.41,0,-,-,-,-,4,0,-
27,year 2009,,19,387,98,29.76,0,-,-,-,-,14,5,-
28,year 2010,,25,538,86,25.61,0,-,-,-,-,19,11,-
29,year 2011,,20,527,101,32.93,1,-,-,-,-,15,8,-
30,year 2012,,9,264,79,37.71,0,-,-,-,-,11,3,-
31,year 2013,,9,198,90,24.75,0,-,-,-,-,7,1,-
32,year 2014,,18,704,117,44.00,1,-,-,-,-,15,2,-
33,year 2015,,18,767,107,51.13,2,-,-,-,-,22,2,-
34,year 2016,,7,198,67*,39.60,0,-,-,-,-,8,1,-
35,year 2017,,14,458,110*,45.80,1,-,-,-,-,9,1,-
36,year 2018,,19,770,144,55.00,1,-,-,-,-,21,2,-
37,year 2019,,15,579,102*,44.53,1,-,-,-,-,13,2,-
39,season 2006,,1,-,-,-,-,-,-,-,-,0,0,-
40,season 2006/07,,19,282,57,28.20,0,-,-,-,-,11,5,-
41,season 2007,,5,64,35,16.00,0,-,-,-,-,7,1,-
42,season 2007/08,,3,4,4*,2.00,0,-,-,-,-,1,0,-
