,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,2015-2018,19,35,18*,17.5,0,40,6/43,15.6,3,3,0,1.9
2,in England,2017-2019,12,2,1*,0.66,0,21,5/59,31.76,2,4,0,-31.09
3,in Ireland,2017-2019,7,0,0*,-,0,13,4/23,21.46,0,1,0,-
4,in New Zealand,2016-2019,5,5,5*,2.5,0,8,2/32,33.12,0,0,0,-30.62
5,in Sri Lanka,2017-2017,3,1,1*,-,0,6,3/56,28.5,0,1,0,-
6,in U.A.E.,2018-2018,5,15,10,7.5,0,10,4/43,18.5,0,1,0,-10.99
7,in West Indies,2018-2018,3,-,-,-,-,5,2/35,28.4,0,0,0,-
9,in Americas,2018-2018,3,-,-,-,-,5,2/35,28.4,0,0,0,-
10,in Asia,2015-2018,27,51,18*,12.75,0,56,6/43,17.5,3,5,0,-4.74
11,in Europe,2017-2019,19,2,1*,0.66,0,34,5/59,27.82,2,5,0,-27.15
12,in Oceania,2016-2019,5,5,5*,2.5,0,8,2/32,33.12,0,0,0,-30.62
14,home,2015-2018,19,35,18*,17.5,0,40,6/43,15.6,3,3,0,1.9
15,away,2016-2019,15,6,5*,2,0,24,4/23,30.29,0,2,0,-28.29
16,neutral,2017-2019,20,17,10,4.25,0,39,5/59,25.17,2,5,0,-20.92
18,year 2015,,9,15,9,7.5,0,26,6/43,12.34,3,2,0,-4.84
19,year 2016,,2,0,0*,0,0,4,2/32,23.5,0,0,0,-23.49
20,year 2017,,11,2,1*,-,0,14,4/23,32.57,0,4,0,-
21,year 2018,,18,35,18*,17.5,0,29,4/43,21.72,0,2,0,-4.22
22,year 2019,,14,6,5*,1.5,0,30,5/59,27.73,2,2,0,-26.23
24,season 2015,,6,9,9,9,0,18,6/43,12.61,2,1,0,-3.61
25,season 2015/16,,3,6,5*,6,0,8,5/34,11.75,1,1,0,-5.74
26,season 2016/17,,5,1,1*,1,0,10,3/56,26.5,0,1,0,-25.49
27,season 2017,,8,1,1*,-,0,8,4/23,35.62,0,3,0,-
28,season 2017/18,,5,19,18*,-,0,7,2/16,15.42,0,0,0,-
29,season 2018,,8,15,10,7.5,0,15,4/43,21.8,0,1,0,-14.29
30,season 2018/19,,8,6,5*,6,0,11,3/35,33.27,0,1,0,-27.27
31,season 2019,,11,1,1,0.33,0,26,5/59,25.42,2,2,0,-25.08
33,*Mashrafe Mortaza,2015-2019,53,58,18*,6.44,0,103,6/43,22.65,5,10,0,-16.2
34,*Shakib Al Hasan,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-
36,is not captain,2015-2019,54,58,18*,6.44,0,103,6/43,22.65,5,10,0,-16.2
38,is not keeper,2015-2019,54,58,18*,6.44,0,103,6/43,22.65,5,10,0,-16.2
40,won the toss,2015-2019,27,42,18*,8.4,0,47,5/34,22.91,2,3,0,-14.51
41,lost the toss,2015-2019,27,16,5*,4,0,56,6/43,22.42,3,7,0,-18.42
43,won toss & batted,2015-2019,15,32,18*,10.66,0,27,5/34,17.7,2,2,0,-7.03
44,won toss & fielded,2015-2019,12,10,9,5,0,20,4/23,29.95,0,1,0,-24.94
45,lost toss & sent in,2015-2019,14,15,5*,15,0,19,3/33,30.68,0,1,0,-15.68
46,lost toss & fielded,2015-2019,13,1,1,0.33,0,37,6/43,18.18,3,6,0,-17.85
48,matches batting first,2015-2019,29,47,18*,11.75,0,46,5/34,23.06,2,3,0,-11.31
49,matches fielding first,2015-2019,25,11,9,2.2,0,57,6/43,22.31,3,7,0,-20.11
51,1st match innings,2015-2019,54,47,18*,11.75,0,57,6/43,22.31,3,7,0,-10.56
52,2nd match innings,2015-2019,52,11,9,2.2,0,46,5/34,23.06,2,3,0,-20.86
54,day match,2016-2019,29,22,10,3.66,0,57,5/59,25.22,2,6,0,-21.56
55,day/night match,2015-2019,25,36,18*,12,0,46,6/43,19.45,3,4,0,-7.45
57,won match,2015-2019,29,35,18*,17.5,0,68,6/43,17.1,3,6,0,0.39
58,lost match,2015-2019,22,22,9,3.14,0,34,5/59,31.85,2,3,0,-28.71
59,no result,2017-2017,3,1,1*,-,0,1,1/60,87,0,1,0,-
61,won batting first,2015-2019,15,35,18*,17.5,0,36,5/34,15.8,2,2,0,1.69
62,won fielding first,2015-2019,14,-,-,-,-,32,6/43,18.56,1,4,0,-
63,lost batting first,2015-2019,12,11,5*,5.5,0,10,2/32,46.5,0,1,0,-40.99
64,lost fielding first,2015-2019,10,11,9,2.2,0,24,5/59,25.75,2,2,0,-23.54
65,no result batting first,2017-2017,2,1,1*,-,0,0,-,-,0,0,0,-
66,no result fielding first,2017-2017,1,-,-,-,-,1,1/60,60,0,1,0,-
68,2 team series,2015-2019,25,22,9,5.5,0,52,6/43,21.03,3,4,0,-15.53
69,3-4 team tournaments,2017-2019,12,19,18*,-,0,20,4/23,19.35,0,1,0,-
70,5+ team tournaments,2017-2019,17,17,10,3.4,0,31,5/59,27.48,2,5,0,-24.08
72,1st match in series,2015-2019,9,1,1*,0.5,0,16,5/50,21.56,1,1,0,-21.06
73,2nd match in series,2015-2019,8,10,5*,-,0,20,6/43,17.9,1,1,0,-
74,3rd match in series,2015-2019,8,11,9,5.5,0,16,5/34,24.43,1,2,0,-18.93
76,World Cup,2019-2019,8,1,1,0.33,0,20,5/59,24.2,2,1,0,-23.86
77,Asia Cup,2018-2018,5,15,10,7.5,0,10,4/43,18.5,0,1,0,-10.99
78,ICC Champions Trophy,2017-2017,4,1,1*,-,0,1,1/52,183,0,3,0,-
80,tournament finals,2018-2019,3,2,2*,-,0,4,2/29,29.25,0,0,0,-
81,tournament semi-finals,2017-2017,1,-,-,-,-,0,-,-,0,0,0,-
82,preliminary matches,2017-2019,25,34,18*,6.8,0,47,5/59,22.74,2,6,0,-15.94
