,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2015,4,0,0*,0.00,0,7,4/53,28.28,0,1,0,-28.28
2,in Bangladesh,2009-2018,56,100,17,7.14,0,72,6/26,31.52,1,10,0,-24.38
3,in England,2010-2019,8,10,9,5.00,0,7,2/52,62.14,0,3,0,-57.14
4,in Ireland,2010-2019,6,4,4,4.00,0,4,2/53,58.25,0,0,0,-54.24
5,in New Zealand,2010-2019,5,3,3,3.00,0,5,2/68,57.40,0,1,0,-54.39
6,in South Africa,2017-2017,3,8,8,8.00,0,5,4/62,34.80,0,0,0,-26.79
7,in Sri Lanka,2013-2013,2,-,-,-,-,1,1/44,64.00,0,0,0,-
8,in U.A.E.,2018-2018,5,4,2,1.00,0,6,2/26,22.50,0,2,0,-21.49
9,in West Indies,2009-2018,5,1,1*,-,0,6,3/61,35.50,0,1,0,-
10,in Zimbabwe,2011-2011,5,2,1,0.66,0,11,4/26,16.54,0,2,0,-15.87
12,in Africa,2011-2017,8,10,8,2.50,0,16,4/26,22.25,0,2,0,-19.74
13,in Americas,2009-2018,5,1,1*,-,0,6,3/61,35.50,0,1,0,-
14,in Asia,2009-2018,63,104,17,5.77,0,79,6/26,31.25,1,12,0,-25.47
15,in Europe,2010-2019,14,14,9,4.66,0,11,2/52,60.72,0,3,0,-56.06
16,in Oceania,2010-2019,9,3,3,1.50,0,12,4/53,40.41,0,2,0,-38.91
18,home,2009-2018,56,100,17,7.14,0,72,6/26,31.52,1,10,0,-24.38
19,away,2009-2019,26,19,8,3.16,0,33,4/26,35.18,0,4,0,-32.01
20,neutral,2015-2019,17,13,9,1.85,0,19,4/53,40.00,0,6,0,-38.14
22,year 2009,,8,1,1*,1.00,0,10,4/33,27.60,0,2,0,-26.59
23,year 2010,,13,9,4,3.00,0,15,4/25,42.80,0,2,0,-39.79
24,year 2011,,16,28,15*,7.00,0,23,4/26,28.47,0,3,0,-21.47
25,year 2012,,1,1,1*,-,0,0,-,-,0,0,0,-
26,year 2013,,5,5,3*,5.00,0,8,6/26,21.87,1,0,0,-16.87
27,year 2014,,10,39,17,9.75,0,13,3/76,34.07,0,2,0,-24.32
28,year 2015,,14,6,4,2.00,0,18,4/53,34.05,0,2,0,-32.05
29,year 2016,,2,11,10,11.00,0,1,1/62,86.00,0,0,0,-74.99
30,year 2017,,11,8,8,4.00,0,10,4/62,51.50,0,0,0,-47.49
31,year 2018,,15,12,8*,2.00,0,23,4/46,22.08,0,6,0,-20.08
32,year 2019,,4,12,9,6.00,0,3,1/41,78.66,0,3,0,-72.66
34,season 2008/09,,5,0,0*,0.00,0,8,4/33,18.87,0,2,0,-18.87
35,season 2009,,2,1,1*,-,0,1,1/28,66.00,0,0,0,-
36,season 2009/10,,8,2,2*,2.00,0,6,2/68,73.33,0,0,0,-71.33
37,season 2010,,3,5,4,5.00,0,4,2/52,38.75,0,0,0,-33.74
38,season 2010/11,,9,13,8*,6.50,0,11,4/25,29.27,0,2,0,-22.77
39,season 2011,,6,2,1,0.66,0,11,4/26,21.72,0,2,0,-21.06
40,season 2011/12,,4,15,15*,-,0,7,3/65,28.57,0,1,0,-
41,season 2012/13,,3,1,1*,-,0,1,1/44,106.00,0,0,0,-
42,season 2013/14,,9,32,17,6.40,0,16,6/26,27.62,1,1,0,-21.22
43,season 2014/15,,10,12,7*,12.00,0,12,4/53,34.16,0,3,0,-22.16
44,season 2015,,8,6,4,3.00,0,10,2/26,31.50,0,0,0,-28.49
45,season 2016/17,,2,11,10,11.00,0,1,1/62,86.00,0,0,0,-74.99
46,season 2017,,8,0,0*,0.00,0,5,2/53,68.20,0,0,0,-68.19
47,season 2017/18,,8,16,8*,5.33,0,14,4/46,20.14,0,2,0,-14.80
48,season 2018,,8,4,2,1.00,0,11,3/61,25.63,0,3,0,-24.63
49,season 2018/19,,3,3,3,3.00,0,4,2/57,45.50,0,1,0,-42.49
50,season 2019,,3,9,9,9.00,0,2,1/41,86.00,0,3,0,-76.99
52,*Mashrafe Mortaza,2010-2019,50,66,10,4.40,0,61,4/46,35.08,0,11,0,-30.68
53,*Mohammad Ashraful,2009-2009,5,0,0*,0.00,0,8,4/33,18.87,0,2,0,-18.87
54,*Mushfiqur Rahim,2011-2014,16,48,17,9.60,0,24,6/26,31.16,1,2,0,-21.56
55,*Shakib Al Hasan,2009-2017,28,18,8*,3.00,0,31,4/25,37.16,0,5,0,-34.16
57,is not captain,2009-2019,99,132,17,4.88,0,124,6/26,33.79,1,20,0,-28.90
59,is not keeper,2009-2019,99,132,17,4.88,0,124,6/26,33.79,1,20,0,-28.90
61,won the toss,2009-2019,48,88,17,5.86,0,56,4/25,33.85,0,14,0,-27.99
