,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2015,4,100,53,25.00,0,0,-,-,0,1,0,-
2,in Bangladesh,2014-2018,28,483,65,25.42,0,1,1/12,77.00,0,23,0,-51.57
3,in England,2017-2019,6,95,36,15.83,0,1,1/13,24.00,0,0,0,-8.16
4,in Ireland,2017-2019,8,108,65,21.60,0,0,-,-,0,3,0,-
5,in New Zealand,2015-2019,8,313,102,44.71,1,1,1/47,150.00,0,2,0,-105.28
6,in South Africa,2017-2017,3,75,39,25.00,0,0,-,-,0,1,0,-
7,in Sri Lanka,2017-2017,3,54,54,27.00,0,-,-,-,-,1,0,-
8,in West Indies,2018-2018,3,27,12,9.00,0,-,-,-,-,1,0,-
10,in Africa,2017-2017,3,75,39,25.00,0,0,-,-,0,1,0,-
11,in Americas,2018-2018,3,27,12,9.00,0,-,-,-,-,1,0,-
12,in Asia,2014-2018,31,537,65,25.57,0,1,1/12,77.00,0,24,0,-51.42
13,in Europe,2017-2019,14,203,65,18.45,0,1,1/13,36.00,0,3,0,-17.54
14,in Oceania,2015-2019,12,413,102,37.54,1,1,1/47,193.00,0,3,0,-155.45
16,home,2014-2018,28,483,65,25.42,0,1,1/12,77.00,0,23,0,-51.57
17,away,2015-2019,20,493,102,27.38,1,1,1/13,135.00,0,4,0,-107.61
18,neutral,2015-2019,15,279,65,23.25,0,1,1/47,113.00,0,5,0,-89.74
20,year 2014,,5,83,44*,27.66,0,0,-,-,0,1,0,-
21,year 2015,,18,399,57,33.25,0,2,1/12,68.50,0,12,0,-35.24
22,year 2016,,9,214,65,23.77,0,0,-,-,0,7,0,-
23,year 2017,,14,289,65,22.23,0,1,1/13,43.00,0,3,0,-20.76
24,year 2018,,8,69,24*,11.50,0,-,-,-,-,7,0,-
25,year 2019,,9,201,102,33.50,1,0,-,-,0,2,0,-
27,season 2014/15,,11,265,53,33.12,0,1,1/47,140.00,0,4,0,-106.87
28,season 2015,,9,126,43,31.50,0,0,-,-,0,6,0,-
29,season 2015/16,,3,91,57,30.33,0,1,1/12,12.00,0,3,0,18.33
30,season 2016/17,,12,268,65,24.36,0,0,-,-,0,8,0,-
31,season 2017,,8,160,65,20.00,0,1,1/13,24.00,0,1,0,-3.99
32,season 2017/18,,8,117,39,19.50,0,0,-,-,0,7,0,-
33,season 2018,,3,27,12,9.00,0,-,-,-,-,1,0,-
34,season 2018/19,,3,158,102,52.66,1,0,-,-,0,0,0,-
35,season 2019,,6,43,36,14.33,0,0,-,-,0,2,0,-
37,*Mashrafe Mortaza,2014-2019,60,1200,102,26.08,1,3,1/12,103.66,0,32,0,-77.57
38,*Shakib Al Hasan,2015-2017,3,55,40,18.33,0,0,-,-,0,0,0,-
