,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2008-2015,7,174,63,24.85,0,7,2/38,43.71,0,2,0,-18.85
2,in Bangladesh,2006-2018,99,2777,106,36.53,3,149,5/47,23.19,1,23,0,13.34
3,in England,2010-2019,15,801,124*,57.21,3,15,5/29,47.80,1,6,0,9.41
4,in India,2006-2006,3,103,67*,51.50,0,3,3/18,17.66,0,1,0,33.83
5,in Ireland,2010-2019,9,262,61*,52.40,0,8,2/21,40.87,0,3,0,11.52
6,in Kenya,2006-2006,3,58,25*,29.00,0,3,2/32,28.66,0,0,0,0.33
7,in New Zealand,2007-2016,11,234,59,23.40,0,18,4/33,28.05,0,2,0,-4.65
8,in Pakistan,2008-2008,5,192,108,38.40,1,5,2/50,43.40,0,1,0,-4.99
9,in Scotland,2010-2010,1,15,15,15.00,0,2,2/36,18.00,0,0,0,-2.99
10,in South Africa,2008-2017,5,165,63,33.00,0,4,2/48,69.75,0,0,0,-36.74
11,in Sri Lanka,2007-2017,9,195,72,24.37,0,7,2/49,56.71,0,4,0,-32.33
12,in U.A.E.,2018-2018,4,49,32,12.25,0,7,4/42,24.57,0,0,0,-12.32
13,in West Indies,2007-2018,17,703,134*,54.07,1,14,2/12,43.07,0,5,0,11.00
14,in Zimbabwe,2006-2013,18,595,104,39.66,1,18,2/26,39.05,0,3,0,0.61
16,in Africa,2006-2017,26,818,104,37.18,1,25,2/26,42.72,0,3,0,-5.53
17,in Americas,2007-2018,17,703,134*,54.07,1,14,2/12,43.07,0,5,0,11.00
18,in Asia,2006-2018,120,3316,108,34.90,4,171,5/47,25.11,1,29,0,9.78
19,in Europe,2010-2019,25,1078,124*,53.90,3,25,5/29,43.20,1,9,0,10.70
20,in Oceania,2007-2016,18,408,63,24.00,0,25,4/33,32.44,0,4,0,-8.43
22,home,2006-2018,99,2777,106,36.53,3,149,5/47,23.19,1,23,0,13.34
23,away,2006-2019,68,2038,121,33.96,3,67,4/33,42.59,0,18,0,-8.63
24,neutral,2006-2019,39,1508,134*,48.64,3,44,5/29,35.15,1,9,0,13.48
26,year 2006,,14,361,67*,45.12,0,15,3/18,24.93,0,3,0,20.19
