,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2015,4,122,40,30.50,0,0,-,-,0,1,0,-
2,in Bangladesh,2014-2018,17,770,127*,51.33,2,0,-,-,0,9,0,-
3,in England,2017-2019,12,200,42,16.66,0,4,3/58,26.00,0,7,0,-9.33
4,in Ireland,2017-2019,7,346,87*,57.66,0,0,-,-,0,2,0,-
5,in New Zealand,2015-2019,6,106,51,17.66,0,0,-,-,0,7,0,-
6,in South Africa,2017-2017,1,8,8,8.00,0,-,-,-,-,0,0,-
7,in Sri Lanka,2017-2017,3,48,38,24.00,0,-,-,-,-,2,0,-
8,in U.A.E.,2018-2018,2,33,33,16.50,0,1,1/19,19.00,0,1,0,-2.49
10,in Africa,2017-2017,1,8,8,8.00,0,-,-,-,-,0,0,-
11,in Asia,2014-2018,22,851,127*,44.78,2,1,1/19,35.00,0,12,0,9.78
12,in Europe,2017-2019,19,546,87*,30.33,0,4,3/58,29.75,0,9,0,0.58
13,in Oceania,2015-2019,10,228,51,22.80,0,0,-,-,0,8,0,-
15,home,2014-2018,17,770,127*,51.33,2,0,-,-,0,9,0,-
16,away,2015-2019,13,282,87*,25.63,0,0,-,-,0,7,0,-
17,neutral,2015-2019,22,581,73,26.40,0,5,3/58,27.60,0,13,0,-1.19
19,year 2014,,1,20,20,20.00,0,-,-,-,-,0,0,-
20,year 2015,,15,672,127*,51.69,1,0,-,-,0,11,0,-
21,year 2016,,4,32,20,8.00,0,0,-,-,0,2,0,-
22,year 2017,,12,243,87*,24.30,0,0,-,-,0,2,0,-
23,year 2018,,6,255,117,42.50,1,1,1/19,35.00,0,4,0,7.50
24,year 2019,,14,411,73,29.35,0,4,3/58,31.00,0,10,0,-1.64
26,season 2014/15,,7,195,51,27.85,0,0,-,-,0,6,0,-
27,season 2015,,9,497,127*,71.00,1,-,-,-,-,5,0,-
28,season 2016/17,,7,80,38,13.33,0,0,-,-,0,4,0,-
29,season 2017,,8,187,87*,26.71,0,0,-,-,0,0,0,-
30,season 2017/18,,1,8,8,8.00,0,-,-,-,-,0,0,-
31,season 2018,,2,33,33,16.50,0,1,1/19,19.00,0,1,0,-2.49
32,season 2018/19,,7,274,117,39.14,1,0,-,-,0,4,0,-
33,season 2019,,11,359,73,32.63,0,4,3/58,26.50,0,9,0,6.13
35,*Mashrafe Mortaza,2014-2019,49,1557,127*,34.60,2,5,3/58,42.00,0,27,0,-7.39
36,*Shakib Al Hasan,2015-2017,3,76,51,25.33,0,0,-,-,0,2,0,-
38,is not captain,2014-2019,52,1633,127*,34.02,2,5,3/58,45.80,0,29,0,-11.77
40,is not keeper,2014-2019,52,1633,127*,34.02,2,5,3/58,45.80,0,29,0,-11.77
42,won the toss,2015-2019,20,634,117,33.36,1,1,1/19,56.00,0,14,0,-22.63
43,lost the toss,2014-2019,32,999,127*,34.44,1,4,3/58,43.25,0,15,0,-8.80
45,won toss & batted,2015-2019,9,173,54,19.22,0,1,1/19,40.00,0,4,0,-20.77
46,won toss & fielded,2015-2019,11,461,117,46.10,1,0,-,-,0,10,0,-
47,lost toss & sent in,2015-2019,14,346,61,24.71,0,0,-,-,0,6,0,-
48,lost toss & fielded,2014-2019,18,653,127*,43.53,1,4,3/58,32.75,0,9,0,10.78
50,matches batting first,2015-2019,23,519,61,22.56,0,1,1/19,82.00,0,10,0,-59.43
51,matches fielding first,2014-2019,29,1114,127*,44.56,2,4,3/58,36.75,0,19,0,7.81
53,1st match innings,2014-2019,52,519,61,22.56,0,4,3/58,36.75,0,19,0,-14.18
54,2nd match innings,2014-2019,50,1114,127*,44.56,2,1,1/19,82.00,0,10,0,-37.43
56,day match,2015-2019,25,622,87*,25.91,0,5,3/58,34.60,0,15,0,-8.68
57,day/night match,2014-2019,27,1011,127*,42.12,2,0,-,-,0,14,0,-
59,won match,2014-2019,27,1114,127*,46.41,2,1,1/19,63.00,0,18,0,-16.58
60,lost match,2015-2019,22,511,61,23.22,0,4,3/58,41.50,0,10,0,-18.27
61,no result,2017-2017,3,8,5,4.00,0,-,-,-,-,1,0,-
63,won batting first,2015-2019,10,208,54,20.80,0,1,1/19,32.00,0,6,0,-11.19
64,won fielding first,2014-2019,17,906,127*,64.71,2,0,-,-,0,12,0,-
65,lost batting first,2015-2019,11,303,61,27.54,0,0,-,-,0,4,0,-
66,lost fielding first,2015-2019,11,208,40,18.90,0,4,3/58,29.00,0,6,0,-10.09
67,no result batting first,2017-2017,2,8,5,4.00,0,-,-,-,-,0,0,-
68,no result fielding first,2017-2017,1,-,-,-,-,-,-,-,-,1,0,-
70,2 team series,2014-2019,25,879,127*,39.95,2,0,-,-,0,13,0,-
71,3-4 team tournaments,2017-2019,7,346,87*,57.66,0,0,-,-,0,2,0,-
72,5+ team tournaments,2015-2019,20,408,51,20.40,0,5,3/58,31.00,0,14,0,-10.59
74,1st match in series,2015-2019,8,161,54,20.12,0,0,-,-,0,5,0,-
75,2nd match in series,2015-2019,7,187,88*,37.40,0,0,-,-,0,5,0,-
76,3rd match in series,2015-2019,9,511,127*,63.87,2,0,-,-,0,3,0,-
77,5th match in series,2014-2014,1,20,20,20.00,0,-,-,-,-,0,0,-
79,World Cup,2015-2019,14,341,51,24.35,0,4,3/58,30.75,0,13,0,-6.39
80,Asia Cup,2018-2018,2,33,33,16.50,0,1,1/19,19.00,0,1,0,-2.49
81,ICC Champions Trophy,2017-2017,4,34,28,8.50,0,0,-,-,0,0,0,-
83,tournament finals,2018-2019,2,99,66,49.50,0,-,-,-,-,1,0,-
84,tournament semi-finals,2017-2017,1,0,0,0.00,0,-,-,-,-,0,0,-
85,tournament quarter-finals,2015-2015,1,29,29,29.00,0,-,-,-,-,0,0,-
86,preliminary matches,2015-2019,23,626,87*,28.45,0,5,3/58,34.00,0,15,0,-5.54
