,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2008-2015,7,130,63,18.57,0,-,-,-,-,0,0,-
2,in Bangladesh,2007-2018,95,3260,132,36.62,5,0,-,-,0,16,0,-
3,in England,2010-2019,15,590,128,39.33,1,-,-,-,-,6,0,-
4,in Ireland,2010-2019,10,454,80,50.44,0,-,-,-,-,3,0,-
5,in New Zealand,2007-2019,14,408,95,29.14,0,-,-,-,-,5,0,-
6,in Pakistan,2008-2008,10,304,63,30.40,0,-,-,-,-,4,0,-
7,in Scotland,2010-2010,1,2,2,2.00,0,-,-,-,-,0,0,-
8,in South Africa,2008-2017,3,88,41,29.33,0,-,-,-,-,1,0,-
9,in Sri Lanka,2007-2017,10,418,127,46.44,2,-,-,-,-,4,0,-
10,in U.A.E.,2018-2018,1,2,2*,-,0,-,-,-,-,0,0,-
11,in West Indies,2007-2018,20,658,130*,34.63,2,-,-,-,-,10,0,-
12,in Zimbabwe,2007-2013,15,557,154,37.13,1,-,-,-,-,3,0,-
14,in Africa,2007-2017,18,645,154,35.83,1,-,-,-,-,4,0,-
15,in Americas,2007-2018,20,658,130*,34.63,2,-,-,-,-,10,0,-
16,in Asia,2007-2018,116,3984,132,36.88,7,0,-,-,0,24,0,-
17,in Europe,2010-2019,26,1046,128,41.84,1,-,-,-,-,9,0,-
18,in Oceania,2007-2019,21,538,95,25.61,0,-,-,-,-,5,0,-
20,home,2007-2018,95,3260,132,36.62,5,0,-,-,0,16,0,-
21,away,2007-2019,68,2504,154,38.52,6,-,-,-,-,21,0,-
22,neutral,2007-2019,38,1107,95,29.91,0,-,-,-,-,15,0,-
24,year 2007,,21,455,54,21.66,0,-,-,-,-,9,0,-
25,year 2008,,26,807,129,31.03,1,0,-,-,0,8,0,-
26,year 2009,,19,602,154,31.68,1,-,-,-,-,3,0,-
27,year 2010,,23,776,125,33.73,1,0,-,-,0,5,0,-
28,year 2011,,20,475,70,25.00,0,-,-,-,-,4,0,-
29,year 2012,,9,347,70,38.55,0,-,-,-,-,4,0,-
30,year 2013,,6,240,112,40.00,1,-,-,-,-,0,0,-
31,year 2014,,11,269,76,26.90,0,-,-,-,-,1,0,-
32,year 2015,,18,742,132,46.37,2,-,-,-,-,1,0,-
33,year 2016,,9,407,118,45.22,1,-,-,-,-,2,0,-
34,year 2017,,12,646,128,64.60,2,-,-,-,-,4,0,-
35,year 2018,,12,684,130*,85.50,2,-,-,-,-,5,0,-
36,year 2019,,15,421,80,28.06,0,-,-,-,-,6,0,-
38,season 2006/07,,13,229,51,17.61,0,-,-,-,-,6,0,-
39,season 2007,,5,120,54,24.00,0,-,-,-,-,2,0,-
40,season 2007/08,,14,531,129,37.92,1,0,-,-,0,1,0,-
41,season 2008,,10,270,63,27.00,0,-,-,-,-,6,0,-
42,season 2008/09,,11,220,41,20.00,0,-,-,-,-,2,0,-
43,season 2009,,8,359,154,44.87,1,-,-,-,-,3,0,-
44,season 2009/10,,15,499,125,33.26,1,0,-,-,0,2,0,-
45,season 2010,,9,250,74,27.77,0,-,-,-,-,3,0,-
46,season 2010/11,,10,319,95,31.90,0,-,-,-,-,2,0,-
47,season 2011,,8,256,62,32.00,0,-,-,-,-,2,0,-
48,season 2011/12,,10,315,70,35.00,0,-,-,-,-,1,0,-
49,season 2012/13,,6,206,112,34.33,1,-,-,-,-,3,0,-
50,season 2013,,3,65,32,21.66,0,-,-,-,-,0,0,-
51,season 2013/14,,2,63,58,31.50,0,-,-,-,-,0,0,-
52,season 2014,,6,122,55,24.40,0,-,-,-,-,1,0,-
53,season 2014/15,,11,301,95,27.36,0,-,-,-,-,1,0,-
54,season 2015,,9,456,132,65.14,2,-,-,-,-,0,0,-
55,season 2015/16,,3,132,73,44.00,0,-,-,-,-,0,0,-
56,season 2016/17,,12,538,127,48.90,2,-,-,-,-,3,0,-
57,season 2017,,8,492,128,70.28,1,-,-,-,-,3,0,-
58,season 2017/18,,6,275,84*,55.00,0,-,-,-,-,2,0,-
59,season 2018,,4,289,130*,144.50,2,-,-,-,-,1,0,-
60,season 2018/19,,6,153,81*,30.60,0,-,-,-,-,4,0,-
61,season 2019,,12,411,80,34.25,0,-,-,-,-,4,0,-
63,*Habibul Bashar,2007-2007,15,281,51,18.73,0,-,-,-,-,6,0,-
64,*Mashrafe Mortaza,2010-2019,74,2981,130*,44.49,6,-,-,-,-,19,0,-
65,*Mohammad Ashraful,2007-2009,38,1089,129,28.65,1,0,-,-,0,11,0,-
66,*Mushfiqur Rahim,2011-2014,27,771,112,30.84,1,-,-,-,-,5,0,-
67,*Shakib Al Hasan,2009-2017,47,1749,154,38.02,3,0,-,-,0,11,0,-
69,is not captain,2007-2019,201,6871,154,35.97,11,0,-,-,0,52,0,-
71,is not keeper,2007-2019,201,6871,154,35.97,11,0,-,-,0,52,0,-
73,won the toss,2007-2019,95,3604,132,40.04,5,0,-,-,0,24,0,-
74,lost the toss,2007-2019,106,3267,154,32.34,6,0,-,-,0,28,0,-
76,won toss & batted,2007-2019,42,1865,132,46.62,5,0,-,-,0,4,0,-
77,won toss & fielded,2007-2019,53,1739,95,34.78,0,-,-,-,-,20,0,-
78,lost toss & sent in,2007-2019,54,1557,128,29.37,4,0,-,-,0,12,0,-
79,lost toss & fielded,2007-2019,52,1710,154,35.62,2,-,-,-,-,16,0,-
81,matches batting first,2007-2019,96,3422,132,36.79,9,0,-,-,0,16,0,-
82,matches fielding first,2007-2019,105,3449,154,35.19,2,-,-,-,-,36,0,-
84,1st match innings,2007-2019,201,3422,132,36.79,9,-,-,-,-,36,0,-
85,2nd match innings,2007-2019,198,3449,154,35.19,2,0,-,-,0,16,0,-
87,day match,2007-2019,106,3353,154,32.55,5,0,-,-,0,31,0,-
88,day/night match,2008-2019,95,3518,132,39.97,6,0,-,-,0,21,0,-
90,won match,2007-2019,85,3830,154,49.10,8,-,-,-,-,20,0,-
91,lost match,2007-2019,112,2882,128,25.73,3,0,-,-,0,32,0,-
92,no result,2014-2017,4,159,95,159.00,0,-,-,-,-,0,0,-
94,won batting first,2007-2019,38,1818,132,50.50,6,-,-,-,-,9,0,-
95,won fielding first,2007-2019,47,2012,154,47.90,2,-,-,-,-,11,0,-
96,lost batting first,2007-2019,56,1445,128,25.80,3,0,-,-,0,7,0,-
97,lost fielding first,2007-2019,56,1437,70,25.66,0,-,-,-,-,25,0,-
98,no result batting first,2017-2017,2,159,95,159.00,0,-,-,-,-,0,0,-
99,no result fielding first,2014-2017,2,-,-,-,-,-,-,-,-,0,0,-
101,2 team series,2007-2019,131,4485,154,36.16,10,0,-,-,0,26,0,-
102,3-4 team tournaments,2007-2019,31,1216,84*,41.93,0,0,-,-,0,9,0,-
103,5+ team tournaments,2007-2019,39,1170,128,30.78,1,-,-,-,-,17,0,-
105,only match in series,2010-2010,1,2,2,2.00,0,-,-,-,-,0,0,-
