,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2018-2018,5,19,12,9.50,0,10,3/49,29.90,0,1,0,-20.39
2,in Bangladesh,2016-2016,3,33,33*,-,0,10,4/43,14.50,0,0,0,-
3,in England,2009-2019,58,385,69,22.64,0,85,5/27,32.92,1,17,0,-10.28
4,in India,2017-2017,1,-,-,-,-,0,-,-,0,1,0,-
5,in Ireland,2009-2019,3,7,7,7.00,0,2,1/16,21.50,0,1,0,-14.49
6,in New Zealand,2018-2018,5,22,11,11.00,0,6,3/42,39.50,0,1,0,-28.49
7,in Scotland,2018-2018,1,5,5,5.00,0,2,2/72,36.00,0,0,0,-30.99
8,in South Africa,2009-2016,6,63,39,21.00,0,5,2/38,50.80,0,0,0,-29.79
9,in Sri Lanka,2018-2018,5,23,19*,23.00,0,6,4/36,23.16,0,1,0,-0.16
10,in U.A.E.,2015-2015,4,7,7,7.00,0,4,3/78,55.25,0,3,0,-48.24
11,in West Indies,2017-2019,8,24,15,8.00,0,13,5/85,22.15,1,5,0,-14.15
13,in Africa,2009-2016,6,63,39,21.00,0,5,2/38,50.80,0,0,0,-29.79
14,in Americas,2017-2019,8,24,15,8.00,0,13,5/85,22.15,1,5,0,-14.15
15,in Asia,2015-2018,13,63,33*,31.50,0,20,4/36,27.75,0,5,0,3.75
16,in Europe,2009-2019,62,397,69,20.89,0,89,5/27,32.74,1,18,0,-11.84
17,in Oceania,2018-2018,10,41,12,10.25,0,16,3/42,33.50,0,2,0,-23.24
19,home,2009-2019,58,385,69,22.64,0,85,5/27,32.92,1,17,0,-10.28
20,away,2009-2019,37,196,39,15.07,0,54,5/85,28.27,1,10,0,-13.20
21,neutral,2015-2015,4,7,7,7.00,0,4,3/78,55.25,0,3,0,-48.24
23,year 2009,,5,60,31*,20.00,0,3,1/16,63.66,0,2,0,-43.66
24,year 2015,,15,171,69,28.50,0,19,4/55,41.10,0,6,0,-12.60
25,year 2016,,17,96,39,32.00,0,29,4/43,28.34,0,2,0,3.65
26,year 2017,,17,76,39,15.20,0,26,5/27,25.84,1,8,0,-10.64
27,year 2018,,24,111,22,13.87,0,42,4/36,27.47,0,6,0,-13.60
28,year 2019,,21,74,25,12.33,0,24,5/85,38.62,1,6,0,-26.29
