,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2014-2014,5,106,70,21.20,0,10,4/38,24.20,0,1,0,-2.99
2,in Bangladesh,2016-2016,3,148,101,74.00,1,2,1/22,41.50,0,0,0,32.50
3,in England,2011-2019,54,1660,102*,47.42,2,37,5/61,40.48,1,25,0,6.94
4,in India,2017-2017,3,120,62,60.00,0,5,3/63,43.00,0,3,0,17.00
5,in Ireland,2011-2013,2,3,3,3.00,0,0,-,-,0,1,0,-
6,in New Zealand,2018-2018,5,141,63*,47.00,0,5,2/42,36.00,0,7,0,11.00
7,in South Africa,2016-2016,5,141,57,28.20,0,4,2/45,54.50,0,2,0,-26.29
8,in Sri Lanka,2014-2018,8,139,67,34.75,0,0,-,-,0,2,0,-
9,in West Indies,2014-2019,10,224,79,24.88,0,7,3/37,38.00,0,4,0,-13.11
11,in Africa,2016-2016,5,141,57,28.20,0,4,2/45,54.50,0,2,0,-26.29
12,in Americas,2014-2019,10,224,79,24.88,0,7,3/37,38.00,0,4,0,-13.11
13,in Asia,2014-2018,14,407,101,50.87,1,7,3/63,66.42,0,5,0,-15.55
14,in Europe,2011-2019,56,1663,102*,46.19,2,37,5/61,41.86,1,26,0,4.32
15,in Oceania,2014-2018,10,247,70,30.87,0,15,4/38,28.13,0,8,0,2.74
17,home,2011-2019,54,1660,102*,47.42,2,37,5/61,40.48,1,25,0,6.94
18,away,2011-2019,41,1022,101,32.96,1,33,4/38,43.09,0,20,0,-10.12
20,year 2011,,5,30,20,10.00,0,-,-,-,-,3,0,-
21,year 2013,,5,57,27,19.00,0,6,5/61,36.66,1,1,0,-17.66
22,year 2014,,14,195,70,16.25,0,14,4/38,35.21,0,5,0,-18.96
23,year 2015,,10,262,68,29.11,0,12,3/52,31.91,0,7,0,-2.80
24,year 2016,,13,490,101,49.00,1,7,2/45,53.85,0,5,0,-4.85
25,year 2017,,15,616,102*,61.60,2,14,3/43,39.42,0,6,0,22.17
26,year 2018,,13,313,67,44.71,0,5,2/42,72.20,0,11,0,-27.48
27,year 2019,,20,719,89,59.91,0,12,3/23,44.50,0,7,0,15.41
29,season 2011,,5,30,20,10.00,0,-,-,-,-,3,0,-
30,season 2013,,5,57,27,19.00,0,6,5/61,36.66,1,1,0,-17.66
31,season 2013/14,,8,115,70,14.37,0,10,4/38,27.60,0,3,0,-13.22
32,season 2014,,3,58,33*,29.00,0,4,3/47,33.00,0,1,0,-3.99
33,season 2014/15,,3,22,16,11.00,0,0,-,-,0,1,0,-
34,season 2015,,10,262,68,29.11,0,12,3/52,31.91,0,7,0,-2.80
35,season 2015/16,,5,141,57,28.20,0,4,2/45,54.50,0,2,0,-26.29
36,season 2016,,5,201,75,67.00,0,1,1/14,76.00,0,3,0,-8.99
37,season 2016/17,,9,358,101,51.14,1,9,3/63,39.33,0,4,0,11.80
38,season 2017,,9,406,102*,81.20,2,7,3/43,40.14,0,2,0,41.05
39,season 2017/18,,5,141,63*,47.00,0,5,2/42,36.00,0,7,0,11.00
40,season 2018,,3,55,50,27.50,0,0,-,-,0,3,0,-
41,season 2018/19,,9,242,79,48.40,0,5,3/37,51.60,0,2,0,-3.19
42,season 2019,,16,594,89,66.00,0,7,3/23,51.14,0,6,0,14.85
44,*SCJ Broad,2014-2014,3,9,5,3.00,0,0,-,-,0,2,0,-
45,*JC Buttler,2016-2019,5,286,101,95.33,1,2,1/22,69.50,0,1,0,25.83
46,*AN Cook,2011-2014,14,207,70,20.70,0,14,4/38,31.28,0,5,0,-10.58
47,*EJG Morgan,2011-2019,73,2180,102*,43.60,2,54,5/61,42.75,1,37,0,0.84
49,is not captain,2011-2019,95,2682,102*,40.63,3,70,5/61,41.71,1,45,0,-1.07
51,is not keeper,2011-2019,95,2682,102*,40.63,3,70,5/61,41.71,1,45,0,-1.07
53,won the toss,2011-2019,46,1200,102*,38.70,2,22,3/52,66.27,0,21,0,-27.56
54,lost the toss,2011-2019,49,1482,101,42.34,1,48,5/61,30.45,1,24,0,11.88
56,won toss & batted,2014-2019,16,495,101,33.00,1,7,2/35,67.42,0,9,0,-34.42
57,won toss & fielded,2011-2019,30,705,102*,44.06,1,15,3/52,65.73,0,12,0,-21.67
58,lost toss & sent in,2011-2019,31,951,101,38.04,1,27,4/38,31.77,0,16,0,6.26
59,lost toss & fielded,2013-2019,18,531,84*,53.10,0,21,5/61,28.76,1,8,0,24.33
61,matches batting first,2011-2019,47,1446,101,36.15,2,34,4/38,39.11,0,25,0,-2.96
62,matches fielding first,2011-2019,48,1236,102*,47.53,1,36,5/61,44.16,1,20,0,3.37
64,1st match innings,2011-2019,95,1446,101,36.15,2,36,5/61,44.16,1,20,0,-8.01
65,2nd match innings,2011-2019,91,1236,102*,47.53,1,34,4/38,39.11,0,25,0,8.42
67,day match,2011-2019,53,1549,102*,38.72,2,34,4/38,45.02,0,24,0,-6.30
68,day/night match,2011-2019,42,1133,101,43.57,1,36,5/61,38.58,1,21,0,4.99
70,won match,2011-2019,55,1646,102*,49.87,3,41,4/38,37.17,0,31,0,12.70
71,lost match,2013-2019,33,945,89,29.53,0,29,5/61,47.00,1,13,0,-17.46
72,tied match,2011-2019,2,91,84*,91.00,0,0,-,-,0,1,0,-
73,no result,2011-2019,5,-,-,-,-,0,-,-,0,0,0,-
75,won batting first,2011-2019,27,959,101,41.69,2,21,4/38,32.19,0,20,0,9.50
76,won fielding first,2011-2019,28,687,102*,68.70,1,20,3/37,42.40,0,11,0,26.30
77,lost batting first,2014-2019,17,487,75,28.64,0,13,2/35,50.30,0,5,0,-21.66
78,lost fielding first,2013-2019,16,458,89,30.53,0,16,5/61,44.31,1,8,0,-13.77
79,tied fielding first,2011-2019,2,91,84*,91.00,0,0,-,-,0,1,0,-
80,no result batting first,2013-2018,3,-,-,-,-,-,-,-,-,-,-,-
81,no result fielding first,2011-2019,2,-,-,-,-,0,-,-,0,0,0,-
83,2 team series,2011-2019,80,2033,101,35.66,2,60,5/61,41.45,1,41,0,-5.78
84,5+ team tournaments,2017-2019,15,649,102*,72.11,1,10,3/23,43.30,0,4,0,28.81
86,only match in series,2011-2013,2,3,3,3.00,0,0,-,-,0,1,0,-
87,1st match in series,2011-2019,18,485,101,40.41,1,11,3/37,44.00,0,7,0,-3.58
88,2nd match in series,2011-2019,19,377,101,25.13,1,14,3/60,48.35,0,11,0,-23.22
89,3rd match in series,2011-2019,18,494,73,44.90,0,10,3/63,47.60,0,6,0,-2.69
90,4th match in series,2011-2019,12,322,71*,35.77,0,11,4/38,39.09,0,7,0,-3.31
91,5th match in series,2013-2019,11,352,75,39.11,0,14,5/61,26.35,1,9,0,12.75
93,World Cup,2019-2019,11,465,89,66.42,0,7,3/23,35.14,0,3,0,31.28
94,ICC Champions Trophy,2017-2017,4,184,102*,92.00,1,3,1/42,62.33,0,1,0,29.66
96,tournament finals,2019-2019,1,84,84*,-,0,0,-,-,0,0,0,-
