,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2011-2018,14,281,78,40.14,0,21,6/45,35.33,1,3,0,4.80
2,in Bangladesh,2016-2016,3,50,27*,25.00,0,2,2/40,72.00,0,0,0,-46.99
3,in England,2012-2019,41,472,95*,24.84,0,54,5/54,31.20,1,22,0,-6.36
4,in India,2013-2017,5,48,34,16.00,0,8,4/60,35.50,0,1,0,-19.49
5,in Ireland,2011-2011,1,19,19*,-,0,0,-,-,0,0,0,-
6,in New Zealand,2013-2018,11,61,17,10.16,0,20,3/32,23.10,0,6,0,-12.93
7,in South Africa,2016-2016,2,33,33,16.50,0,1,1/42,74.00,0,0,0,-57.49
8,in Sri Lanka,2014-2018,11,108,41,18.00,0,18,6/47,25.66,1,8,0,-7.66
9,in U.A.E.,2015-2015,4,33,33,33.00,0,8,4/33,19.87,0,2,0,13.12
10,in West Indies,2017-2019,7,81,68*,40.50,0,10,4/47,29.50,0,2,0,11.00
12,in Africa,2016-2016,2,33,33,16.50,0,1,1/42,74.00,0,0,0,-57.49
13,in Americas,2017-2019,7,81,68*,40.50,0,10,4/47,29.50,0,2,0,11.00
14,in Asia,2013-2018,23,239,41,19.91,0,36,6/47,29.13,1,11,0,-9.22
15,in Europe,2011-2019,42,491,95*,25.84,0,54,5/54,31.57,1,22,0,-5.73
16,in Oceania,2011-2018,25,342,78,26.30,0,41,6/45,29.36,1,9,0,-3.05
18,home,2012-2019,41,472,95*,24.84,0,54,5/54,31.20,1,22,0,-6.36
19,away,2011-2019,49,625,78,23.14,0,76,6/45,29.47,2,18,0,-6.32
20,neutral,2015-2015,9,89,42*,44.50,0,12,4/33,33.50,0,4,0,11.00
22,year 2011,,4,39,19*,19.50,0,7,6/45,24.14,1,1,0,-4.64
23,year 2012,,2,33,33*,-,0,0,-,-,0,0,0,-
24,year 2013,,7,69,36,17.25,0,8,3/68,44.12,0,4,0,-26.87
25,year 2014,,11,157,41,17.44,0,19,6/47,28.94,1,8,0,-11.50
26,year 2015,,17,155,42*,17.22,0,21,4/33,37.04,0,8,0,-19.82
27,year 2016,,14,212,95*,42.40,0,17,4/41,36.35,0,5,0,6.04
28,year 2017,,12,169,68*,42.25,0,22,4/38,20.63,0,4,0,21.61
29,year 2018,,13,205,78,41.00,0,19,3/26,26.63,0,4,0,14.36
30,year 2019,,19,147,40,14.70,0,29,5/54,29.79,1,10,0,-15.09
32,season 2010/11,,3,20,12,10.00,0,7,6/45,21.28,1,1,0,-11.28
33,season 2011,,1,19,19*,-,0,0,-,-,0,0,0,-
34,season 2012,,2,33,33*,-,0,0,-,-,0,0,0,-
35,season 2012/13,,5,20,17,10.00,0,8,3/68,32.37,0,3,0,-22.37
36,season 2013,,2,49,36,24.50,0,0,-,-,0,1,0,-
37,season 2014,,4,54,20,13.50,0,5,4/52,39.20,0,2,0,-25.69
38,season 2014/15,,17,205,42*,18.63,0,27,6/47,31.74,1,9,0,-13.10
39,season 2015,,3,20,14*,10.00,0,0,-,-,0,3,0,-
40,season 2015/16,,6,66,33,22.00,0,9,4/33,25.88,0,2,0,-3.88
41,season 2016,,9,129,95*,129.00,0,14,4/41,28.57,0,5,0,100.42
42,season 2016/17,,9,179,68*,35.80,0,15,4/47,27.46,0,2,0,8.33
43,season 2017,,6,40,34,40.00,0,9,4/38,20.66,0,2,0,19.33
44,season 2017/18,,9,200,78,50.00,0,15,3/32,26.53,0,2,0,23.46
45,season 2018/19,,8,5,5,2.50,0,7,3/26,44.85,0,3,0,-42.35
46,season 2019,,15,147,40,16.33,0,26,5/54,25.30,1,9,0,-8.97
48,*JC Buttler,2016-2016,3,50,27*,25.00,0,2,2/40,72.00,0,0,0,-46.99
49,*AN Cook,2012-2014,19,253,41,21.08,0,26,6/47,34.03,1,11,0,-12.95
50,*EJG Morgan,2011-2019,74,863,95*,26.96,0,107,5/54,29.42,1,32,0,-2.46
51,*AJ Strauss,2011-2011,3,20,12,10.00,0,7,6/45,21.28,1,1,0,-11.28
53,is not captain,2011-2019,99,1186,95*,24.70,0,142,6/45,30.47,3,44,0,-5.76
55,is not keeper,2011-2019,99,1186,95*,24.70,0,142,6/45,30.47,3,44,0,-5.76
57,won the toss,2011-2019,48,512,95*,25.60,0,75,6/47,29.38,2,31,0,-3.78
58,lost the toss,2011-2019,51,674,78,24.07,0,67,6/45,31.68,1,13,0,-7.61
60,won toss & batted,2011-2019,18,172,33*,17.20,0,24,5/54,31.33,1,11,0,-14.13
61,won toss & fielded,2013-2019,29,340,95*,34.00,0,51,6/47,28.47,1,20,0,5.52
62,lost toss & sent in,2011-2019,32,460,78,23.00,0,35,4/38,37.45,0,9,0,-14.45
63,lost toss & fielded,2011-2019,19,214,68*,26.75,0,32,6/45,25.37,1,4,0,1.37
65,matches batting first,2011-2019,50,632,78,21.06,0,59,5/54,34.96,1,20,0,-13.89
66,matches fielding first,2011-2019,48,554,95*,30.77,0,83,6/45,27.27,2,24,0,3.50
68,1st match innings,2011-2019,98,632,78,21.06,0,83,6/45,27.27,2,24,0,-6.21
69,2nd match innings,2011-2019,94,554,95*,30.77,0,59,5/54,34.96,1,20,0,-4.18
71,day match,2011-2019,46,508,68*,18.81,0,57,5/54,32.91,1,19,0,-14.09
72,day/night match,2011-2019,53,678,95*,32.28,0,85,6/45,28.83,2,25,0,3.45
74,won match,2011-2019,52,481,68*,37.00,0,86,6/47,26.45,2,25,0,10.54
75,lost match,2011-2019,39,608,78,17.88,0,48,6/45,39.70,1,16,0,-21.82
76,tied match,2016-2019,2,97,95*,97.00,0,5,3/37,18.60,0,3,0,78.40
77,no result,2012-2019,6,-,-,-,-,3,3/34,17.66,0,0,0,-
79,won batting first,2011-2019,25,293,53*,24.41,0,39,5/54,28.30,1,14,0,-3.89
80,won fielding first,2013-2019,27,188,68*,188.00,0,47,6/47,24.91,1,11,0,163.08
81,lost batting first,2011-2019,22,339,78,18.83,0,20,4/40,47.95,0,6,0,-29.11
82,lost fielding first,2011-2019,17,269,42*,16.81,0,28,6/45,33.82,1,10,0,-17.00
83,tied fielding first,2016-2019,2,97,95*,97.00,0,5,3/37,18.60,0,3,0,78.40
84,no result batting first,2012-2018,3,-,-,-,-,-,-,-,-,-,-,-
85,no result fielding first,2016-2019,2,-,-,-,-,3,3/34,17.66,0,0,0,-
87,2 team series,2011-2019,77,950,95*,27.94,0,113,6/45,29.85,3,33,0,-1.91
88,3-4 team tournaments,2015-2015,5,12,8,4.00,0,8,4/40,33.62,0,2,0,-29.62
89,5+ team tournaments,2015-2019,17,224,42*,20.36,0,21,3/20,32.57,0,9,0,-12.20
91,only match in series,2011-2011,1,19,19*,-,0,0,-,-,0,0,0,-
92,1st match in series,2012-2019,18,230,95*,32.85,0,22,4/38,34.50,0,7,0,-1.64
