,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,v Afghanistan,2015-2019,2,148,148,148.00,1,-,-,-,-,1,0,-
2,v Australia,2007-2019,54,1864,121,40.52,3,-,-,-,-,17,0,-
3,v Bangladesh,2007-2019,14,433,110*,36.08,1,-,-,-,-,4,0,-
4,v Bermuda,2007-2007,1,0,0,0.00,0,-,-,-,-,0,0,-
5,v Canada,2007-2009,2,199,115,199.00,1,-,-,-,-,0,0,-
6,v England,2007-2007,1,2,2,2.00,0,-,-,-,-,1,0,-
7,v India,2011-2019,20,547,102,34.18,1,-,-,-,-,6,0,-
8,v Ireland,2011-2019,5,269,124*,67.25,1,-,-,-,-,3,0,-
9,v Kenya,2007-2007,1,11,11,11.00,0,-,-,-,-,0,0,-
10,v Netherlands,2007-2007,2,145,94,72.50,0,-,-,-,-,0,0,-
11,v New Zealand,2007-2019,23,689,113,31.31,1,-,-,-,-,12,0,-
12,v Pakistan,2007-2019,25,832,107*,48.94,1,-,-,-,-,9,0,-
13,v Scotland,2006-2018,8,331,99,47.28,0,-,-,-,-,4,0,-
14,v South Africa,2007-2019,20,582,107,38.80,1,-,-,-,-,5,0,-
15,v Sri Lanka,2007-2019,32,773,92,32.20,0,-,-,-,-,15,0,-
16,v West Indies,2007-2019,22,502,107,35.85,2,-,-,-,-,5,0,-
17,v Zimbabwe,2007-2007,1,21,21,21.00,0,-,-,-,-,1,0,-
19,in Australia,2011-2018,24,610,121,27.72,2,-,-,-,-,8,0,-
20,in Bangladesh,2008-2011,7,293,110*,48.83,1,-,-,-,-,1,0,-
21,in England,2009-2019,115,3756,148,44.18,5,-,-,-,-,41,0,-
22,in India,2011-2017,9,274,102,34.25,1,-,-,-,-,2,0,-
23,in Ireland,2007-2019,6,281,124*,70.25,1,-,-,-,-,3,0,-
24,in Kenya,2007-2007,5,261,115,52.20,1,-,-,-,-,1,0,-
25,in New Zealand,2013-2018,11,261,62,26.10,0,-,-,-,-,6,0,-
26,in Scotland,2006-2018,4,174,99,58.00,0,-,-,-,-,0,0,-
27,in South Africa,2009-2016,14,410,84*,41.00,0,-,-,-,-,9,0,-
28,in Sri Lanka,2011-2018,12,335,92,37.22,0,-,-,-,-,3,0,-
29,in U.A.E.,2012-2015,8,220,76,36.66,0,-,-,-,-,1,0,-
30,in West Indies,2007-2019,18,473,107,27.82,2,-,-,-,-,8,0,-
32,in Africa,2007-2016,19,671,115,44.73,1,-,-,-,-,10,0,-
33,in Americas,2007-2019,18,473,107,27.82,2,-,-,-,-,8,0,-
34,in Asia,2008-2018,36,1122,110*,38.68,2,-,-,-,-,7,0,-
35,in Europe,2006-2019,125,4211,148,45.77,6,-,-,-,-,44,0,-
36,in Oceania,2011-2018,35,871,121,27.21,2,-,-,-,-,14,0,-
38,home,2007-2019,118,3854,148,44.29,5,-,-,-,-,41,0,-
39,away,2006-2019,83,2645,124*,36.73,7,-,-,-,-,22,0,-
40,neutral,2007-2015,32,849,115,32.65,1,-,-,-,-,20,0,-
42,year 2006,,1,99,99,99.00,0,-,-,-,-,0,0,-
43,year 2007,,17,450,115,28.12,1,-,-,-,-,8,0,-
44,year 2008,,3,51,35,17.00,0,-,-,-,-,0,0,-
45,year 2009,,17,507,84*,46.09,0,-,-,-,-,8,0,-
46,year 2010,,17,691,110*,53.15,3,-,-,-,-,8,0,-
47,year 2011,,16,443,63,31.64,0,-,-,-,-,6,0,-
48,year 2012,,15,364,89*,60.66,0,-,-,-,-,4,0,-
49,year 2013,,21,560,124*,35.00,1,-,-,-,-,11,0,-
50,year 2014,,23,560,106,25.45,1,-,-,-,-,9,0,-
51,year 2015,,25,967,121,43.95,2,-,-,-,-,9,0,-
52,year 2016,,15,328,68,29.81,0,-,-,-,-,5,0,-
53,year 2017,,20,781,107,45.94,3,-,-,-,-,3,0,-
54,year 2018,,22,756,92,42.00,0,-,-,-,-,5,0,-
55,year 2019,,21,791,148,52.73,2,-,-,-,-,7,0,-
57,season 2006,,1,99,99,99.00,0,-,-,-,-,0,0,-
58,season 2006/07,,14,352,115,25.14,1,-,-,-,-,8,0,-
59,season 2007,,3,98,51,49.00,0,-,-,-,-,0,0,-
60,season 2007/08,,3,51,35,17.00,0,-,-,-,-,0,0,-
61,season 2009,,10,305,84*,43.57,0,-,-,-,-,2,0,-
62,season 2009/10,,10,381,110*,63.50,1,-,-,-,-,7,0,-
63,season 2010,,14,512,107*,46.54,2,-,-,-,-,7,0,-
64,season 2010/11,,9,226,63,25.11,0,-,-,-,-,1,0,-
65,season 2011,,7,217,59,43.40,0,-,-,-,-,5,0,-
66,season 2011/12,,4,66,25*,33.00,0,-,-,-,-,1,0,-
67,season 2012,,11,298,89*,74.50,0,-,-,-,-,3,0,-
68,season 2012/13,,8,134,41,22.33,0,-,-,-,-,3,0,-
69,season 2013,,13,426,124*,42.60,1,-,-,-,-,8,0,-
70,season 2013/14,,6,283,106,47.16,1,-,-,-,-,1,0,-
71,season 2014,,10,187,40,20.77,0,-,-,-,-,5,0,-
72,season 2014/15,,18,303,121,18.93,1,-,-,-,-,10,0,-
73,season 2015,,10,600,113,66.66,1,-,-,-,-,2,0,-
74,season 2015/16,,9,218,76,24.22,0,-,-,-,-,2,0,-
75,season 2016,,10,264,68,44.00,0,-,-,-,-,3,0,-
76,season 2016/17,,6,298,107,49.66,2,-,-,-,-,0,0,-
77,season 2017,,14,483,107,43.90,1,-,-,-,-,3,0,-
78,season 2017/18,,10,230,62,23.00,0,-,-,-,-,4,0,-
79,season 2018,,8,331,88*,47.28,0,-,-,-,-,1,0,-
80,season 2018/19,,9,451,103,90.20,1,-,-,-,-,1,0,-
81,season 2019,,16,535,148,48.63,1,-,-,-,-,6,0,-
83,*SCJ Broad,2014-2014,1,1,1,1.00,0,-,-,-,-,0,0,-
84,*AN Cook,2010-2014,60,1452,110*,33.00,2,-,-,-,-,25,0,-
85,*DT Johnston,2006-2008,19,488,115,27.11,1,-,-,-,-,8,0,-
86,*WK McCallan,2007-2007,2,112,94,56.00,0,-,-,-,-,0,0,-
87,*EJG Morgan,2011-2019,111,4050,148,45.50,8,-,-,-,-,34,0,-
88,*WTS Porterfield,2009-2009,2,144,84*,144.00,0,-,-,-,-,1,0,-
89,*AJ Strauss,2009-2011,38,1101,107*,36.70,2,-,-,-,-,15,0,-
