,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,2016-2016,3,53,32,17.66,0,-,-,-,-,3,0,-
2,in England,2016-2019,8,194,51,27.71,0,-,-,-,-,0,0,-
3,in Ireland,2015-2019,2,18,18,18.00,0,-,-,-,-,1,0,-
5,in Asia,2016-2016,3,53,32,17.66,0,-,-,-,-,3,0,-
6,in Europe,2015-2019,10,212,51,26.50,0,-,-,-,-,1,0,-
8,home,2016-2019,8,194,51,27.71,0,-,-,-,-,0,0,-
9,away,2015-2019,5,71,32,17.75,0,-,-,-,-,4,0,-
11,year 2015,,1,-,-,-,-,-,-,-,-,1,0,-
12,year 2016,,4,104,51,26.00,0,-,-,-,-,3,0,-
13,year 2018,,1,27,27,27.00,0,-,-,-,-,0,0,-
14,year 2019,,7,134,43,22.33,0,-,-,-,-,0,0,-
16,season 2015,,1,-,-,-,-,-,-,-,-,1,0,-
17,season 2016,,1,51,51,51.00,0,-,-,-,-,0,0,-
18,season 2016/17,,3,53,32,17.66,0,-,-,-,-,3,0,-
19,season 2018,,1,27,27,27.00,0,-,-,-,-,0,0,-
20,season 2019,,7,134,43,22.33,0,-,-,-,-,0,0,-
22,*JC Buttler,2016-2019,4,96,43,24.00,0,-,-,-,-,3,0,-
23,*EJG Morgan,2016-2019,8,169,51,24.14,0,-,-,-,-,0,0,-
24,*JWA Taylor,2015-2015,1,-,-,-,-,-,-,-,-,1,0,-
26,is not captain,2015-2019,13,265,51,24.09,0,-,-,-,-,4,0,-
28,is not keeper,2015-2019,13,265,51,24.09,0,-,-,-,-,4,0,-
30,won the toss,2015-2019,11,200,43,22.22,0,-,-,-,-,4,0,-
31,lost the toss,2016-2019,2,65,51,32.50,0,-,-,-,-,0,0,-
33,won toss & batted,2016-2019,3,75,33,25.00,0,-,-,-,-,1,0,-
34,won toss & fielded,2015-2019,8,125,43,20.83,0,-,-,-,-,3,0,-
35,lost toss & sent in,2016-2016,1,51,51,51.00,0,-,-,-,-,0,0,-
36,lost toss & fielded,2019-2019,1,14,14,14.00,0,-,-,-,-,0,0,-
38,matches batting first,2016-2019,4,126,51,31.50,0,-,-,-,-,1,0,-
39,matches fielding first,2015-2019,9,139,43,19.85,0,-,-,-,-,3,0,-
41,1st match innings,2015-2019,13,126,51,31.50,0,-,-,-,-,3,0,-
42,2nd match innings,2016-2019,11,139,43,19.85,0,-,-,-,-,1,0,-
44,day match,2015-2019,8,169,51,24.14,0,-,-,-,-,1,0,-
45,day/night match,2016-2019,5,96,43,24.00,0,-,-,-,-,3,0,-
47,won match,2016-2019,8,246,51,30.75,0,-,-,-,-,3,0,-
48,lost match,2016-2019,3,19,14,6.33,0,-,-,-,-,0,0,-
49,no result,2015-2019,2,-,-,-,-,-,-,-,-,1,0,-
51,won batting first,2016-2019,4,126,51,31.50,0,-,-,-,-,1,0,-
52,won fielding first,2016-2019,4,120,43,30.00,0,-,-,-,-,2,0,-
53,lost fielding first,2016-2019,3,19,14,6.33,0,-,-,-,-,0,0,-
54,no result fielding first,2015-2019,2,-,-,-,-,-,-,-,-,1,0,-
56,2 team series,2015-2019,10,225,51,28.12,0,-,-,-,-,4,0,-
57,5+ team tournaments,2019-2019,3,40,26,13.33,0,-,-,-,-,0,0,-
59,only match in series,2015-2019,2,18,18,18.00,0,-,-,-,-,1,0,-
60,1st match in series,2016-2019,2,16,16,16.00,0,-,-,-,-,1,0,-
61,2nd match in series,2016-2016,1,5,5,5.00,0,-,-,-,-,0,0,-
62,3rd match in series,2016-2018,2,59,32,29.50,0,-,-,-,-,2,0,-
63,4th match in series,2019-2019,1,43,43,43.00,0,-,-,-,-,0,0,-
64,5th match in series,2016-2019,2,84,51,42.00,0,-,-,-,-,0,0,-
66,World Cup,2019-2019,3,40,26,13.33,0,-,-,-,-,0,0,-
