,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2018-2018,5,250,180,50.00,1,-,-,-,-,4,0,-
2,in Bangladesh,2016-2016,2,54,41,27.00,0,-,-,-,-,0,0,-
3,in England,2015-2019,48,2129,162,47.31,6,-,-,-,-,12,0,-
4,in India,2017-2017,3,220,82,73.33,0,-,-,-,-,0,0,-
5,in Ireland,2015-2015,1,-,-,-,-,-,-,-,-,1,0,-
6,in New Zealand,2018-2018,4,114,49,28.50,0,-,-,-,-,3,0,-
7,in Scotland,2018-2018,1,34,34,34.00,0,-,-,-,-,0,0,-
8,in South Africa,2016-2016,5,96,48,19.20,0,-,-,-,-,0,0,-
9,in Sri Lanka,2018-2018,5,114,45,22.80,0,-,-,-,-,5,0,-
10,in U.A.E.,2015-2015,4,163,102,40.75,1,-,-,-,-,1,0,-
11,in West Indies,2017-2019,6,207,123,41.40,1,-,-,-,-,5,0,-
13,in Africa,2016-2016,5,96,48,19.20,0,-,-,-,-,0,0,-
14,in Americas,2017-2019,6,207,123,41.40,1,-,-,-,-,5,0,-
15,in Asia,2015-2018,14,551,102,39.35,1,-,-,-,-,6,0,-
16,in Europe,2015-2019,50,2163,162,47.02,6,-,-,-,-,13,0,-
17,in Oceania,2018-2018,9,364,180,40.44,1,-,-,-,-,7,0,-
19,home,2015-2019,48,2129,162,47.31,6,-,-,-,-,12,0,-
20,away,2015-2019,32,1089,180,36.30,2,-,-,-,-,18,0,-
21,neutral,2015-2015,4,163,102,40.75,1,-,-,-,-,1,0,-
23,year 2015,,15,462,102,33.00,1,-,-,-,-,5,0,-
24,year 2016,,17,647,162,43.13,2,-,-,-,-,3,0,-
25,year 2017,,16,533,96,33.31,0,-,-,-,-,6,0,-
26,year 2018,,22,894,180,40.63,3,-,-,-,-,13,0,-
27,year 2019,,14,845,153,70.41,3,-,-,-,-,4,0,-
29,season 2015,,11,299,67,29.90,0,-,-,-,-,4,0,-
30,season 2015/16,,9,259,102,28.77,1,-,-,-,-,1,0,-
31,season 2016,,10,497,162,62.12,2,-,-,-,-,3,0,-
32,season 2016/17,,8,356,82,44.50,0,-,-,-,-,3,0,-
33,season 2017,,10,231,96,23.10,0,-,-,-,-,3,0,-
34,season 2017/18,,9,364,180,40.44,1,-,-,-,-,7,0,-
35,season 2018,,8,416,120,52.00,2,-,-,-,-,1,0,-
36,season 2018/19,,8,239,123,34.14,1,-,-,-,-,7,0,-
37,season 2019,,11,720,153,72.00,2,-,-,-,-,2,0,-
39,*JC Buttler,2016-2019,5,292,120,58.40,2,-,-,-,-,3,0,-
40,*EJG Morgan,2015-2019,78,3089,180,41.74,7,-,-,-,-,27,0,-
41,*JWA Taylor,2015-2015,1,-,-,-,-,-,-,-,-,1,0,-
43,is not captain,2015-2019,84,3381,180,42.79,9,-,-,-,-,31,0,-
45,is not keeper,2015-2019,84,3381,180,42.79,9,-,-,-,-,31,0,-
47,won the toss,2015-2019,36,1523,180,47.59,4,-,-,-,-,14,0,-
