,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2014-2018,16,422,91*,35.16,0,5,2/31,33.60,0,14,0,1.56
2,in England,2013-2019,74,3015,133*,50.25,8,11,3/52,67.63,0,42,0,-17.38
3,in India,2013-2017,7,295,78,59.00,0,0,-,-,0,3,0,-
4,in Ireland,2019-2019,1,7,7,7.00,0,-,-,-,-,1,0,-
5,in New Zealand,2013-2018,11,556,121,69.50,2,1,1/27,77.00,0,3,0,-7.49
6,in Scotland,2014-2018,2,46,29,23.00,0,-,-,-,-,1,0,-
7,in South Africa,2016-2016,5,351,125,70.20,2,-,-,-,-,2,0,-
8,in Sri Lanka,2014-2018,12,513,104*,64.12,1,1,1/22,110.00,0,3,0,-45.87
9,in U.A.E.,2015-2015,4,145,71,36.25,0,0,-,-,0,2,0,-
10,in West Indies,2014-2019,11,506,107,56.22,3,4,2/15,29.25,0,3,0,26.97
12,in Africa,2016-2016,5,351,125,70.20,2,-,-,-,-,2,0,-
13,in Americas,2014-2019,11,506,107,56.22,3,4,2/15,29.25,0,3,0,26.97
14,in Asia,2013-2018,23,953,104*,56.05,1,1,1/22,258.00,0,8,0,-201.94
15,in Europe,2013-2019,77,3068,133*,48.69,8,11,3/52,67.63,0,44,0,-18.93
16,in Oceania,2013-2018,27,978,121,48.90,2,6,2/31,40.83,0,17,0,8.06
18,home,2013-2019,74,3015,133*,50.25,8,11,3/52,67.63,0,42,0,-17.38
19,away,2013-2019,59,2542,125,55.26,7,10,2/15,56.30,0,24,0,-1.03
20,neutral,2015-2015,10,299,121,37.37,1,1,1/27,57.00,0,8,0,-19.62
22,year 2013,,20,626,79*,39.12,0,3,1/20,109.33,0,10,0,-70.20
23,year 2014,,23,872,113,43.60,3,8,2/15,45.87,0,5,0,-2.27
24,year 2015,,20,723,121,42.52,3,1,1/27,119.00,0,15,0,-76.47
25,year 2016,,15,796,125,61.23,2,1,1/26,41.00,0,5,0,20.23
26,year 2017,,19,983,133*,70.21,2,5,3/52,32.80,0,9,0,37.41
27,year 2018,,24,946,113*,59.12,3,2,2/31,140.00,0,12,0,-80.87
28,year 2019,,22,910,107,50.55,3,2,2/27,32.50,0,18,0,18.05
30,season 2012/13,,8,326,79*,81.50,0,0,-,-,0,4,0,-
31,season 2013,,12,300,68,25.00,0,3,1/20,71.33,0,6,0,-46.33
32,season 2013/14,,6,227,107,37.83,1,7,2/15,20.42,0,0,0,17.40
33,season 2014,,10,278,113,30.88,1,0,-,-,0,3,0,-
34,season 2014/15,,18,671,121,47.92,2,2,1/22,83.00,0,12,0,-35.07
35,season 2015,,5,274,106*,68.50,2,0,-,-,0,3,0,-
36,season 2015/16,,9,496,125,55.11,2,0,-,-,0,4,0,-
37,season 2016,,10,445,93,55.62,0,1,1/26,41.00,0,3,0,14.62
38,season 2016/17,,5,327,101,81.75,1,0,-,-,0,2,0,-
39,season 2017,,14,656,133*,65.60,1,5,3/52,22.20,0,7,0,43.40
40,season 2017/18,,10,451,102,64.42,1,2,2/31,66.00,0,6,0,-1.57
41,season 2018,,9,349,113*,58.16,2,0,-,-,0,5,0,-
42,season 2018/19,,10,290,102,41.42,1,-,-,-,-,2,0,-
43,season 2019,,17,766,107,54.71,2,2,2/27,32.50,0,17,0,22.21
45,*SCJ Broad,2014-2014,3,167,107,55.66,1,4,2/15,21.50,0,0,0,34.16
46,*JC Buttler,2018-2019,3,68,36,22.66,0,0,-,-,0,2,0,-
47,*AN Cook,2013-2014,34,1259,113,46.62,2,6,2/46,83.16,0,12,0,-36.53
48,*EJG Morgan,2013-2019,103,4362,133*,53.85,13,12,3/52,62.91,0,60,0,-9.06
50,is not captain,2013-2019,143,5856,133*,51.36,16,22,3/52,62.00,0,74,0,-10.63
52,is not keeper,2013-2019,143,5856,133*,51.36,16,22,3/52,62.00,0,74,0,-10.63
54,won the toss,2013-2019,67,2524,133*,50.48,8,9,2/15,63.00,0,37,0,-12.51
55,lost the toss,2013-2019,76,3332,113,52.06,8,13,3/52,61.30,0,37,0,-9.24
57,won toss & batted,2013-2019,22,1080,125,54.00,3,4,2/46,60.50,0,10,0,-6.49
58,won toss & fielded,2013-2019,44,1444,133*,48.13,5,5,2/15,65.00,0,27,0,-16.86
59,lost toss & sent in,2013-2019,48,2126,113,48.31,6,6,3/52,75.00,0,20,0,-26.68
60,lost toss & fielded,2013-2019,28,1206,106*,60.30,2,7,2/9,49.57,0,17,0,10.72
62,matches batting first,2013-2019,70,3206,125,50.09,9,10,3/52,69.20,0,30,0,-19.10
63,matches fielding first,2013-2019,72,2650,133*,53.00,7,12,2/9,56.00,0,44,0,-2.99
65,1st match innings,2013-2019,142,3206,125,50.09,9,12,2/9,56.00,0,44,0,-5.90
66,2nd match innings,2013-2019,138,2650,133*,53.00,7,10,3/52,69.20,0,30,0,-16.19
68,day match,2013-2019,73,3145,133*,50.72,10,13,3/52,50.23,0,34,0,0.49
69,day/night match,2013-2019,70,2711,125,52.13,6,9,2/31,79.00,0,40,0,-26.86
71,won match,2013-2019,81,3805,133*,65.60,11,17,3/52,45.47,0,47,0,20.13
72,lost match,2013-2019,54,1994,125,37.62,5,5,2/46,116.20,0,25,0,-78.57
73,tied match,2016-2019,2,9,7,4.50,0,-,-,-,-,1,0,-
74,no result,2013-2019,6,48,25*,48.00,0,0,-,-,0,1,0,-
76,won batting first,2013-2019,37,1912,113*,56.23,5,7,3/52,56.14,0,20,0,0.09
77,won fielding first,2013-2019,44,1893,133*,78.87,6,10,2/9,38.00,0,27,0,40.87
78,lost batting first,2013-2019,30,1257,125,43.34,4,3,2/46,99.66,0,10,0,-56.32
79,lost fielding first,2013-2019,24,737,107,30.70,1,2,1/47,141.00,0,15,0,-110.29
80,tied fielding first,2016-2019,2,9,7,4.50,0,-,-,-,-,1,0,-
81,no result batting first,2013-2018,3,37,25*,37.00,0,-,-,-,-,-,-,-
82,no result fielding first,2016-2019,2,11,11*,-,0,0,-,-,0,1,0,-
84,2 team series,2013-2019,112,4565,125,51.87,12,18,3/52,64.77,0,45,0,-12.90
85,3-4 team tournaments,2015-2015,5,102,69,25.50,0,-,-,-,-,3,0,-
86,5+ team tournaments,2013-2019,26,1189,133*,54.04,4,4,2/27,49.50,0,26,0,4.54
88,only match in series,2014-2019,3,53,29,17.66,0,-,-,-,-,2,0,-
89,1st match in series,2013-2019,24,956,104,50.31,2,5,2/9,60.40,0,12,0,-10.08
90,2nd match in series,2013-2019,26,1006,113*,50.30,1,9,3/52,30.00,0,8,0,20.30
91,3rd match in series,2013-2019,23,944,125,59.00,4,3,1/22,71.33,0,11,0,-12.33
92,4th match in series,2013-2019,17,777,109,55.50,3,0,-,-,0,5,0,-
93,5th match in series,2013-2019,17,694,113,49.57,2,1,1/58,185.00,0,7,0,-135.42
94,6th match in series,2014-2014,1,55,55,55.00,0,0,-,-,0,0,0,-
95,7th match in series,2014-2014,1,80,80,80.00,0,0,-,-,0,0,0,-
97,World Cup,2015-2019,17,758,121,54.14,3,3,2/27,37.00,0,20,0,17.14
98,ICC Champions Trophy,2013-2017,9,431,133*,53.87,1,1,1/20,87.00,0,6,0,-33.12
100,tournament finals,2013-2019,3,39,25,13.00,0,-,-,-,-,2,0,-
101,tournament semi-finals,2013-2019,3,143,49*,71.50,0,0,-,-,0,1,0,-
102,preliminary matches,2013-2019,25,1109,133*,52.80,4,4,2/27,44.00,0,26,0,8.80
