,Grouping,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,13,13,7*,3.25,0,22,3/27,24.04,0,3,0,-20.79
2,in Ireland,1,-,-,-,-,1,1/40,40.00,0,1,0,-
4,in Europe,14,13,7*,3.25,0,23,3/27,24.73,0,4,0,-21.48
6,home,13,13,7*,3.25,0,22,3/27,24.04,0,3,0,-20.79
7,away,1,-,-,-,-,1,1/40,40.00,0,1,0,-
9,year 2019,14,13,7*,3.25,0,23,3/27,24.73,0,4,0,-21.48
11,season 2019,14,13,7*,3.25,0,23,3/27,24.73,0,4,0,-21.48
13,*JC Buttler,1,-,-,-,-,1,1/62,62.00,0,1,0,-
14,*EJG Morgan,13,13,7*,3.25,0,22,3/27,23.04,0,3,0,-19.79
16,is not captain,14,13,7*,3.25,0,23,3/27,24.73,0,4,0,-21.48
18,is not keeper,14,13,7*,3.25,0,23,3/27,24.73,0,4,0,-21.48
20,won the toss,9,3,1*,1.50,0,11,3/30,35.18,0,3,0,-33.68
21,lost the toss,5,10,7*,5.00,0,12,3/27,15.16,0,1,0,-10.16
23,won toss & batted,3,1,1*,-,0,4,3/52,28.50,0,0,0,-
24,won toss & fielded,6,2,1,1.00,0,7,3/30,39.00,0,3,0,-37.99
25,lost toss & sent in,2,7,7*,-,0,6,3/27,9.33,0,1,0,-
26,lost toss & fielded,3,3,3,1.50,0,6,3/52,21.00,0,0,0,-19.49
28,matches batting first,5,8,7*,-,0,10,3/27,17.00,0,1,0,-
29,matches fielding first,9,5,3,1.25,0,13,3/30,30.69,0,3,0,-29.44
31,1st match innings,14,8,7*,-,0,13,3/30,30.69,0,3,0,-
32,2nd match innings,13,5,3,1.25,0,10,3/27,17.00,0,1,0,-15.74
34,day match,12,13,7*,3.25,0,21,3/27,23.85,0,3,0,-20.60
35,day/night match,2,-,-,-,-,2,1/6,34.00,0,1,0,-
37,won match,9,8,7*,-,0,17,3/27,19.64,0,3,0,-
38,lost match,3,5,3,1.66,0,4,3/52,46.75,0,1,0,-45.08
39,tied match,1,0,0,0.00,0,1,1/42,42.00,0,0,0,-41.99
40,no result,1,-,-,-,-,1,1/6,6.00,0,0,0,-
42,won batting first,5,8,7*,-,0,10,3/27,17.00,0,1,0,-
43,won fielding first,4,-,-,-,-,7,3/30,23.42,0,2,0,-
44,lost fielding first,3,5,3,1.66,0,4,3/52,46.75,0,1,0,-45.08
45,tied fielding first,1,0,0,0.00,0,1,1/42,42.00,0,0,0,-41.99
46,no result fielding first,1,-,-,-,-,1,1/6,6.00,0,0,0,-
48,2 team series,3,-,-,-,-,3,1/6,36.00,0,2,0,-
49,5+ team tournaments,11,13,7*,3.25,0,20,3/27,23.05,0,2,0,-19.79
51,only match in series,1,-,-,-,-,1,1/40,40.00,0,1,0,-
52,1st match in series,1,-,-,-,-,1,1/6,6.00,0,0,0,-
53,4th match in series,1,-,-,-,-,1,1/62,62.00,0,1,0,-
55,World Cup,11,13,7*,3.25,0,20,3/27,23.05,0,2,0,-19.79
57,tournament finals,1,0,0,0.00,0,1,1/42,42.00,0,0,0,-41.99
58,tournament semi-finals,1,-,-,-,-,2,2/32,16.00,0,0,0,-
59,preliminary matches,9,13,7*,4.33,0,17,3/27,22.76,0,2,0,-18.43
