,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2018-2018,5,157,60,31.40,0,-,-,-,-,1,0,-
2,in Bangladesh,2016-2016,3,50,35,16.66,0,-,-,-,-,1,0,-
3,in England,2011-2019,45,1986,141*,58.41,6,-,-,-,-,26,2,-
4,in India,2011-2017,6,105,56,21.00,0,-,-,-,-,4,0,-
5,in Ireland,2015-2015,1,-,-,-,-,-,-,-,-,0,0,-
6,in New Zealand,2018-2018,5,302,138,60.40,2,-,-,-,-,1,0,-
7,in Scotland,2018-2018,1,105,105,105.00,1,-,-,-,-,0,0,-
8,in Sri Lanka,2018-2018,3,55,26,18.33,0,-,-,-,-,0,0,-
9,in West Indies,2019-2019,5,101,56,25.25,0,-,-,-,-,1,0,-
11,in Americas,2019-2019,5,101,56,25.25,0,-,-,-,-,1,0,-
12,in Asia,2011-2018,12,210,56,19.09,0,-,-,-,-,5,0,-
13,in Europe,2011-2019,47,2091,141*,59.74,7,-,-,-,-,26,2,-
14,in Oceania,2018-2018,10,459,138,45.90,2,-,-,-,-,2,0,-
16,home,2011-2019,45,1986,141*,58.41,6,-,-,-,-,26,2,-
17,away,2011-2019,29,875,138,33.65,3,-,-,-,-,8,0,-
19,year 2011,,6,90,41*,22.50,0,-,-,-,-,3,0,-
20,year 2012,,1,29,29,29.00,0,-,-,-,-,0,0,-
21,year 2015,,5,141,83*,47.00,0,-,-,-,-,7,1,-
22,year 2016,,10,198,61,28.28,0,-,-,-,-,5,1,-
23,year 2017,,10,534,141*,106.80,2,-,-,-,-,3,0,-
24,year 2018,,22,1025,139,46.59,4,-,-,-,-,5,0,-
25,year 2019,,20,844,128,46.88,3,-,-,-,-,11,0,-
27,season 2011,,1,41,41*,-,0,-,-,-,-,0,0,-
28,season 2011/12,,5,49,35,12.25,0,-,-,-,-,3,0,-
29,season 2012,,1,29,29,29.00,0,-,-,-,-,0,0,-
30,season 2015,,5,141,83*,47.00,0,-,-,-,-,7,1,-
31,season 2016,,7,148,61,37.00,0,-,-,-,-,4,1,-
32,season 2016/17,,4,106,56,26.50,0,-,-,-,-,2,0,-
33,season 2017,,9,478,141*,119.50,2,-,-,-,-,2,0,-
34,season 2017/18,,10,459,138,45.90,2,-,-,-,-,2,0,-
35,season 2018,,9,511,139,56.77,2,-,-,-,-,3,0,-
36,season 2018/19,,8,156,56,22.28,0,-,-,-,-,1,0,-
37,season 2019,,15,743,128,53.07,3,-,-,-,-,10,0,-
39,*JC Buttler,2016-2018,4,92,42,23.00,0,-,-,-,-,1,0,-
40,*AN Cook,2011-2012,7,119,41*,23.80,0,-,-,-,-,3,0,-
41,*EJG Morgan,2015-2019,62,2650,141*,51.96,9,-,-,-,-,30,2,-
42,*JWA Taylor,2015-2015,1,-,-,-,-,-,-,-,-,0,0,-
44,is not captain,2011-2019,74,2861,141*,47.68,9,-,-,-,-,34,2,-
46,is designated keeper,2015-2019,8,363,128,60.50,1,-,-,-,-,8,2,-
47,is not keeper,2011-2019,66,2498,141*,46.25,8,-,-,-,-,26,0,-
49,won the toss,2011-2019,36,1391,141*,51.51,6,-,-,-,-,20,1,-
50,lost the toss,2011-2019,38,1470,139,44.54,3,-,-,-,-,14,1,-
52,won toss & batted,2011-2019,12,477,111,43.36,2,-,-,-,-,6,0,-
53,won toss & fielded,2011-2019,23,914,141*,57.12,4,-,-,-,-,14,1,-
54,lost toss & sent in,2016-2019,24,982,139,44.63,2,-,-,-,-,8,0,-
55,lost toss & fielded,2011-2019,14,488,100*,44.36,1,-,-,-,-,6,1,-
57,matches batting first,2011-2019,36,1459,139,44.21,4,-,-,-,-,14,0,-
58,matches fielding first,2011-2019,37,1402,141*,51.92,5,-,-,-,-,20,2,-
60,1st match innings,2011-2019,73,1459,139,44.21,4,-,-,-,-,20,2,-
61,2nd match innings,2011-2019,69,1402,141*,51.92,5,-,-,-,-,14,0,-
63,day match,2015-2019,37,1616,138,52.12,5,-,-,-,-,21,1,-
64,day/night match,2011-2019,37,1245,141*,42.93,4,-,-,-,-,13,1,-
66,won match,2011-2019,45,2183,141*,59.00,7,-,-,-,-,23,2,-
67,lost match,2011-2019,21,605,138,30.25,2,-,-,-,-,8,0,-
68,tied match,2016-2019,2,39,36,19.50,0,-,-,-,-,1,0,-
69,no result,2015-2019,6,34,25,34.00,0,-,-,-,-,2,0,-
71,won batting first,2015-2019,21,1024,139,51.20,3,-,-,-,-,11,0,-
72,won fielding first,2011-2019,24,1159,141*,68.17,4,-,-,-,-,12,2,-
73,lost batting first,2011-2019,13,401,138,33.41,1,-,-,-,-,3,0,-
74,lost fielding first,2011-2019,8,204,105,25.50,1,-,-,-,-,5,0,-
75,tied fielding first,2016-2019,2,39,36,19.50,0,-,-,-,-,1,0,-
76,no result batting first,2017-2018,2,34,25,34.00,0,-,-,-,-,-,-,-
77,no result fielding first,2015-2019,3,-,-,-,-,-,-,-,-,2,0,-
79,2 team series,2011-2019,62,2286,141*,47.62,7,-,-,-,-,25,2,-
80,5+ team tournaments,2017-2019,12,575,111,47.91,2,-,-,-,-,9,0,-
82,only match in series,2015-2018,2,105,105,105.00,1,-,-,-,-,0,0,-
83,1st match in series,2011-2019,12,259,100*,28.77,1,-,-,-,-,6,0,-
84,2nd match in series,2011-2019,12,405,72*,45.00,0,-,-,-,-,2,0,-
85,3rd match in series,2011-2019,14,511,139,46.45,2,-,-,-,-,8,0,-
86,4th match in series,2011-2019,9,442,138,55.25,1,-,-,-,-,1,1,-
87,5th match in series,2011-2019,13,564,141*,56.40,2,-,-,-,-,8,1,-
89,World Cup,2019-2019,11,532,111,48.36,2,-,-,-,-,9,0,-
90,ICC Champions Trophy,2017-2017,1,43,43,43.00,0,-,-,-,-,0,0,-
92,tournament finals,2019-2019,1,36,36,36.00,0,-,-,-,-,0,0,-
93,tournament semi-finals,2017-2019,2,77,43,38.50,0,-,-,-,-,1,0,-
94,preliminary matches,2019-2019,9,462,111,51.33,2,-,-,-,-,8,0,-
