,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2014-2018,18,542,100*,38.71,1,-,-,-,-,29,4,-
2,in Bangladesh,2016-2016,3,145,63,48.33,0,-,-,-,-,4,2,-
3,in England,2013-2019,70,2000,129,47.61,5,-,-,-,-,90,16,-
4,in India,2013-2017,5,66,31,16.50,0,-,-,-,-,6,0,-
5,in Ireland,2013-2013,1,-,-,-,-,-,-,-,-,0,0,-
6,in New Zealand,2013-2018,11,234,79,33.42,0,-,-,-,-,16,1,-
7,in Scotland,2014-2014,1,9,9,9.00,0,-,-,-,-,0,0,-
8,in South Africa,2016-2016,5,154,105,38.50,1,-,-,-,-,3,1,-
9,in Sri Lanka,2014-2018,12,173,55*,24.71,0,-,-,-,-,9,1,-
10,in U.A.E.,2012-2015,5,177,116*,59.00,1,-,-,-,-,5,0,-
11,in West Indies,2014-2019,11,343,150,38.11,1,-,-,-,-,9,6,-
13,in Africa,2016-2016,5,154,105,38.50,1,-,-,-,-,3,1,-
14,in Americas,2014-2019,11,343,150,38.11,1,-,-,-,-,9,6,-
15,in Asia,2012-2018,25,561,116*,33.00,1,-,-,-,-,24,3,-
16,in Europe,2013-2019,72,2009,129,46.72,5,-,-,-,-,90,16,-
17,in Oceania,2013-2018,29,776,100*,36.95,1,-,-,-,-,45,5,-
19,home,2013-2019,70,2000,129,47.61,5,-,-,-,-,90,16,-
20,away,2013-2019,61,1471,150,31.97,3,-,-,-,-,61,14,-
21,neutral,2012-2015,11,372,116*,62.00,1,-,-,-,-,20,1,-
23,year 2012,,1,0,0,0.00,0,-,-,-,-,0,0,-
24,year 2013,,18,298,75,27.09,0,-,-,-,-,30,1,-
25,year 2014,,25,704,121,35.20,1,-,-,-,-,25,5,-
26,year 2015,,21,642,129,42.80,2,-,-,-,-,29,2,-
27,year 2016,,16,573,105,57.30,1,-,-,-,-,17,4,-
28,year 2017,,18,288,65*,28.80,0,-,-,-,-,26,4,-
29,year 2018,,23,671,110*,51.61,2,-,-,-,-,26,9,-
30,year 2019,,20,667,150,47.64,3,-,-,-,-,18,6,-
32,season 2011/12,,1,0,0,0.00,0,-,-,-,-,0,0,-
33,season 2012/13,,5,38,21,12.66,0,-,-,-,-,7,0,-
34,season 2013,,13,260,75,32.50,0,-,-,-,-,23,1,-
35,season 2013/14,,8,274,99,39.14,0,-,-,-,-,11,2,-
36,season 2014,,10,285,121,35.62,1,-,-,-,-,10,2,-
37,season 2014/15,,18,423,67,32.53,0,-,-,-,-,23,3,-
38,season 2015,,6,187,129,37.40,1,-,-,-,-,5,0,-
39,season 2015/16,,9,331,116*,55.16,2,-,-,-,-,8,1,-
40,season 2016,,8,274,93,91.33,0,-,-,-,-,10,1,-
41,season 2016/17,,9,218,63,24.22,0,-,-,-,-,13,3,-
42,season 2017,,12,215,65*,53.75,0,-,-,-,-,17,3,-
43,season 2017/18,,10,311,100*,44.42,1,-,-,-,-,12,3,-
44,season 2018,,8,332,110*,83.00,1,-,-,-,-,9,6,-
45,season 2018/19,,10,239,150,47.80,1,-,-,-,-,7,3,-
46,season 2019,,15,456,110*,41.45,2,-,-,-,-,16,3,-
48,*SCJ Broad,2014-2014,3,111,99,37.00,0,-,-,-,-,3,2,-
49,*JC Buttler,2016-2019,6,236,91*,47.20,0,-,-,-,-,4,3,-
50,*AN Cook,2012-2014,34,690,121,27.60,1,-,-,-,-,41,3,-
51,*EJG Morgan,2013-2019,99,2806,150,46.00,8,-,-,-,-,123,23,-
53,is captain,2016-2019,6,236,91*,47.20,0,-,-,-,-,4,3,-
54,is not captain,2012-2019,136,3607,150,40.52,9,-,-,-,-,167,28,-
56,is designated keeper,2013-2019,141,3843,150,41.32,9,-,-,-,-,171,31,-
57,is not keeper,2012-2012,1,0,0,0.00,0,-,-,-,-,0,0,-
59,won the toss,2013-2019,68,1611,121,38.35,4,-,-,-,-,78,12,-
60,lost the toss,2012-2019,74,2232,150,42.92,5,-,-,-,-,93,19,-
62,won toss & batted,2013-2019,23,671,116*,35.31,2,-,-,-,-,20,4,-
63,won toss & fielded,2013-2019,44,940,121,40.86,2,-,-,-,-,58,8,-
64,lost toss & sent in,2013-2019,47,1649,150,44.56,4,-,-,-,-,57,12,-
65,lost toss & fielded,2012-2019,27,583,110*,38.86,1,-,-,-,-,36,7,-
67,matches batting first,2013-2019,70,2320,150,41.42,6,-,-,-,-,77,16,-
68,matches fielding first,2012-2019,71,1523,121,40.07,3,-,-,-,-,94,15,-
70,1st match innings,2012-2019,141,2320,150,41.42,6,-,-,-,-,94,15,-
71,2nd match innings,2012-2019,137,1523,121,40.07,3,-,-,-,-,77,16,-
73,day match,2013-2019,70,2016,150,40.32,5,-,-,-,-,89,20,-
74,day/night match,2012-2019,72,1827,129,41.52,4,-,-,-,-,82,11,-
76,won match,2012-2019,80,2450,150,61.25,7,-,-,-,-,123,22,-
77,lost match,2013-2019,54,1241,121,23.86,2,-,-,-,-,42,9,-
78,tied match,2016-2019,2,152,93,76.00,0,-,-,-,-,3,0,-
79,no result,2013-2019,6,-,-,-,-,-,-,-,-,3,0,-
81,won batting first,2013-2019,38,1784,150,61.51,6,-,-,-,-,60,12,-
82,won fielding first,2012-2019,42,666,110*,60.54,1,-,-,-,-,63,10,-
83,lost batting first,2013-2019,29,536,79,19.85,0,-,-,-,-,17,4,-
84,lost fielding first,2013-2019,25,705,121,28.20,2,-,-,-,-,25,5,-
85,tied fielding first,2016-2019,2,152,93,76.00,0,-,-,-,-,3,0,-
86,no result batting first,2013-2018,3,-,-,-,-,-,-,-,-,-,-,-
87,no result fielding first,2016-2019,2,-,-,-,-,-,-,-,-,3,0,-
89,2 team series,2012-2019,111,3144,150,43.66,8,-,-,-,-,128,25,-
90,3-4 team tournaments,2015-2015,5,137,67,34.25,0,-,-,-,-,11,2,-
91,5+ team tournaments,2013-2019,26,562,103,31.22,1,-,-,-,-,32,4,-
93,only match in series,2013-2014,2,9,9,9.00,0,-,-,-,-,0,0,-
94,1st match in series,2013-2019,24,724,129,42.58,2,-,-,-,-,31,4,-
95,2nd match in series,2013-2019,26,720,110*,40.00,1,-,-,-,-,33,7,-
96,3rd match in series,2013-2019,24,591,100*,45.46,1,-,-,-,-,31,4,-
97,4th match in series,2012-2019,18,678,150,61.63,3,-,-,-,-,20,3,-
98,5th match in series,2013-2019,15,377,110*,37.70,1,-,-,-,-,12,7,-
99,6th match in series,2014-2014,1,22,22,22.00,0,-,-,-,-,1,0,-
100,7th match in series,2014-2014,1,23,23,23.00,0,-,-,-,-,0,0,-
102,World Cup,2015-2019,17,453,103,34.84,1,-,-,-,-,20,2,-
103,ICC Champions Trophy,2013-2017,9,109,61*,21.80,0,-,-,-,-,12,2,-
105,tournament finals,2013-2019,3,76,59,25.33,0,-,-,-,-,2,1,-
106,tournament semi-finals,2013-2019,3,4,4,4.00,0,-,-,-,-,7,1,-
107,preliminary matches,2013-2019,25,619,103,34.38,1,-,-,-,-,34,4,-
