,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2007-2018,10,78,25*,39.00,0,18,3/24,24.72,0,1,0,14.27
2,in Bangladesh,2010-2016,2,-,-,-,-,0,-,-,0,0,0,-
3,in England,2006-2019,51,306,44,19.12,0,79,5/52,29.17,1,18,0,-10.05
4,in India,2006-2017,7,69,26*,11.50,0,9,2/22,36.44,0,2,0,-24.94
5,in Ireland,2006-2019,2,3,3*,-,0,4,4/35,20.75,0,1,0,-
6,in Pakistan,2005-2005,5,94,56,31.33,0,7,3/51,37.85,0,1,0,-6.52
7,in Scotland,2018-2018,1,47,47*,-,0,2,2/85,42.50,0,0,0,-
8,in Sri Lanka,2018-2018,1,5,5,5.00,0,1,1/44,44.00,0,0,0,-38.99
9,in West Indies,2007-2019,10,44,29*,14.66,0,15,4/40,26.13,0,3,0,-11.46
11,in Americas,2007-2019,10,44,29*,14.66,0,15,4/40,26.13,0,3,0,-11.46
12,in Asia,2005-2018,15,168,56,16.80,0,17,3/51,41.17,0,3,0,-24.37
13,in Europe,2006-2019,54,356,47*,22.25,0,85,5/52,29.09,1,19,0,-6.84
14,in Oceania,2007-2018,10,78,25*,39.00,0,18,3/24,24.72,0,1,0,14.27
16,home,2006-2019,51,306,44,19.12,0,79,5/52,29.17,1,18,0,-10.05
17,away,2005-2019,34,271,56,18.06,0,47,4/35,31.95,0,7,0,-13.89
18,neutral,2007-2007,4,69,29*,-,0,9,3/54,22.55,0,1,0,-
20,year 2005,,5,94,56,31.33,0,7,3/51,37.85,0,1,0,-6.52
21,year 2006,,11,106,29,15.14,0,9,2/22,51.33,0,3,0,-36.19
22,year 2007,,11,95,29*,23.75,0,21,3/24,25.38,0,3,0,-1.63
23,year 2010,,1,-,-,-,-,0,-,-,0,0,0,-
24,year 2011,,1,20,20,20.00,0,2,2/49,24.50,0,0,0,-4.49
25,year 2015,,5,99,44,24.75,0,6,3/60,42.83,0,3,0,-18.08
26,year 2016,,10,31,22*,31.00,0,15,3/44,34.33,0,5,0,-3.33
27,year 2017,,18,71,26*,14.20,0,36,5/52,22.47,1,7,0,-8.27
28,year 2018,,12,66,47*,16.50,0,19,4/46,27.47,0,2,0,-10.97
29,year 2019,,15,64,27*,32.00,0,20,4/35,29.30,0,2,0,2.70
31,season 2005/06,,10,136,56,17.00,0,13,3/51,33.61,0,3,0,-16.61
32,season 2006,,6,64,29,32.00,0,3,2/60,96.66,0,1,0,-64.66
33,season 2006/07,,9,89,29*,44.50,0,16,3/24,27.25,0,2,0,17.25
34,season 2007,,2,6,4,3.00,0,5,3/59,19.40,0,1,0,-16.39
35,season 2009/10,,1,-,-,-,-,0,-,-,0,0,0,-
36,season 2010/11,,1,20,20,20.00,0,2,2/49,24.50,0,0,0,-4.49
37,season 2015,,5,99,44,24.75,0,6,3/60,42.83,0,3,0,-18.08
38,season 2016,,9,31,22*,31.00,0,15,3/44,30.93,0,5,0,0.06
39,season 2016/17,,6,38,26*,19.00,0,13,4/40,23.53,0,1,0,-4.53
40,season 2017,,13,33,15,11.00,0,23,5/52,24.08,1,6,0,-13.08
41,season 2017/18,,3,-,-,-,-,4,3/71,30.00,0,0,0,-
42,season 2018,,8,61,47*,20.33,0,14,4/46,25.57,0,2,0,-5.23
43,season 2018/19,,5,7,5,3.50,0,2,1/39,88.50,0,1,0,-84.99
44,season 2019,,11,62,27*,62.00,0,19,4/35,23.84,0,1,0,38.15
46,*JC Buttler,2016-2018,3,6,5,3.00,0,5,4/53,29.60,0,0,0,-26.59
47,*PD Collingwood,2007-2007,2,6,4,3.00,0,5,3/59,19.40,0,1,0,-16.39
48,*AN Cook,2010-2010,1,-,-,-,-,0,-,-,0,0,0,-
49,*A Flintoff,2006-2007,8,79,25*,19.75,0,13,3/24,25.07,0,3,0,-5.32
50,*EJG Morgan,2015-2019,57,325,47*,23.21,0,91,5/52,27.92,1,19,0,-4.70
51,*AJ Strauss,2006-2011,9,90,29,18.00,0,7,2/22,57.28,0,1,0,-39.28
52,*ME Trescothick,2005-2005,5,94,56,31.33,0,7,3/51,37.85,0,1,0,-6.52
53,*MP Vaughan,2007-2007,4,46,29*,46.00,0,7,3/60,31.42,0,1,0,14.57
55,is not captain,2005-2019,89,646,56,20.83,0,135,5/52,29.70,1,26,0,-8.86
57,is not keeper,2005-2019,89,646,56,20.83,0,135,5/52,29.70,1,26,0,-8.86
59,won the toss,2005-2019,39,310,56,34.44,0,58,4/35,32.63,0,11,0,1.80
