,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2018-2018,4,2,2*,-,0,4,2/46,52.00,0,0,0,-
2,in England,2015-2019,36,48,13,9.60,0,46,4/33,36.89,0,10,0,-27.29
3,in Ireland,2015-2015,1,-,-,-,-,1,1/25,25.00,0,0,0,-
4,in New Zealand,2018-2018,3,4,3*,4.00,0,2,1/26,63.50,0,0,0,-59.49
5,in Scotland,2018-2018,1,1,1,1.00,0,1,1/71,71.00,0,1,0,-69.99
6,in Sri Lanka,2018-2018,1,-,-,-,-,0,-,-,0,0,0,-
7,in West Indies,2019-2019,5,1,1*,-,0,7,4/60,28.85,0,0,0,-
9,in Americas,2019-2019,5,1,1*,-,0,7,4/60,28.85,0,0,0,-
10,in Asia,2018-2018,1,-,-,-,-,0,-,-,0,0,0,-
11,in Europe,2015-2019,38,49,13,8.16,0,48,4/33,37.35,0,11,0,-29.18
12,in Oceania,2018-2018,7,6,3*,6.00,0,6,2/46,55.83,0,0,0,-49.83
14,home,2015-2019,36,48,13,9.60,0,46,4/33,36.89,0,10,0,-27.29
15,away,2015-2019,15,8,3*,4.00,0,15,4/60,45.86,0,1,0,-41.86
17,year 2015,,7,26,13,26.00,0,5,1/25,68.80,0,1,0,-42.79
18,year 2016,,4,8,8*,-,0,7,3/46,33.42,0,2,0,-
19,year 2017,,8,3,3,1.50,0,9,4/33,35.33,0,2,0,-33.83
20,year 2018,,16,7,3*,3.50,0,13,2/46,57.92,0,4,0,-54.42
21,year 2019,,16,12,10*,6.00,0,27,4/60,27.25,0,2,0,-21.25
23,season 2015,,7,26,13,26.00,0,5,1/25,68.80,0,1,0,-42.79
24,season 2016,,4,8,8*,-,0,7,3/46,33.42,0,2,0,-
25,season 2017,,8,3,3,1.50,0,9,4/33,35.33,0,2,0,-33.83
26,season 2017/18,,7,6,3*,6.00,0,6,2/46,55.83,0,0,0,-49.83
27,season 2018,,8,1,1,1.00,0,7,2/49,51.85,0,4,0,-50.85
28,season 2018/19,,6,1,1*,-,0,7,4/60,36.71,0,0,0,-
29,season 2019,,11,11,10*,5.50,0,20,3/18,26.70,0,2,0,-21.19
31,*JC Buttler,2018-2019,3,-,-,-,-,3,2/71,61.00,0,2,0,-
32,*EJG Morgan,2015-2019,47,56,13,8.00,0,57,4/33,38.19,0,9,0,-30.19
33,*JWA Taylor,2015-2015,1,-,-,-,-,1,1/25,25.00,0,0,0,-
35,is not captain,2015-2019,51,56,13,8.00,0,61,4/33,39.09,0,11,0,-31.09
37,is not keeper,2015-2019,51,56,13,8.00,0,61,4/33,39.09,0,11,0,-31.09
