,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2018,12,199,46,18.09,0,13,3/55,40.53,0,3,0,-22.44
2,in Bangladesh,2016-2016,3,11,6,3.66,0,1,1/42,143.00,0,3,0,-139.33
3,in England,2014-2019,42,696,102,29.00,1,37,4/46,47.13,0,12,0,-18.13
4,in India,2017-2017,3,85,55,28.33,0,0,-,-,0,1,0,-
5,in New Zealand,2015-2018,8,217,128,36.16,1,9,3/36,31.88,0,1,0,4.27
6,in Scotland,2018-2018,1,46,46,46.00,0,0,-,-,0,0,0,-
7,in South Africa,2016-2016,5,59,21*,14.75,0,5,3/43,47.00,0,0,0,-32.24
8,in Sri Lanka,2014-2018,12,273,119,30.33,1,9,2/39,53.77,0,4,0,-23.44
9,in U.A.E.,2015-2015,4,13,7,13.00,0,6,3/53,27.50,0,3,0,-14.49
10,in West Indies,2014-2019,11,167,55,23.85,0,4,1/5,79.00,0,5,0,-55.14
12,in Africa,2016-2016,5,59,21*,14.75,0,5,3/43,47.00,0,0,0,-32.24
13,in Americas,2014-2019,11,167,55,23.85,0,4,1/5,79.00,0,5,0,-55.14
14,in Asia,2014-2018,22,382,119,23.87,1,16,3/53,57.12,0,11,0,-33.24
15,in Europe,2014-2019,43,742,102,29.68,1,37,4/46,48.91,0,12,0,-19.23
16,in Oceania,2015-2018,20,416,128,24.47,1,22,3/36,37.00,0,4,0,-12.52
18,home,2014-2019,42,696,102,29.00,1,37,4/46,47.13,0,12,0,-18.13
19,away,2014-2019,50,870,119,22.30,1,34,3/36,58.02,0,16,0,-35.72
20,neutral,2015-2015,9,200,128,33.33,1,13,3/53,28.61,0,4,0,4.71
22,year 2014,,12,421,119,35.08,1,10,2/34,43.40,0,7,0,-8.31
23,year 2015,,19,376,128,25.06,1,23,3/32,33.39,0,4,0,-8.32
24,year 2016,,15,145,45*,16.11,0,10,3/43,70.50,0,6,0,-54.38
25,year 2017,,17,402,102,44.66,1,6,2/50,99.00,0,4,0,-54.33
26,year 2018,,24,277,46,17.31,0,29,4/46,34.48,0,5,0,-17.17
27,year 2019,,14,145,46*,18.12,0,6,3/50,98.00,0,6,0,-79.87
29,season 2013/14,,3,109,55,36.33,0,3,1/5,13.66,0,3,0,22.66
30,season 2014,,2,76,67,38.00,0,2,2/34,37.00,0,0,0,1.00
31,season 2014/15,,17,547,128,32.17,2,16,2/35,45.00,0,5,0,-12.82
32,season 2015,,5,52,21*,13.00,0,6,3/32,33.66,0,0,0,-20.66
33,season 2015/16,,9,72,21*,14.40,0,11,3/43,36.36,0,3,0,-21.96
34,season 2016,,7,75,45*,37.50,0,4,2/39,81.75,0,3,0,-44.24
35,season 2016/17,,9,130,55,16.25,0,2,1/42,186.50,0,4,0,-170.24
36,season 2017,,11,283,102,70.75,1,5,2/50,72.80,0,3,0,-2.04
37,season 2017/18,,10,105,33,15.00,0,11,3/36,37.54,0,3,0,-22.54
38,season 2018,,9,135,46,19.28,0,14,4/46,30.14,0,2,0,-10.85
39,season 2018/19,,10,61,37,15.25,0,4,2/55,83.00,0,2,0,-67.74
40,season 2019,,9,121,46*,20.16,0,6,3/50,70.16,0,4,0,-49.99
42,*SCJ Broad,2014-2014,3,109,55,36.33,0,3,1/5,13.66,0,3,0,22.66
43,*JC Buttler,2016-2019,6,56,37,9.33,0,5,2/47,55.40,0,3,0,-46.06
44,*AN Cook,2014-2014,8,293,119,36.62,1,6,2/34,58.16,0,4,0,-21.54
45,*EJG Morgan,2014-2019,84,1308,128,25.15,2,70,4/46,48.88,0,22,0,-23.73
47,is not captain,2014-2019,101,1766,128,25.59,3,84,4/46,48.67,0,32,0,-23.08
49,is not keeper,2014-2019,101,1766,128,25.59,3,84,4/46,48.67,0,32,0,-23.08
51,won the toss,2014-2019,48,677,119,21.15,1,39,3/32,51.89,0,11,0,-30.74
52,lost the toss,2014-2019,53,1089,128,29.43,2,45,4/46,45.88,0,21,0,-16.45
54,won toss & batted,2014-2019,17,169,31*,13.00,0,18,3/32,40.27,0,3,0,-27.27
55,won toss & fielded,2014-2019,30,508,119,26.73,1,21,3/50,61.85,0,8,0,-35.12
56,lost toss & sent in,2014-2019,32,774,128,29.76,2,25,3/28,48.28,0,12,0,-18.51
57,lost toss & fielded,2014-2019,21,315,58,28.63,0,20,4/46,42.90,0,9,0,-14.26
59,matches batting first,2014-2019,49,943,128,24.17,2,43,3/28,44.93,0,15,0,-20.75
60,matches fielding first,2014-2019,51,823,119,27.43,1,41,4/46,52.60,0,17,0,-25.17
