,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2019,8,36,29*,12.00,0,10,4/45,33.10,0,3,0,-21.09
2,in Bangladesh,2014-2015,6,28,25*,14.00,0,5,2/37,47.20,0,1,0,-33.19
3,in England,2013-2019,21,26,21,6.50,0,28,3/43,28.07,0,6,0,-21.57
4,in India,2012-2019,41,253,46,15.81,0,44,3/9,43.09,0,8,0,-27.27
5,in New Zealand,2014-2019,10,48,20,8.00,0,11,2/25,37.27,0,1,0,-29.27
6,in South Africa,2013-2018,6,40,19*,20.00,0,2,1/19,134.50,0,3,0,-114.49
7,in Sri Lanka,2017-2017,4,53,53*,-,0,5,5/42,33.80,1,1,0,-
8,in U.A.E.,2018-2018,5,30,21,15.00,0,6,3/15,29.33,0,0,0,-14.33
9,in West Indies,2013-2017,7,11,11*,11.00,0,12,4/8,10.41,0,3,0,0.58
10,in Zimbabwe,2015-2015,3,0,0*,-,0,5,4/33,16.00,0,0,0,-
12,in Africa,2013-2018,9,40,19*,20.00,0,7,4/33,49.85,0,3,0,-29.85
13,in Americas,2013-2017,7,11,11*,11.00,0,12,4/8,10.41,0,3,0,0.58
14,in Asia,2012-2019,56,364,53*,18.20,0,60,5/42,41.28,1,10,0,-23.08
15,in Europe,2013-2019,21,26,21,6.50,0,28,3/43,28.07,0,6,0,-21.57
16,in Oceania,2014-2019,18,84,29*,9.33,0,21,4/45,35.28,0,4,0,-25.95
18,home,2012-2019,41,253,46,15.81,0,44,3/9,43.09,0,8,0,-27.27
19,away,2013-2019,43,234,53*,18.00,0,46,5/42,35.36,1,10,0,-17.36
20,neutral,2013-2019,27,38,21,5.42,0,38,4/8,25.13,0,8,0,-19.70
22,year 2012,,1,-,-,-,-,2,2/27,13.50,0,0,0,-
23,year 2013,,25,94,31,13.42,0,28,4/8,33.85,0,10,0,-20.42
24,year 2014,,16,62,20,7.75,0,14,2/14,45.35,0,4,0,-37.60
25,year 2015,,13,49,25*,8.16,0,16,4/33,36.06,0,2,0,-27.89
26,year 2016,,2,2,2,2.00,0,0,-,-,0,1,0,-
27,year 2017,,24,132,53*,44.00,0,28,5/42,33.89,1,3,0,10.10
28,year 2018,,14,101,21,20.20,0,11,3/15,48.81,0,3,0,-28.61
29,year 2019,,16,85,46,14.16,0,29,4/45,23.93,0,3,0,-9.76
31,season 2012/13,,8,53,31,17.66,0,9,3/29,35.00,0,1,0,-17.33
32,season 2013,,9,12,11*,12.00,0,16,4/8,14.62,0,5,0,-2.62
33,season 2013/14,,18,70,20,8.75,0,12,2/56,69.33,0,6,0,-60.58
34,season 2014,,4,1,1,1.00,0,5,2/14,26.80,0,1,0,-25.79
35,season 2014/15,,6,25,18,6.25,0,4,2/25,44.00,0,2,0,-37.74
36,season 2015,,5,28,25*,28.00,0,7,4/33,21.28,0,0,0,6.71
37,season 2015/16,,7,18,14,4.50,0,7,3/41,65.42,0,2,0,-60.92
38,season 2016/17,,2,0,0*,-,0,1,1/63,119.00,0,0,0,-
39,season 2017,,12,54,53*,-,0,14,5/42,28.14,1,3,0,-
40,season 2017/18,,15,118,32*,29.50,0,15,3/9,42.46,0,3,0,-12.96
41,season 2018,,6,51,21,17.00,0,6,3/15,37.50,0,0,0,-20.49
42,season 2018/19,,13,93,46,18.60,0,22,4/45,24.36,0,2,0,-5.76
43,season 2019,,6,2,2,1.00,0,10,3/43,26.90,0,1,0,-25.89
45,*MS Dhoni,2012-2016,48,207,31,9.85,0,45,3/29,44.75,0,15,0,-34.89
46,*V Kohli,2013-2019,50,281,53*,28.10,0,66,5/42,30.72,1,11,0,-2.62
47,*AM Rahane,2015-2015,3,0,0*,-,0,5,4/33,16.00,0,0,0,-
48,*RG Sharma,2017-2019,10,37,21,7.40,0,12,3/15,29.66,0,0,0,-22.26
50,is not captain,2012-2019,111,525,53*,14.58,0,128,5/42,34.98,1,26,0,-20.40
52,is not keeper,2012-2019,111,525,53*,14.58,0,128,5/42,34.98,1,26,0,-20.40
54,won the toss,2013-2019,52,263,53*,10.95,0,58,3/9,35.06,0,17,0,-24.11
55,lost the toss,2012-2019,59,262,46,21.83,0,70,5/42,34.91,1,9,0,-13.08
57,won toss & batted,2013-2019,20,134,32*,10.30,0,26,3/9,30.53,0,5,0,-20.23
58,won toss & fielded,2013-2019,32,129,53*,11.72,0,32,3/32,38.75,0,12,0,-27.02
59,lost toss & sent in,2012-2019,32,120,31,17.14,0,35,4/8,33.14,0,4,0,-15.99
60,lost toss & fielded,2013-2019,27,142,46,28.40,0,35,5/42,36.68,1,5,0,-8.28
62,matches batting first,2012-2019,52,254,32*,12.70,0,61,4/8,32.03,0,9,0,-19.33
63,matches fielding first,2013-2019,59,271,53*,16.93,0,67,5/42,37.67,1,17,0,-20.73
65,1st match innings,2012-2019,111,254,32*,12.70,0,67,5/42,37.67,1,17,0,-24.97
66,2nd match innings,2012-2019,110,271,53*,16.93,0,61,4/8,32.03,0,9,0,-15.09
68,day match,2012-2019,42,99,31,12.37,0,55,4/8,25.61,0,12,0,-13.24
69,day/night match,2013-2019,69,426,53*,15.21,0,73,5/42,42.04,1,14,0,-26.82
71,won match,2013-2019,70,213,53*,21.30,0,94,5/42,26.51,1,18,0,-5.21
72,lost match,2012-2019,39,308,46,12.32,0,33,3/43,58.72,0,8,0,-46.40
73,tied match,2014-2014,1,4,4,4.00,0,1,1/48,48.00,0,0,0,-43.99
74,no result,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-
76,won batting first,2013-2019,32,139,32*,17.37,0,46,4/8,24.36,0,4,0,-6.99
77,won fielding first,2013-2019,38,74,53*,37.00,0,48,5/42,28.56,1,14,0,8.43
78,lost batting first,2012-2019,19,115,31,9.58,0,15,2/25,55.53,0,5,0,-45.94
79,lost fielding first,2013-2019,20,193,46,14.84,0,18,3/43,61.38,0,3,0,-46.54
80,tied fielding first,2014-2014,1,4,4,4.00,0,1,1/48,48.00,0,0,0,-43.99
81,no result batting first,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-
83,2 team series,2012-2019,79,475,53*,16.96,0,84,5/42,39.92,1,16,0,-22.96
84,3-4 team tournaments,2013-2015,6,16,11*,5.33,0,11,4/8,14.45,0,4,0,-9.12
85,5+ team tournaments,2013-2019,26,34,21,6.80,0,33,3/15,29.24,0,6,0,-22.44
87,1st match in series,2012-2019,19,159,32*,26.50,0,12,2/27,65.33,0,3,0,-38.83
88,2nd match in series,2013-2019,19,120,53*,20.00,0,32,4/33,23.00,0,5,0,-2.99
89,3rd match in series,2013-2019,19,63,21,12.60,0,14,2/28,61.57,0,3,0,-48.97
90,4th match in series,2013-2019,10,9,5,1.80,0,11,3/68,37.90,0,2,0,-36.10
91,5th match in series,2013-2019,10,124,46,20.66,0,14,5/42,33.28,1,2,0,-12.61
92,6th match in series,2013-2013,1,-,-,-,-,1,1/42,42.00,0,1,0,-
93,7th match in series,2013-2013,1,-,-,-,-,0,-,-,0,0,0,-
95,World Cup,2015-2019,7,2,2,1.00,0,11,3/43,26.18,0,1,0,-25.18
96,Asia Cup,2014-2018,9,30,21,10.00,0,9,3/15,38.11,0,1,0,-28.11
97,ICC Champions Trophy,2013-2017,10,2,1*,-,0,13,2/19,25.69,0,4,0,-
99,tournament finals,2013-2018,4,23,21,11.50,0,3,2/24,40.00,0,2,0,-28.49
100,tournament semi-finals,2013-2019,3,0,0,0.00,0,6,3/43,19.00,0,1,0,-18.99
101,preliminary matches,2013-2019,25,27,11*,5.40,0,35,4/8,25.42,0,7,0,-20.02
