,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2019-2019,3,37,25*,37.00,0,-,-,-,-,1,0,-
2,in Bangladesh,2007-2014,8,196,58*,39.20,0,-,-,-,-,7,1,-
3,in England,2004-2019,16,169,51*,18.77,0,-,-,-,-,11,1,-
4,in India,2006-2017,21,423,79,42.30,0,-,-,-,-,13,2,-
5,in Ireland,2007-2007,4,51,32*,51.00,0,-,-,-,-,5,1,-
6,in New Zealand,2019-2019,2,38,38*,38.00,0,-,-,-,-,5,0,-
7,in Scotland,2007-2007,1,14,14,14.00,0,-,-,-,-,0,0,-
8,in South Africa,2006-2009,4,76,34,19.00,0,-,-,-,-,2,0,-
9,in Sri Lanka,2009-2010,9,159,66,17.66,0,-,-,-,-,4,0,-
10,in U.A.E.,2018-2018,6,146,44,48.66,0,-,-,-,-,2,0,-
11,in West Indies,2009-2017,11,256,67,28.44,0,-,-,-,-,5,1,-
12,in Zimbabwe,2010-2013,9,187,69,37.40,0,-,-,-,-,9,1,-
14,in Africa,2006-2013,13,263,69,29.22,0,-,-,-,-,11,1,-
15,in Americas,2009-2017,11,256,67,28.44,0,-,-,-,-,5,1,-
16,in Asia,2006-2018,44,924,79,34.22,0,-,-,-,-,26,3,-
17,in Europe,2004-2019,21,234,51*,21.27,0,-,-,-,-,16,2,-
18,in Oceania,2019-2019,5,75,38*,37.50,0,-,-,-,-,6,0,-
20,home,2006-2017,21,423,79,42.30,0,-,-,-,-,13,2,-
21,away,2004-2019,43,792,69,27.31,0,-,-,-,-,31,3,-
22,neutral,2004-2019,30,537,51*,28.26,0,-,-,-,-,20,2,-
24,year 2004,,2,1,1,1.00,0,-,-,-,-,4,1,-
25,year 2006,,4,42,17,14.00,0,-,-,-,-,3,0,-
26,year 2007,,20,287,63,26.09,0,-,-,-,-,16,1,-
27,year 2009,,10,223,67,37.16,0,-,-,-,-,3,2,-
28,year 2010,,16,455,79,28.43,0,-,-,-,-,5,1,-
29,year 2013,,15,255,69,31.87,0,-,-,-,-,15,1,-
30,year 2014,,4,50,23,25.00,0,-,-,-,-,3,1,-
31,year 2017,,8,183,64*,61.00,0,-,-,-,-,4,0,-
32,year 2018,,7,167,44,41.75,0,-,-,-,-,2,0,-
33,year 2019,,8,89,38*,22.25,0,-,-,-,-,9,0,-
35,season 2004,,2,1,1,1.00,0,-,-,-,-,4,1,-
36,season 2005/06,,1,-,-,-,-,-,-,-,-,2,0,-
37,season 2006/07,,10,149,63,21.28,0,-,-,-,-,5,0,-
38,season 2007,,12,180,58*,30.00,0,-,-,-,-,11,1,-
39,season 2007/08,,1,0,0,0.00,0,-,-,-,-,1,0,-
40,season 2009,,6,138,67,27.60,0,-,-,-,-,0,0,-
41,season 2009/10,,9,301,79,50.16,0,-,-,-,-,4,2,-
42,season 2010,,11,239,66,21.72,0,-,-,-,-,4,1,-
43,season 2013,,15,255,69,31.87,0,-,-,-,-,15,1,-
44,season 2013/14,,4,50,23,25.00,0,-,-,-,-,3,1,-
45,season 2017,,2,52,50*,52.00,0,-,-,-,-,0,0,-
46,season 2017/18,,6,131,64*,65.50,0,-,-,-,-,4,0,-
47,season 2018,,7,167,44,41.75,0,-,-,-,-,2,0,-
48,season 2018/19,,5,75,38*,37.50,0,-,-,-,-,6,0,-
49,season 2019,,3,14,8,7.00,0,-,-,-,-,3,0,-
51,*MS Dhoni,2007-2018,29,699,79,29.12,0,-,-,-,-,10,0,-
52,*R Dravid,2006-2007,21,301,63,27.36,0,-,-,-,-,17,1,-
53,*SC Ganguly,2004-2004,2,1,1,1.00,0,-,-,-,-,4,1,-
54,*V Kohli,2013-2019,25,444,69,37.00,0,-,-,-,-,27,2,-
55,*SK Raina,2010-2010,4,100,33,25.00,0,-,-,-,-,0,1,-
56,*V Sehwag,2006-2009,4,79,32*,39.50,0,-,-,-,-,3,2,-
57,*RG Sharma,2017-2019,9,128,37,32.00,0,-,-,-,-,3,0,-
59,is not captain,2004-2019,94,1752,79,30.20,0,-,-,-,-,64,7,-
61,is designated keeper,2004-2019,26,394,69,28.14,0,-,-,-,-,34,7,-
62,is not keeper,2006-2019,68,1358,79,30.86,0,-,-,-,-,30,0,-
64,won the toss,2004-2019,45,834,79,33.36,0,-,-,-,-,30,4,-
65,lost the toss,2004-2019,49,918,69,27.81,0,-,-,-,-,34,3,-
67,won toss & batted,2004-2019,14,367,79,26.21,0,-,-,-,-,9,1,-
68,won toss & fielded,2006-2019,31,467,51*,42.45,0,-,-,-,-,21,3,-
69,lost toss & sent in,2004-2019,24,399,69,21.00,0,-,-,-,-,18,1,-
70,lost toss & fielded,2006-2019,25,519,64*,37.07,0,-,-,-,-,16,2,-
72,matches batting first,2004-2019,38,766,79,23.21,0,-,-,-,-,27,2,-
73,matches fielding first,2006-2019,56,986,64*,39.44,0,-,-,-,-,37,5,-
75,1st match innings,2004-2019,94,766,79,23.21,0,-,-,-,-,37,5,-
76,2nd match innings,2004-2019,91,986,64*,39.44,0,-,-,-,-,27,2,-
78,day match,2004-2019,54,899,69,29.00,0,-,-,-,-,39,4,-
79,day/night match,2006-2019,40,853,79,31.59,0,-,-,-,-,25,3,-
81,won match,2004-2019,60,1234,79,44.07,0,-,-,-,-,47,7,-
82,lost match,2006-2019,30,474,44*,16.34,0,-,-,-,-,16,0,-
83,tied match,2018-2018,1,44,44,44.00,0,-,-,-,-,1,0,-
84,no result,2007-2009,3,-,-,-,-,-,-,-,-,0,0,-
86,won batting first,2004-2019,21,481,79,30.06,0,-,-,-,-,17,2,-
87,won fielding first,2006-2019,39,753,64*,62.75,0,-,-,-,-,30,5,-
88,lost batting first,2006-2019,17,285,40,16.76,0,-,-,-,-,10,0,-
89,lost fielding first,2006-2019,13,189,44*,15.75,0,-,-,-,-,6,0,-
90,tied fielding first,2018-2018,1,44,44,44.00,0,-,-,-,-,1,0,-
91,no result fielding first,2007-2009,3,-,-,-,-,-,-,-,-,0,0,-
93,2 team series,2006-2019,53,998,79,36.96,0,-,-,-,-,40,3,-
94,3-4 team tournaments,2004-2013,21,428,66,20.38,0,-,-,-,-,11,3,-
95,5+ team tournaments,2004-2019,20,326,51*,32.60,0,-,-,-,-,13,1,-
97,only match in series,2007-2007,2,14,14,14.00,0,-,-,-,-,2,1,-
98,1st match in series,2007-2019,11,289,67,48.16,0,-,-,-,-,4,0,-
99,2nd match in series,2007-2019,11,374,79,53.42,0,-,-,-,-,7,0,-
100,3rd match in series,2006-2019,14,205,47,34.16,0,-,-,-,-,15,1,-
101,4th match in series,2006-2019,8,43,19*,8.60,0,-,-,-,-,5,1,-
102,5th match in series,2006-2017,5,73,50*,73.00,0,-,-,-,-,4,0,-
103,7th match in series,2006-2007,2,0,0,0.00,0,-,-,-,-,3,0,-
105,World Cup,2019-2019,3,14,8,7.00,0,-,-,-,-,3,0,-
106,Asia Cup,2010-2018,12,302,66,43.14,0,-,-,-,-,5,1,-
107,ICC Champions Trophy,2004-2013,7,116,51*,38.66,0,-,-,-,-,5,0,-
109,tournament finals,2010-2018,5,132,66,26.40,0,-,-,-,-,2,0,-
110,tournament semi-finals,2013-2019,2,6,6,6.00,0,-,-,-,-,1,0,-
111,preliminary matches,2004-2019,34,616,51*,24.64,0,-,-,-,-,21,4,-
