,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2017-2019,17,373,76,33.90,0,15,3/60,55.73,0,5,0,-21.82
2,in India,2016-2017,18,454,83,37.83,0,21,3/31,34.61,0,5,0,3.21
3,in New Zealand,2019-2019,3,61,45,30.50,0,4,2/45,27.50,0,2,0,3.00
4,in South Africa,2018-2018,6,26,14,8.66,0,4,2/30,54.00,0,6,0,-45.33
5,in Sri Lanka,2017-2017,4,19,19,9.50,0,4,2/50,37.75,0,1,0,-28.24
6,in U.A.E.,2018-2018,1,-,-,-,-,0,-,-,0,0,0,-
7,in West Indies,2017-2017,5,24,20,12.00,0,6,3/40,21.83,0,3,0,-9.83
9,in Africa,2018-2018,6,26,14,8.66,0,4,2/30,54.00,0,6,0,-45.33
10,in Americas,2017-2017,5,24,20,12.00,0,6,3/40,21.83,0,3,0,-9.83
11,in Asia,2016-2018,23,473,83,33.78,0,25,3/31,36.08,0,6,0,-2.29
12,in Europe,2017-2019,17,373,76,33.90,0,15,3/60,55.73,0,5,0,-21.82
13,in Oceania,2019-2019,3,61,45,30.50,0,4,2/45,27.50,0,2,0,3.00
15,home,2016-2017,18,454,83,37.83,0,21,3/31,34.61,0,5,0,3.21
16,away,2017-2019,22,217,45,18.08,0,19,3/40,43.36,0,14,0,-25.28
17,neutral,2017-2019,14,286,76,35.75,0,14,3/60,46.00,0,3,0,-10.24
19,year 2016,,4,45,36,22.50,0,4,3/31,35.25,0,2,0,-12.74
20,year 2017,,28,557,83,34.81,0,31,3/40,35.51,0,8,0,-0.70
21,year 2018,,10,68,21,13.60,0,5,2/30,79.20,0,7,0,-65.59
22,year 2019,,12,287,48,31.88,0,14,3/60,39.78,0,5,0,-7.89
24,season 2016/17,,7,160,56,53.33,0,9,3/31,32.88,0,3,0,20.44
25,season 2017,,14,148,76,24.66,0,14,3/40,36.78,0,5,0,-12.11
26,season 2017/18,,17,320,83,26.66,0,16,2/28,40.43,0,8,0,-13.77
27,season 2018,,4,42,21,21.00,0,1,1/70,180.00,0,1,0,-158.99
28,season 2018/19,,3,61,45,30.50,0,4,2/45,27.50,0,2,0,3.00
29,season 2019,,9,226,48,32.28,0,10,3/60,44.70,0,3,0,-12.41
31,*MS Dhoni,2016-2016,4,45,36,22.50,0,4,3/31,35.25,0,2,0,-12.74
32,*V Kohli,2017-2019,44,833,83,32.03,0,44,3/40,41.77,0,19,0,-9.73
33,*RG Sharma,2017-2019,6,79,45,19.75,0,6,2/49,36.00,0,1,0,-16.24
35,is not captain,2016-2019,54,957,83,29.90,0,54,3/31,40.64,0,22,0,-10.74
37,is not keeper,2016-2019,54,957,83,29.90,0,54,3/31,40.64,0,22,0,-10.74
39,won the toss,2016-2019,24,501,83,35.78,0,30,3/31,34.86,0,9,0,0.91
40,lost the toss,2016-2019,30,456,78,25.33,0,24,3/40,47.87,0,13,0,-22.54
42,won toss & batted,2017-2019,10,293,83,29.30,0,16,3/60,29.62,0,3,0,-0.32
43,won toss & fielded,2016-2018,14,208,76,52.00,0,14,3/31,40.85,0,6,0,11.14
44,lost toss & sent in,2017-2019,14,155,26,15.50,0,10,2/30,50.60,0,6,0,-35.09
45,lost toss & fielded,2016-2019,16,301,78,37.62,0,14,3/40,45.92,0,7,0,-8.30
47,matches batting first,2017-2019,24,448,83,22.40,0,26,3/60,37.69,0,9,0,-15.29
48,matches fielding first,2016-2019,30,509,78,42.41,0,28,3/31,43.39,0,13,0,-0.97
50,1st match innings,2016-2019,54,448,83,22.40,0,28,3/31,43.39,0,13,0,-20.99
51,2nd match innings,2016-2019,53,509,78,42.41,0,26,3/60,37.69,0,9,0,4.72
