,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2016-2016,1,-,-,-,-,2,2/40,20.00,0,0,0,-
2,in England,2017-2019,14,2,1*,2.00,0,22,4/55,26.40,0,2,0,-24.40
3,in India,2016-2019,25,17,10*,4.25,0,39,4/35,28.00,0,8,0,-23.74
4,in South Africa,2018-2018,6,-,-,-,-,8,2/24,20.87,0,1,0,-
5,in Sri Lanka,2017-2017,5,-,-,-,-,15,5/27,11.26,1,1,0,-
6,in U.A.E.,2018-2018,4,-,-,-,-,8,3/37,16.00,0,3,0,-
7,in Zimbabwe,2016-2016,3,-,-,-,-,9,4/22,8.55,0,2,0,-
9,in Africa,2016-2018,9,-,-,-,-,17,4/22,14.35,0,3,0,-
10,in Asia,2016-2019,34,17,10*,4.25,0,62,5/27,22.40,1,12,0,-18.15
11,in Europe,2017-2019,14,2,1*,2.00,0,22,4/55,26.40,0,2,0,-24.40
12,in Oceania,2016-2016,1,-,-,-,-,2,2/40,20.00,0,0,0,-
14,home,2016-2019,25,17,10*,4.25,0,39,4/35,28.00,0,8,0,-23.74
15,away,2016-2019,16,-,-,-,-,35,5/27,14.20,1,4,0,-
16,neutral,2017-2019,17,2,1*,2.00,0,29,4/55,22.93,0,5,0,-20.93
18,year 2016,,8,0,0,0.00,0,17,4/22,14.64,0,2,0,-14.64
19,year 2017,,23,11,10*,5.50,0,39,5/27,26.25,1,9,0,-20.75
20,year 2018,,13,0,0,0.00,0,22,4/35,16.63,0,4,0,-16.63
21,year 2019,,14,8,6*,8.00,0,25,4/55,24.60,0,2,0,-16.59
23,season 2015/16,,1,-,-,-,-,2,2/40,20.00,0,0,0,-
24,season 2016,,3,-,-,-,-,9,4/22,8.55,0,2,0,-
25,season 2016/17,,7,0,0*,0.00,0,11,3/35,32.72,0,2,0,-32.72
26,season 2017,,10,1,1,1.00,0,19,5/27,19.94,1,2,0,-18.94
27,season 2017/18,,16,10,10*,10.00,0,23,3/47,25.39,0,6,0,-15.39
28,season 2018,,4,-,-,-,-,8,3/37,16.00,0,3,0,-
29,season 2018/19,,8,7,6*,3.50,0,13,4/35,24.23,0,1,0,-20.73
30,season 2019,,9,1,1*,-,0,18,4/55,20.61,0,1,0,-
32,*MS Dhoni,2016-2016,8,0,0,0.00,0,17,4/22,14.64,0,2,0,-14.64
33,*V Kohli,2017-2019,43,19,10*,6.33,0,74,5/27,23.82,1,12,0,-17.49
34,*RG Sharma,2017-2018,7,0,0,0.00,0,12,3/37,20.16,0,3,0,-20.16
36,is not captain,2016-2019,58,19,10*,3.80,0,103,5/27,21.88,1,17,0,-18.08
38,is not keeper,2016-2019,58,19,10*,3.80,0,103,5/27,21.88,1,17,0,-18.08
40,won the toss,2016-2019,32,18,10*,6.00,0,57,4/28,21.63,0,12,0,-15.63
41,lost the toss,2016-2019,26,1,1*,0.50,0,46,5/27,22.19,1,5,0,-21.69
43,won toss & batted,2016-2019,12,17,10*,-,0,20,4/55,21.80,0,3,0,-
44,won toss & fielded,2016-2019,20,1,1,0.33,0,37,4/28,21.54,0,9,0,-21.20
45,lost toss & sent in,2017-2019,10,0,0,0.00,0,13,3/47,31.76,0,0,0,-31.76
46,lost toss & fielded,2016-2019,16,1,1*,-,0,33,5/27,18.42,1,5,0,-
48,matches batting first,2016-2019,22,17,10*,8.50,0,33,4/55,25.72,0,3,0,-17.22
49,matches fielding first,2016-2019,36,2,1*,0.66,0,70,5/27,20.07,1,14,0,-19.40
51,1st match innings,2016-2019,58,17,10*,8.50,0,70,5/27,20.07,1,14,0,-11.57
52,2nd match innings,2016-2019,58,2,1*,0.66,0,33,4/55,25.72,0,3,0,-25.06
54,day match,2016-2019,22,2,1*,2.00,0,40,4/22,19.95,0,7,0,-17.94
55,day/night match,2016-2019,36,17,10*,4.25,0,63,5/27,23.11,1,10,0,-18.86
57,won match,2016-2019,45,11,10*,11.00,0,87,5/27,18.95,1,14,0,-7.95
58,lost match,2016-2019,13,8,6*,2.00,0,16,4/35,37.81,0,3,0,-35.81
60,won batting first,2016-2019,17,11,10*,11.00,0,27,4/55,23.14,0,3,0,-12.14
61,won fielding first,2016-2019,28,-,-,-,-,60,5/27,17.06,1,11,0,-
62,lost batting first,2017-2019,5,6,6*,6.00,0,6,3/63,37.33,0,0,0,-31.33
63,lost fielding first,2016-2019,8,2,1*,0.66,0,10,4/35,38.10,0,3,0,-37.43
65,2 team series,2016-2019,40,17,10*,4.25,0,73,5/27,21.16,1,12,0,-16.91
66,5+ team tournaments,2017-2019,18,2,1*,2.00,0,30,4/55,23.63,0,5,0,-21.63
68,1st match in series,2016-2019,9,0,0,0.00,0,14,4/28,27.28,0,2,0,-27.28
69,2nd match in series,2016-2019,9,10,10*,5.00,0,17,4/43,20.41,0,2,0,-15.41
70,3rd match in series,2016-2019,10,0,0*,0.00,0,24,5/27,17.79,1,6,0,-17.79
71,4th match in series,2017-2019,4,6,6*,-,0,6,3/63,23.50,0,0,0,-
72,5th match in series,2016-2019,7,1,1*,-,0,10,2/11,22.40,0,1,0,-
73,6th match in series,2018-2018,1,-,-,-,-,2,2/24,12.00,0,1,0,-
75,World Cup,2019-2019,9,1,1*,-,0,18,4/55,20.61,0,1,0,-
76,Asia Cup,2018-2018,4,-,-,-,-,8,3/37,16.00,0,3,0,-
77,ICC Champions Trophy,2017-2017,5,1,1,1.00,0,4,2/28,52.50,0,1,0,-51.49
79,tournament finals,2017-2018,2,1,1,1.00,0,1,1/39,107.00,0,2,0,-105.99
80,tournament semi-finals,2017-2019,2,0,0*,-,0,3,2/39,26.00,0,1,0,-
81,preliminary matches,2017-2019,14,1,1*,-,0,26,4/55,20.15,0,2,0,-
