,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2018-2019,11,370,111,41.11,1,-,-,-,-,2,0,-
2,in India,2017-2019,4,50,26,12.50,0,-,-,-,-,2,0,-
3,in Sri Lanka,2017-2017,4,28,17,9.33,0,-,-,-,-,1,0,-
4,in U.A.E.,2018-2018,1,60,60,60.00,0,-,-,-,-,0,0,-
5,in Zimbabwe,2016-2016,3,196,100*,196.00,1,-,-,-,-,3,0,-
7,in Africa,2016-2016,3,196,100*,196.00,1,-,-,-,-,3,0,-
8,in Asia,2017-2019,9,138,60,17.25,0,-,-,-,-,3,0,-
9,in Europe,2018-2019,11,370,111,41.11,1,-,-,-,-,2,0,-
11,home,2017-2019,4,50,26,12.50,0,-,-,-,-,2,0,-
12,away,2016-2019,10,233,100*,38.83,1,-,-,-,-,5,0,-
13,neutral,2018-2019,9,421,111,52.62,1,-,-,-,-,1,0,-
15,year 2016,,3,196,100*,196.00,1,-,-,-,-,3,0,-
16,year 2017,,7,52,17,8.66,0,-,-,-,-,2,0,-
17,year 2018,,3,69,60,34.50,0,-,-,-,-,1,0,-
18,year 2019,,10,387,111,43.00,1,-,-,-,-,2,0,-
20,season 2016,,3,196,100*,196.00,1,-,-,-,-,3,0,-
21,season 2016/17,,3,24,11,8.00,0,-,-,-,-,1,0,-
22,season 2017,,4,28,17,9.33,0,-,-,-,-,1,0,-
23,season 2018,,3,69,60,34.50,0,-,-,-,-,1,0,-
24,season 2018/19,,1,26,26,26.00,0,-,-,-,-,1,0,-
25,season 2019,,9,361,111,45.12,1,-,-,-,-,1,0,-
27,*MS Dhoni,2016-2018,4,256,100*,128.00,1,-,-,-,-,3,0,-
28,*V Kohli,2017-2019,19,448,111,28.00,1,-,-,-,-,5,0,-
30,is not captain,2016-2019,23,704,111,39.11,2,-,-,-,-,8,0,-
32,is not keeper,2016-2019,23,704,111,39.11,2,-,-,-,-,8,0,-
34,won the toss,2016-2019,13,364,100*,40.44,1,-,-,-,-,6,0,-
35,lost the toss,2016-2019,10,340,111,37.77,1,-,-,-,-,2,0,-
37,won toss & batted,2017-2019,6,199,77,39.80,0,-,-,-,-,2,0,-
38,won toss & fielded,2016-2018,7,165,100*,41.25,1,-,-,-,-,4,0,-
39,lost toss & sent in,2017-2019,2,62,57,31.00,0,-,-,-,-,0,0,-
40,lost toss & fielded,2016-2019,8,278,111,39.71,1,-,-,-,-,2,0,-
42,matches batting first,2017-2019,8,261,77,37.28,0,-,-,-,-,2,0,-
43,matches fielding first,2016-2019,15,443,111,40.27,2,-,-,-,-,6,0,-
45,1st match innings,2016-2019,23,261,77,37.28,0,-,-,-,-,6,0,-
46,2nd match innings,2016-2019,23,443,111,40.27,2,-,-,-,-,2,0,-
48,day match,2016-2019,15,626,111,56.90,2,-,-,-,-,5,0,-
49,day/night match,2017-2019,8,78,26,11.14,0,-,-,-,-,3,0,-
51,won match,2016-2019,17,606,111,50.50,2,-,-,-,-,6,0,-
52,lost match,2017-2019,5,38,26,7.60,0,-,-,-,-,2,0,-
53,tied match,2018-2018,1,60,60,60.00,0,-,-,-,-,0,0,-
55,won batting first,2017-2019,7,235,77,39.16,0,-,-,-,-,1,0,-
56,won fielding first,2016-2019,10,371,111,61.83,2,-,-,-,-,5,0,-
57,lost batting first,2019-2019,1,26,26,26.00,0,-,-,-,-,1,0,-
58,lost fielding first,2017-2019,4,12,11,3.00,0,-,-,-,-,1,0,-
59,tied fielding first,2018-2018,1,60,60,60.00,0,-,-,-,-,0,0,-
61,2 team series,2016-2019,13,283,100*,31.44,1,-,-,-,-,7,0,-
62,5+ team tournaments,2018-2019,10,421,111,46.77,1,-,-,-,-,1,0,-
64,1st match in series,2016-2018,4,117,100*,117.00,1,-,-,-,-,3,0,-
65,2nd match in series,2016-2018,4,42,33,10.50,0,-,-,-,-,0,0,-
66,3rd match in series,2016-2017,3,91,63*,45.50,0,-,-,-,-,3,0,-
67,4th match in series,2017-2019,2,33,26,16.50,0,-,-,-,-,1,0,-
69,World Cup,2019-2019,9,361,111,45.12,1,-,-,-,-,1,0,-
70,Asia Cup,2018-2018,1,60,60,60.00,0,-,-,-,-,0,0,-
72,tournament semi-finals,2019-2019,1,1,1,1.00,0,-,-,-,-,0,0,-
73,preliminary matches,2018-2019,9,420,111,52.50,1,-,-,-,-,1,0,-
