,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2019-2019,1,61,61*,-,0,0,-,-,0,1,0,-
2,in England,2017-2019,11,114,52,38.00,0,3,2/22,33.66,0,7,0,4.33
3,in India,2014-2019,24,698,120,43.62,1,10,3/29,46.00,0,11,0,-2.37
4,in New Zealand,2019-2019,5,57,34,28.50,0,3,1/17,34.33,0,1,0,-5.83
5,in South Africa,2018-2018,3,1,1,1.00,0,0,-,-,0,0,0,-
6,in Sri Lanka,2017-2017,4,64,63,21.33,0,3,2/26,30.00,0,2,0,-8.66
7,in U.A.E.,2018-2018,6,70,28*,70.00,0,6,3/23,23.16,0,2,0,46.83
8,in West Indies,2017-2017,5,63,40*,63.00,0,2,1/0,6.50,0,3,0,56.50
9,in Zimbabwe,2015-2016,6,126,105*,63.00,1,-,-,-,-,3,0,-
11,in Africa,2015-2018,9,127,105*,42.33,1,0,-,-,0,3,0,-
12,in Americas,2017-2017,5,63,40*,63.00,0,2,1/0,6.50,0,3,0,56.50
13,in Asia,2014-2019,34,832,120,41.60,1,19,3/23,36.26,0,15,0,5.33
14,in Europe,2017-2019,11,114,52,38.00,0,3,2/22,33.66,0,7,0,4.33
15,in Oceania,2019-2019,6,118,61*,59.00,0,3,1/17,46.00,0,2,0,13.00
17,home,2014-2019,24,698,120,43.62,1,10,3/29,46.00,0,11,0,-2.37
18,away,2015-2019,25,384,105*,42.66,1,8,2/26,33.87,0,11,0,8.79
19,neutral,2017-2019,16,172,52,43.00,0,9,3/23,26.66,0,8,0,16.33
21,year 2014,,1,20,20,20.00,0,-,-,-,-,1,0,-
22,year 2015,,3,126,105*,63.00,1,-,-,-,-,1,0,-
23,year 2016,,8,90,41,45.00,0,6,3/29,12.16,0,5,0,32.83
24,year 2017,,25,561,120,40.07,1,10,2/22,40.90,0,12,0,-0.82
25,year 2018,,11,87,28*,43.50,0,6,3/23,28.16,0,5,0,15.33
26,year 2019,,17,370,81*,46.25,0,5,1/17,64.00,0,6,0,-17.74
28,season 2014/15,,1,20,20,20.00,0,-,-,-,-,1,0,-
29,season 2015,,3,126,105*,63.00,1,-,-,-,-,1,0,-
30,season 2016,,3,-,-,-,-,-,-,-,-,2,0,-
31,season 2016/17,,8,322,120,64.40,1,6,3/29,23.50,0,3,0,40.90
32,season 2017,,14,161,63,32.20,0,8,2/22,21.25,0,8,0,10.95
33,season 2017/18,,11,169,67,24.14,0,2,1/38,100.50,0,4,0,-76.35
34,season 2018,,6,70,28*,70.00,0,6,3/23,23.16,0,2,0,46.83
35,season 2018/19,,13,306,81*,51.00,0,5,1/17,57.20,0,5,0,-6.19
36,season 2019,,6,80,52,40.00,0,0,-,-,0,4,0,-
38,*MS Dhoni,2016-2018,9,109,41,36.33,0,7,3/29,14.28,0,6,0,22.04
39,*V Kohli,2014-2019,46,933,120,42.40,1,14,2/22,51.78,0,21,0,-9.37
40,*AM Rahane,2015-2015,3,126,105*,63.00,1,-,-,-,-,1,0,-
41,*RG Sharma,2018-2019,7,86,34,43.00,0,6,3/23,24.33,0,2,0,18.66
43,is not captain,2014-2019,65,1254,120,43.24,2,27,3/23,35.96,0,30,0,7.27
45,is not keeper,2014-2019,65,1254,120,43.24,2,27,3/23,35.96,0,30,0,7.27
47,won the toss,2016-2019,28,637,120,49.00,1,15,3/29,28.40,0,14,0,20.60
48,lost the toss,2014-2019,37,617,105*,38.56,1,12,3/23,45.41,0,16,0,-6.85
50,won toss & batted,2016-2019,11,256,52,36.57,0,2,1/34,65.50,0,6,0,-28.92
51,won toss & fielded,2016-2019,17,381,120,63.50,1,13,3/29,22.69,0,8,0,40.80
52,lost toss & sent in,2015-2019,15,294,105*,42.00,1,2,1/0,89.00,0,5,0,-46.99
53,lost toss & fielded,2014-2019,22,323,81*,35.88,0,10,3/23,36.70,0,11,0,-0.81
55,matches batting first,2015-2019,26,550,105*,39.28,1,4,1/0,77.25,0,11,0,-37.96
56,matches fielding first,2014-2019,39,704,120,46.93,1,23,3/23,28.78,0,19,0,18.15
58,1st match innings,2014-2019,65,550,105*,39.28,1,23,3/23,28.78,0,19,0,10.50
59,2nd match innings,2014-2019,64,704,120,46.93,1,4,1/0,77.25,0,11,0,-30.31
61,day match,2015-2019,29,373,105*,53.28,1,11,3/23,24.00,0,15,0,29.28
62,day/night match,2014-2019,36,881,120,40.04,1,16,3/29,44.18,0,15,0,-4.14
64,won match,2014-2019,50,888,120,52.23,2,23,3/23,32.13,0,25,0,20.10
65,lost match,2016-2019,13,347,90,31.54,0,3,1/11,68.33,0,4,0,-36.78
66,tied match,2018-2018,1,19,19,19.00,0,1,1/27,27.00,0,1,0,-7.99
67,no result,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-
69,won batting first,2015-2019,21,502,105*,45.63,1,4,1/0,61.75,0,10,0,-16.11
70,won fielding first,2014-2019,29,386,120,64.33,1,19,3/23,25.89,0,15,0,38.43
71,lost batting first,2017-2019,4,48,25*,16.00,0,0,-,-,0,1,0,-
72,lost fielding first,2016-2019,9,299,90,37.37,0,3,1/11,47.66,0,3,0,-10.29
73,tied fielding first,2018-2018,1,19,19,19.00,0,1,1/27,27.00,0,1,0,-7.99
74,no result batting first,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-
76,2 team series,2014-2019,48,1070,120,42.80,2,18,3/29,40.61,0,21,0,2.18
