,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2019-2019,2,3,3,3,0,2,2/54,60,0,0,0,-56.99
2,in England,2018-2019,10,9,8*,-,0,15,6/25,32.33,1,0,0,-
3,in India,2017-2019,16,56,19,11.2,0,30,3/42,26.56,0,1,0,-15.36
4,in New Zealand,2019-2019,4,15,15,15,0,8,4/39,15.62,0,1,0,-0.62
5,in South Africa,2018-2018,6,2,2*,-,0,17,4/23,13.88,0,0,0,-
6,in Sri Lanka,2017-2017,2,-,-,-,-,3,2/31,23.66,0,1,0,-
7,in U.A.E.,2018-2018,6,14,9,14,0,10,3/45,23.7,0,1,0,-9.69
8,in West Indies,2017-2017,5,2,2*,-,0,8,3/41,19.75,0,1,0,-
10,in Africa,2018-2018,6,2,2*,-,0,17,4/23,13.88,0,0,0,-
11,in Americas,2017-2017,5,2,2*,-,0,8,3/41,19.75,0,1,0,-
12,in Asia,2017-2019,24,70,19,11.66,0,43,3/42,25.69,0,3,0,-14.03
13,in Europe,2018-2019,10,9,8*,-,0,15,6/25,32.33,1,0,0,-
14,in Oceania,2019-2019,6,18,15,9,0,10,4/39,24.5,0,1,0,-15.49
16,home,2017-2019,16,56,19,11.2,0,30,3/42,26.56,0,1,0,-15.36
17,away,2017-2019,23,30,15,15,0,48,6/25,19.37,1,3,0,-4.37
18,neutral,2018-2019,12,15,9,15,0,15,3/45,33.46,0,1,0,-18.46
20,year 2017,,14,21,19,10.5,0,22,3/41,24.77,0,2,0,-14.27
21,year 2018,,19,39,15*,39,0,45,6/25,17.77,1,1,0,21.22
22,year 2019,,18,41,15,8.2,0,26,4/39,34,0,2,0,-25.79
24,season 2017,,7,2,2*,-,0,11,3/41,20.81,0,2,0,-
25,season 2017/18,,13,21,19,10.5,0,28,4/23,19.71,0,0,0,-9.21
26,season 2018,,9,22,9,22,0,19,6/25,20.26,1,1,0,1.73
27,season 2018/19,,15,55,15*,11,0,29,4/39,25.03,0,2,0,-14.03
28,season 2019,,7,1,1*,-,0,6,2/32,56.16,0,0,0,-
30,*MS Dhoni,2018-2018,1,9,9,9,0,2,2/38,19,0,1,0,-9.99
31,*V Kohli,2017-2019,42,53,15*,10.6,0,80,6/25,24.35,1,4,0,-13.74
32,*RG Sharma,2017-2019,8,39,19,19.5,0,11,3/42,22.09,0,0,0,-2.59
34,is not captain,2017-2019,51,101,19,12.62,0,93,6/25,23.96,1,5,0,-11.34
36,is not keeper,2017-2019,51,101,19,12.62,0,93,6/25,23.96,1,5,0,-11.34
38,won the toss,2017-2019,20,32,15*,16,0,43,6/25,21.23,1,2,0,-5.23
39,lost the toss,2017-2019,31,69,19,11.5,0,50,4/23,26.32,0,3,0,-14.81
41,won toss & batted,2017-2019,12,2,1*,2,0,22,4/45,26.36,0,2,0,-24.36
42,won toss & fielded,2017-2019,8,30,15*,30,0,21,6/25,15.85,1,0,0,14.14
43,lost toss & sent in,2017-2019,11,39,19,13,0,21,4/23,16.95,0,0,0,-3.95
44,lost toss & fielded,2017-2019,20,30,9,10,0,29,4/39,33.1,0,3,0,-23.1
46,matches batting first,2017-2019,23,41,19,10.25,0,43,4/23,21.76,0,2,0,-11.51
47,matches fielding first,2017-2019,28,60,15*,15,0,50,6/25,25.86,1,3,0,-10.85
49,1st match innings,2017-2019,51,41,19,10.25,0,50,6/25,25.86,1,3,0,-15.6
50,2nd match innings,2017-2019,50,60,15*,15,0,43,4/23,21.76,0,2,0,-6.76
52,day match,2017-2019,22,25,9,25,0,36,6/25,25,1,2,0,0
53,day/night match,2017-2019,29,76,19,10.85,0,57,4/23,23.31,0,3,0,-12.45
55,won match,2017-2019,35,11,5*,5.5,0,70,6/25,21.04,1,3,0,-15.54
56,lost match,2017-2019,13,81,19,16.2,0,18,3/64,36.16,0,1,0,-19.96
57,tied match,2018-2018,2,9,9,9,0,5,3/67,21,0,1,0,-11.99
58,no result,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-
60,won batting first,2017-2019,15,6,3,3,0,36,4/23,17.58,0,1,0,-14.58
61,won fielding first,2017-2019,20,5,5*,-,0,34,6/25,24.7,1,2,0,-
62,lost batting first,2017-2019,6,35,19,17.5,0,4,2/51,59,0,1,0,-41.49
63,lost fielding first,2017-2019,7,46,15*,15.33,0,14,3/64,29.64,0,0,0,-14.3
64,tied batting first,2018-2018,1,-,-,-,-,3,3/67,22.33,0,0,0,-
65,tied fielding first,2018-2018,1,9,9,9,0,2,2/38,19,0,1,0,-9.99
66,no result batting first,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-
68,2 team series,2017-2019,38,86,19,12.28,0,77,6/25,21.49,1,4,0,-9.2
69,5+ team tournaments,2018-2019,13,15,9,15,0,16,3/45,35.87,0,1,0,-20.87
71,1st match in series,2017-2019,9,22,19,11,0,20,6/25,14.75,1,1,0,-3.74
72,2nd match in series,2017-2019,8,11,8*,5.5,0,22,4/45,19.27,0,0,0,-13.77
73,3rd match in series,2017-2019,8,25,15*,25,0,17,4/23,23,0,0,0,2
74,4th match in series,2017-2019,6,18,15,18,0,10,3/42,22.1,0,2,0,-4.09
75,5th match in series,2017-2019,6,10,8,10,0,7,4/57,39,0,1,0,-28.99
76,6th match in series,2018-2018,1,-,-,-,-,1,1/51,51,0,0,0,-
78,World Cup,2019-2019,7,1,1*,-,0,6,2/32,56.16,0,0,0,-
79,Asia Cup,2018-2018,6,14,9,14,0,10,3/45,23.7,0,1,0,-9.69
81,tournament finals,2018-2018,1,5,5*,-,0,3,3/45,15,0,0,0,-
82,preliminary matches,2018-2019,12,10,9,10,0,13,2/32,40.69,0,1,0,-30.69
