,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2019,12,37,25,12.33,0,18,4/35,25.22,0,5,0,-12.88
2,in Bangladesh,2014-2014,4,14,14*,14.00,0,9,4/50,25.55,0,1,0,-11.55
3,in England,2014-2019,8,2,1,0.50,0,22,5/69,15.68,1,4,0,-15.18
4,in India,2013-2019,21,40,19,10.00,0,33,4/36,31.96,0,3,0,-21.96
5,in New Zealand,2014-2019,11,25,14*,12.50,0,26,4/55,20.88,0,9,0,-8.38
6,in South Africa,2013-2013,3,8,8,4.00,0,9,3/48,20.55,0,0,0,-16.55
7,in West Indies,2013-2017,3,1,1,0.50,0,4,4/48,37.25,0,0,0,-36.74
8,in Zimbabwe,2013-2013,5,6,6*,-,0,6,2/25,30.50,0,2,0,-
10,in Africa,2013-2013,8,14,8,7.00,0,15,3/48,24.53,0,2,0,-17.53
11,in Americas,2013-2017,3,1,1,0.50,0,4,4/48,37.25,0,0,0,-36.74
12,in Asia,2013-2019,25,54,19,10.80,0,42,4/36,30.59,0,4,0,-19.79
13,in Europe,2014-2019,8,2,1,0.50,0,22,5/69,15.68,1,4,0,-15.18
14,in Oceania,2014-2019,23,62,25,12.40,0,44,4/35,22.65,0,14,0,-10.25
16,home,2013-2019,21,40,19,10.00,0,33,4/36,31.96,0,3,0,-21.96
17,away,2013-2019,31,44,14*,6.28,0,62,5/69,23.17,1,14,0,-16.89
18,neutral,2013-2019,15,49,25,7.00,0,32,4/16,20.37,0,7,0,-13.37
20,year 2013,,20,15,8,3.75,0,30,3/42,30.06,0,3,0,-26.31
21,year 2014,,16,58,19,14.50,0,38,4/36,22.94,0,8,0,-8.44
22,year 2015,,11,36,25,18.00,0,19,4/35,20.63,0,5,0,-2.63
23,year 2017,,3,7,6*,7.00,0,4,4/48,35.75,0,0,0,-28.74
24,year 2018,,2,0,0*,-,0,3,2/81,46.66,0,0,0,-
25,year 2019,,15,17,8,2.42,0,33,5/69,21.06,1,8,0,-18.63
27,season 2012/13,,5,1,1,1.00,0,4,1/23,43.50,0,0,0,-42.49
28,season 2013,,6,6,6*,6.00,0,6,2/25,41.83,0,2,0,-35.83
29,season 2013/14,,18,46,14*,11.50,0,40,4/50,25.57,0,6,0,-14.07
30,season 2014,,4,0,0,0.00,0,8,3/28,19.00,0,1,0,-18.99
31,season 2014/15,,14,56,25,18.66,0,29,4/35,19.51,0,7,0,-0.85
32,season 2017,,2,1,1,1.00,0,4,4/48,20.25,0,0,0,-19.24
33,season 2017/18,,1,6,6*,-,0,0,-,-,0,0,0,-
34,season 2018/19,,13,15,8,3.75,0,22,3/19,29.18,0,5,0,-25.43
35,season 2019,,4,2,1,0.66,0,14,5/69,13.78,1,3,0,-13.11
37,*MS Dhoni,2013-2015,37,89,25,11.12,0,72,4/35,23.40,0,13,0,-12.27
38,*V Kohli,2013-2019,29,43,14*,4.77,0,53,5/69,26.86,1,9,0,-22.09
39,*RG Sharma,2019-2019,1,1,1,1.00,0,2,2/35,17.50,0,2,0,-16.49
41,is not captain,2013-2019,67,133,25,7.38,0,127,5/69,24.75,1,24,0,-17.36
43,is not keeper,2013-2019,67,133,25,7.38,0,127,5/69,24.75,1,24,0,-17.36
45,won the toss,2013-2019,41,73,19,6.08,0,80,4/16,23.70,0,15,0,-17.61
46,lost the toss,2013-2019,26,60,25,10.00,0,47,5/69,26.55,1,9,0,-16.55
48,won toss & batted,2013-2019,15,14,4*,2.80,0,29,4/16,19.79,0,9,0,-16.99
49,won toss & fielded,2013-2019,26,59,19,8.42,0,51,4/50,25.92,0,6,0,-17.49
50,lost toss & sent in,2013-2019,11,48,25,16.00,0,15,3/52,35.33,0,4,0,-19.33
51,lost toss & fielded,2013-2019,15,12,6*,4.00,0,32,5/69,22.43,1,5,0,-18.43
53,matches batting first,2013-2019,26,62,25,7.75,0,44,4/16,25.09,0,13,0,-17.34
54,matches fielding first,2013-2019,41,71,19,7.10,0,83,5/69,24.57,1,11,0,-17.47
56,1st match innings,2013-2019,67,62,25,7.75,0,83,5/69,24.57,1,11,0,-16.82
57,2nd match innings,2013-2019,65,71,19,7.10,0,44,4/16,25.09,0,13,0,-17.99
59,day match,2013-2019,20,43,25,4.77,0,38,5/69,22.39,1,6,0,-17.61
60,day/night match,2013-2019,47,90,19,10.00,0,89,4/35,25.76,0,18,0,-15.76
62,won match,2013-2019,39,19,6*,4.75,0,81,4/16,20.24,0,18,0,-15.49
63,lost match,2013-2019,23,112,25,8.61,0,37,5/69,33.78,1,6,0,-25.16
64,tied match,2014-2018,2,2,2,2.00,0,3,2/84,47.66,0,0,0,-45.66
65,no result,2013-2015,3,-,-,-,-,6,3/42,18.50,0,0,0,-
67,won batting first,2013-2019,16,19,6*,4.75,0,34,4/16,19.26,0,13,0,-14.51
68,won fielding first,2013-2019,23,-,-,-,-,47,4/48,20.95,0,5,0,-
69,lost batting first,2013-2015,8,43,25,10.75,0,9,3/81,43.33,0,0,0,-32.58
70,lost fielding first,2013-2019,15,69,19,7.66,0,28,5/69,30.71,1,6,0,-23.04
71,tied batting first,2018-2018,1,0,0*,-,0,1,1/59,59.00,0,0,0,-
72,tied fielding first,2014-2014,1,2,2,2.00,0,2,2/84,42.00,0,0,0,-39.99
73,no result batting first,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-
74,no result fielding first,2013-2013,2,-,-,-,-,6,3/42,18.50,0,0,0,-
76,2 team series,2013-2019,47,81,19,7.36,0,85,4/36,26.60,0,15,0,-19.23
77,3-4 team tournaments,2013-2015,5,28,25,9.33,0,2,1/31,83.00,0,0,0,-73.66
78,5+ team tournaments,2014-2019,15,24,14*,6.00,0,40,5/69,17.92,1,9,0,-11.92
80,1st match in series,2013-2019,9,27,19,9.00,0,20,4/55,22.60,0,2,0,-13.59
81,2nd match in series,2013-2019,11,18,8,18.00,0,21,4/36,24.85,0,6,0,-6.85
82,3rd match in series,2013-2019,10,10,8,5.00,0,17,3/41,26.64,0,2,0,-21.64
83,4th match in series,2013-2017,8,7,6*,7.00,0,10,3/28,39.00,0,1,0,-31.99
84,5th match in series,2013-2019,7,19,14*,4.75,0,13,4/48,25.07,0,3,0,-20.32
85,6th match in series,2013-2013,1,-,-,-,-,1,1/66,66.00,0,0,0,-
86,7th match in series,2013-2013,1,-,-,-,-,3,3/52,17.33,0,1,0,-
88,World Cup,2015-2019,11,10,4*,3.33,0,31,5/69,15.70,1,8,0,-12.37
89,Asia Cup,2014-2014,4,14,14*,14.00,0,9,4/50,25.55,0,1,0,-11.55
91,tournament semi-finals,2015-2015,1,1,1*,-,0,0,-,-,0,0,0,-
92,tournament quarter-finals,2015-2015,1,-,-,-,-,2,2/37,18.50,0,2,0,-
93,preliminary matches,2013-2019,18,51,25,7.28,0,40,5/69,19.45,1,7,0,-12.16
