,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2012-2019,24,216,24*,16.61,0,16,2/23,64.81,0,5,0,-48.19
2,in Bangladesh,2010-2015,13,206,52*,51.5,0,11,4/30,40.54,0,7,0,10.95
3,in England,2011-2019,19,358,87,71.6,0,29,5/36,27.68,1,12,0,43.91
4,in India,2009-2019,56,673,61*,25.88,0,82,4/32,29.65,0,21,0,-3.77
5,in New Zealand,2014-2015,7,145,66*,48.33,0,5,2/47,71.4,0,1,0,-23.06
6,in South Africa,2013-2013,3,55,29,27.5,0,1,1/49,139,0,1,0,-111.49
7,in Sri Lanka,2009-2010,9,128,60*,25.6,0,7,2/29,40.85,0,4,0,-15.25
8,in U.A.E.,2018-2018,4,48,25,24,0,7,4/29,22.28,0,0,0,1.71
9,in West Indies,2009-2017,9,89,49*,14.83,0,8,4/23,38.75,0,4,0,-23.91
10,in Zimbabwe,2010-2013,9,194,61*,64.66,0,10,2/27,35.3,0,1,0,29.36
12,in Africa,2010-2013,12,249,61*,49.8,0,11,2/27,44.72,0,2,0,5.07
13,in Americas,2009-2017,9,89,49*,14.83,0,8,4/23,38.75,0,4,0,-23.91
14,in Asia,2009-2019,82,1055,61*,28.51,0,107,4/29,31.02,0,32,0,-2.51
15,in Europe,2011-2019,19,358,87,71.6,0,29,5/36,27.68,1,12,0,43.91
16,in Oceania,2012-2019,31,361,66*,22.56,0,21,2/23,66.38,0,6,0,-43.81
18,home,2009-2019,56,673,61*,25.88,0,82,4/32,29.65,0,21,0,-3.77
19,away,2009-2019,54,895,87,34.42,0,41,4/28,52.31,0,20,0,-17.89
20,neutral,2010-2019,43,544,77,32,0,53,5/36,32.86,1,15,0,-0.86
22,year 2009,,14,201,60*,33.5,0,10,4/32,50.6,0,5,0,-17.09
23,year 2010,,21,334,61*,30.36,0,19,2/27,38.89,0,6,0,-8.53
24,year 2011,,13,220,78,31.42,0,24,4/33,23.12,0,7,0,8.3
25,year 2012,,10,105,24*,17.5,0,4,1/32,97.5,0,3,0,-79.99
26,year 2013,,34,462,61*,35.53,0,52,5/36,25.4,1,12,0,10.13
27,year 2014,,17,369,87,61.5,0,25,4/28,32.68,0,5,0,28.82
28,year 2015,,12,113,32,16.14,0,10,2/23,49.5,0,4,0,-33.35
29,year 2016,,5,45,24*,45,0,3,2/49,85.66,0,1,0,-40.66
30,year 2017,,10,65,16*,16.25,0,8,2/43,60.12,0,8,0,-43.87
31,year 2018,,8,68,25,22.66,0,14,4/29,24.57,0,0,0,-1.9
32,year 2019,,9,130,77,26,0,7,2/45,59.14,0,5,0,-33.14
34,season 2008/09,,1,60,60*,-,0,0,-,-,0,0,0,-
35,season 2009,,2,7,7,3.5,0,0,-,-,0,1,0,-
36,season 2009/10,,19,269,57,33.62,0,17,4/32,40.7,0,6,0,-7.08
37,season 2010,,12,199,61*,28.42,0,12,2/27,35.58,0,4,0,-7.15
38,season 2010/11,,1,-,-,-,-,0,-,-,0,0,0,-
39,season 2011,,3,78,78,39,0,4,2/42,38.5,0,2,0,0.5
40,season 2011/12,,20,247,38,22.45,0,24,4/33,32.95,0,8,0,-10.5
41,season 2012/13,,7,168,61*,42,0,13,3/19,15.53,0,3,0,26.46
42,season 2013,,15,214,49*,53.5,0,25,5/36,20.6,1,4,0,32.9
43,season 2013/14,,21,299,66*,37.37,0,25,4/30,40.12,0,8,0,-2.74
44,season 2014,,4,108,87,108,0,7,4/28,24.57,0,1,0,83.42
45,season 2014/15,,14,104,33*,14.85,0,16,3/44,41.56,0,3,0,-26.7
46,season 2015,,2,51,32,25.5,0,1,1/48,76,0,2,0,-50.49
47,season 2015/16,,5,45,24*,45,0,3,2/49,85.66,0,1,0,-40.66
48,season 2016/17,,3,39,16*,19.5,0,4,2/62,39.25,0,2,0,-19.74
49,season 2017,,7,26,15,13,0,4,2/43,81,0,6,0,-67.99
50,season 2018,,4,48,25,24,0,7,4/29,22.28,0,0,0,1.71
51,season 2018/19,,11,73,24,14.6,0,12,4/34,44,0,2,0,-29.39
52,season 2019,,2,77,77,77,0,2,1/34,37,0,3,0,40
54,*MS Dhoni,2009-2018,101,1469,87,29.38,0,115,5/36,35.26,1,35,0,-5.88
55,*G Gambhir,2010-2011,2,-,-,-,-,3,3/62,34,0,0,0,-
56,*V Kohli,2013-2019,36,404,77,33.66,0,39,4/30,40.84,0,17,0,-7.17
57,*SK Raina,2010-2010,4,131,61*,65.5,0,5,2/27,36.2,0,0,0,29.3
58,*V Sehwag,2009-2012,7,85,38,21.25,0,10,4/32,27.8,0,4,0,-6.54
59,*RG Sharma,2018-2018,3,23,23,23,0,4,4/29,27.5,0,0,0,-4.49
61,is not captain,2009-2019,153,2112,87,30.6,0,176,5/36,35.9,1,56,0,-5.29
63,is not keeper,2009-2019,153,2112,87,30.6,0,176,5/36,35.9,1,56,0,-5.29
65,won the toss,2009-2019,73,1031,87,33.25,0,86,5/36,34.97,1,21,0,-1.71
66,lost the toss,2009-2019,80,1081,78,28.44,0,90,4/28,36.78,0,35,0,-8.34
68,won toss & batted,2009-2018,24,454,62*,32.42,0,27,3/34,32.07,0,7,0,0.35
69,won toss & fielded,2009-2019,49,577,87,33.94,0,59,5/36,36.3,1,14,0,-2.36
70,lost toss & sent in,2009-2019,35,598,78,33.22,0,47,4/28,30.31,0,17,0,2.9
71,lost toss & fielded,2009-2019,45,483,77,24.15,0,43,4/32,43.86,0,18,0,-19.71
73,matches batting first,2009-2019,59,1052,78,32.87,0,74,4/28,30.95,0,24,0,1.91
74,matches fielding first,2009-2019,94,1060,87,28.64,0,102,5/36,39.49,1,32,0,-10.84
76,1st match innings,2009-2019,153,1052,78,32.87,0,102,5/36,39.49,1,32,0,-6.61
77,2nd match innings,2009-2019,150,1060,87,28.64,0,74,4/28,30.95,0,24,0,-2.31
79,day match,2009-2019,50,845,87,44.47,0,55,5/36,36.41,1,20,0,8.05
