,Grouping,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,4,116,48,29.00,0,-,-,-,-,1,0,-
2,in India,5,93,36,23.25,0,-,-,-,-,5,0,-
4,in Asia,5,93,36,23.25,0,-,-,-,-,5,0,-
5,in Europe,4,116,48,29.00,0,-,-,-,-,1,0,-
7,home,5,93,36,23.25,0,-,-,-,-,5,0,-
8,away,1,32,32,32.00,0,-,-,-,-,1,0,-
9,neutral,3,84,48,28.00,0,-,-,-,-,0,0,-
11,year 2018,3,41,24,20.50,0,-,-,-,-,3,0,-
12,year 2019,6,168,48,28.00,0,-,-,-,-,3,0,-
14,season 2018/19,5,93,36,23.25,0,-,-,-,-,5,0,-
15,season 2019,4,116,48,29.00,0,-,-,-,-,1,0,-
17,*V Kohli,9,209,48,26.12,0,-,-,-,-,6,0,-
19,is not captain,9,209,48,26.12,0,-,-,-,-,6,0,-
21,is designated keeper,2,52,36,26.00,0,-,-,-,-,2,0,-
22,is not keeper,7,157,48,26.16,0,-,-,-,-,4,0,-
24,won the toss,5,125,48,31.25,0,-,-,-,-,3,0,-
25,lost the toss,4,84,32,21.00,0,-,-,-,-,3,0,-
27,won toss & batted,3,101,48,33.66,0,-,-,-,-,1,0,-
28,won toss & fielded,2,24,24,24.00,0,-,-,-,-,2,0,-
29,lost toss & fielded,4,84,32,21.00,0,-,-,-,-,3,0,-
31,matches batting first,3,101,48,33.66,0,-,-,-,-,1,0,-
32,matches fielding first,6,108,32,21.60,0,-,-,-,-,5,0,-
34,1st match innings,9,101,48,33.66,0,-,-,-,-,5,0,-
35,2nd match innings,9,108,32,21.60,0,-,-,-,-,1,0,-
37,day match,4,116,48,29.00,0,-,-,-,-,1,0,-
38,day/night match,5,93,36,23.25,0,-,-,-,-,5,0,-
40,won match,3,52,48,26.00,0,-,-,-,-,1,0,-
41,lost match,5,140,36,28.00,0,-,-,-,-,4,0,-
42,tied match,1,17,17,17.00,0,-,-,-,-,1,0,-
44,won batting first,1,48,48,48.00,0,-,-,-,-,0,0,-
45,won fielding first,2,4,4,4.00,0,-,-,-,-,1,0,-
46,lost batting first,1,36,36,36.00,0,-,-,-,-,0,0,-
47,lost fielding first,4,104,32,26.00,0,-,-,-,-,4,0,-
48,tied batting first,1,17,17,17.00,0,-,-,-,-,1,0,-
50,2 team series,5,93,36,23.25,0,-,-,-,-,5,0,-
51,5+ team tournaments,4,116,48,29.00,0,-,-,-,-,1,0,-
53,1st match in series,1,-,-,-,-,-,-,-,-,1,0,-
54,2nd match in series,1,17,17,17.00,0,-,-,-,-,1,0,-
55,3rd match in series,1,24,24,24.00,0,-,-,-,-,1,0,-
56,4th match in series,1,36,36,36.00,0,-,-,-,-,0,0,-
57,5th match in series,1,16,16,16.00,0,-,-,-,-,2,0,-
59,World Cup,4,116,48,29.00,0,-,-,-,-,1,0,-
61,tournament semi-finals,1,32,32,32.00,0,-,-,-,-,0,0,-
62,preliminary matches,3,84,48,28.00,0,-,-,-,-,1,0,-
