,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2008-2019,30,1328,171*,53.12,5,2,1/17,37.50,0,14,0,15.62
2,in Bangladesh,2008-2015,13,331,68,30.09,0,0,-,-,0,10,0,-
3,in England,2011-2019,24,1335,140,66.75,7,-,-,-,-,6,0,-
4,in India,2007-2019,59,3099,264,61.98,9,0,-,-,0,19,0,-
5,in Ireland,2007-2007,2,8,8,8.00,0,0,-,-,0,2,0,-
6,in New Zealand,2009-2019,14,437,87,36.41,0,0,-,-,0,5,0,-
7,in Pakistan,2008-2008,6,116,58,29.00,0,0,-,-,0,1,0,-
8,in South Africa,2011-2018,14,256,115,19.69,1,3,2/30,22.33,0,5,0,-2.64
9,in Sri Lanka,2008-2017,26,583,124*,25.34,2,1,1/5,122.00,0,9,0,-96.65
10,in U.A.E.,2018-2018,5,317,111*,105.66,1,-,-,-,-,2,0,-
11,in West Indies,2009-2013,14,489,86*,54.33,0,2,2/27,17.00,0,3,0,37.33
12,in Zimbabwe,2010-2013,8,359,114,59.83,2,0,-,-,0,1,0,-
14,in Africa,2010-2018,22,615,115,32.36,3,3,2/30,24.00,0,6,0,8.36
15,in Americas,2009-2013,14,489,86*,54.33,0,2,2/27,17.00,0,3,0,37.33
16,in Asia,2007-2019,109,4446,264,48.85,12,1,1/5,310.00,0,41,0,-261.14
17,in Europe,2007-2019,26,1343,140,63.95,7,0,-,-,0,8,0,-
18,in Oceania,2008-2019,44,1765,171*,47.70,5,2,1/17,48.00,0,19,0,-0.29
20,home,2007-2019,59,3099,264,61.98,9,0,-,-,0,19,0,-
21,away,2007-2019,101,3282,171*,39.07,10,7,2/27,43.00,0,42,0,-3.92
22,neutral,2007-2019,55,2277,140,52.95,8,1,1/5,116.00,0,16,0,-63.04
24,year 2007,,4,61,52,20.33,0,0,-,-,0,3,0,-
25,year 2008,,28,532,70*,25.33,0,0,-,-,0,8,0,-
26,year 2009,,9,102,43*,25.50,0,2,2/27,34.50,0,7,0,-8.99
27,year 2010,,15,504,114,38.76,2,1,1/5,66.00,0,5,0,-27.23
28,year 2011,,16,611,95,55.54,0,3,2/30,38.00,0,3,0,17.54
29,year 2012,,14,168,68,12.92,0,2,1/17,69.00,0,6,0,-56.07
30,year 2013,,28,1196,209,52.00,2,0,-,-,0,6,0,-
31,year 2014,,12,578,264,52.54,1,0,-,-,0,5,0,-
32,year 2015,,17,815,150,50.93,3,0,-,-,0,6,0,-
33,year 2016,,10,564,171*,62.66,2,0,-,-,0,5,0,-
