,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2019,18,699,137,38.83,2,-,-,-,-,12,0,-
2,in Bangladesh,2014-2015,7,350,94,50.00,0,-,-,-,-,1,0,-
3,in England,2013-2019,19,1101,125,64.76,4,-,-,-,-,3,0,-
4,in India,2010-2019,39,1516,143,40.97,5,-,-,-,-,21,0,-
5,in New Zealand,2014-2019,11,373,100,37.30,1,-,-,-,-,6,0,-
6,in South Africa,2013-2018,9,335,109,47.85,1,-,-,-,-,1,0,-
7,in Sri Lanka,2017-2017,4,190,132*,63.33,1,-,-,-,-,3,0,-
8,in U.A.E.,2018-2018,5,342,127,68.40,2,-,-,-,-,6,0,-
9,in West Indies,2011-2017,14,365,87,26.07,0,-,-,-,-,5,0,-
10,in Zimbabwe,2013-2013,4,209,116,52.25,1,-,-,-,-,3,0,-
12,in Africa,2013-2018,13,544,116,49.45,2,-,-,-,-,4,0,-
13,in Americas,2011-2017,14,365,87,26.07,0,-,-,-,-,5,0,-
14,in Asia,2010-2019,55,2398,143,46.11,8,-,-,-,-,31,0,-
15,in Europe,2013-2019,19,1101,125,64.76,4,-,-,-,-,3,0,-
16,in Oceania,2014-2019,29,1072,137,38.28,3,-,-,-,-,18,0,-
18,home,2010-2019,39,1516,143,40.97,5,-,-,-,-,21,0,-
19,away,2011-2019,60,2202,132*,40.03,4,-,-,-,-,25,0,-
20,neutral,2013-2019,31,1762,137,58.73,8,-,-,-,-,15,0,-
22,year 2010,,1,0,0,0.00,0,-,-,-,-,0,0,-
23,year 2011,,4,69,51,17.25,0,-,-,-,-,1,0,-
24,year 2013,,26,1162,119,50.52,5,-,-,-,-,11,0,-
25,year 2014,,18,815,113,47.94,1,-,-,-,-,9,0,-
26,year 2015,,20,745,137,37.25,2,-,-,-,-,10,0,-
27,year 2016,,5,287,126,57.40,1,-,-,-,-,3,0,-
28,year 2017,,22,960,132*,48.00,3,-,-,-,-,11,0,-
29,year 2018,,19,897,127,49.83,3,-,-,-,-,10,0,-
30,year 2019,,15,545,143,38.92,2,-,-,-,-,6,0,-
32,season 2010/11,,1,0,0,0.00,0,-,-,-,-,0,0,-
33,season 2011,,4,69,51,17.25,0,-,-,-,-,1,0,-
34,season 2013,,14,707,116,54.38,3,-,-,-,-,6,0,-
35,season 2013/14,,20,728,119,40.44,2,-,-,-,-,7,0,-
36,season 2014,,4,155,97*,51.66,0,-,-,-,-,0,0,-
37,season 2014/15,,18,848,137,47.11,3,-,-,-,-,15,0,-
38,season 2015,,3,158,75,52.66,0,-,-,-,-,1,0,-
39,season 2015/16,,10,413,126,41.30,1,-,-,-,-,4,0,-
40,season 2016/17,,2,12,11,6.00,0,-,-,-,-,1,0,-
41,season 2017,,14,689,132*,53.00,2,-,-,-,-,6,0,-
42,season 2017/18,,12,582,109,58.20,2,-,-,-,-,5,0,-
43,season 2018,,8,462,127,57.75,2,-,-,-,-,7,0,-
44,season 2018/19,,18,532,143,31.29,1,-,-,-,-,8,0,-
45,season 2019,,2,125,117,62.50,1,-,-,-,-,0,0,-
47,*MS Dhoni,2010-2016,56,2217,137,42.63,7,-,-,-,-,27,0,-
48,*V Kohli,2013-2019,60,2665,143,46.75,7,-,-,-,-,23,0,-
49,*SK Raina,2011-2011,4,69,51,17.25,0,-,-,-,-,1,0,-
