,Grouping,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,1,-,-,-,-,0,-,-,0,1,0,-
2,in England,3,58,29,29.00,0,2,2/22,11.00,0,2,0,18.00
3,in India,5,120,46,30.00,0,2,2/15,55.00,0,2,0,-24.99
4,in New Zealand,3,45,45,45.00,0,0,-,-,0,2,0,-
6,in Asia,5,120,46,30.00,0,2,2/15,55.00,0,2,0,-24.99
7,in Europe,3,58,29,29.00,0,2,2/22,11.00,0,2,0,18.00
8,in Oceania,4,45,45,45.00,0,0,-,-,0,3,0,-
10,home,5,120,46,30.00,0,2,2/15,55.00,0,2,0,-24.99
11,away,4,45,45,45.00,0,0,-,-,0,3,0,-
12,neutral,3,58,29,29.00,0,2,2/22,11.00,0,2,0,18.00
14,year 2019,12,223,46,31.85,0,4,2/15,52.50,0,7,0,-20.64
16,season 2018/19,9,165,46,33.00,0,2,2/15,94.00,0,5,0,-60.99
17,season 2019,3,58,29,29.00,0,2,2/22,11.00,0,2,0,18.00
19,*V Kohli,11,178,46,29.66,0,4,2/15,47.75,0,7,0,-18.08
20,*RG Sharma,1,45,45,45.00,0,0,-,-,0,0,0,-
22,is not captain,12,223,46,31.85,0,4,2/15,52.50,0,7,0,-20.64
24,is not keeper,12,223,46,31.85,0,4,2/15,52.50,0,7,0,-20.64
26,won the toss,7,146,45,29.20,0,0,-,-,0,4,0,-
27,lost the toss,5,77,46,38.50,0,4,2/15,19.50,0,3,0,19.00
29,won toss & batted,5,114,45,28.50,0,0,-,-,0,2,0,-
30,won toss & fielded,2,32,32,32.00,0,0,-,-,0,2,0,-
31,lost toss & sent in,2,61,46,61.00,0,4,2/15,9.25,0,1,0,51.75
32,lost toss & fielded,3,16,16,16.00,0,0,-,-,0,2,0,-
34,matches batting first,7,175,46,35.00,0,4,2/15,25.50,0,3,0,9.50
35,matches fielding first,5,48,32,24.00,0,0,-,-,0,4,0,-
37,1st match innings,12,175,46,35.00,0,0,-,-,0,4,0,-
38,2nd match innings,12,48,32,24.00,0,4,2/15,25.50,0,3,0,-1.49
40,day match,3,58,29,29.00,0,2,2/22,11.00,0,2,0,18.00
41,day/night match,9,165,46,33.00,0,2,2/15,94.00,0,5,0,-60.99
43,won match,9,149,46,37.25,0,4,2/15,34.25,0,6,0,3.00
44,lost match,3,74,32,24.66,0,0,-,-,0,1,0,-
46,won batting first,6,149,46,37.25,0,4,2/15,18.25,0,3,0,19.00
47,won fielding first,3,-,-,-,-,0,-,-,0,3,0,-
48,lost batting first,1,26,26,26.00,0,0,-,-,0,0,0,-
49,lost fielding first,2,48,32,24.00,0,0,-,-,0,1,0,-
51,2 team series,9,165,46,33.00,0,2,2/15,94.00,0,5,0,-60.99
52,5+ team tournaments,3,58,29,29.00,0,2,2/22,11.00,0,2,0,18.00
54,1st match in series,2,-,-,-,-,0,-,-,0,2,0,-
55,2nd match in series,2,46,46,46.00,0,2,2/15,16.00,0,1,0,30.00
56,3rd match in series,2,32,32,32.00,0,0,-,-,0,2,0,-
57,4th match in series,1,26,26,26.00,0,0,-,-,0,0,0,-
58,5th match in series,2,61,45,30.50,0,0,-,-,0,0,0,-
60,World Cup,3,58,29,29.00,0,2,2/22,11.00,0,2,0,18.00
