,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2012-2019,26,1154,133*,50.17,5,0,-,-,0,18,0,-
2,in Bangladesh,2010-2015,16,970,183,80.83,5,0,-,-,0,11,0,-
3,in England,2011-2019,31,1316,107,54.83,1,1,1/44,120.00,0,14,0,-65.16
4,in India,2009-2019,89,4593,157*,62.06,19,1,1/20,227.00,0,39,0,-164.93
5,in New Zealand,2014-2019,10,521,123,57.88,1,1,1/36,61.00,0,1,0,-3.11
6,in South Africa,2009-2018,17,877,160*,87.70,3,1,1/15,75.00,0,12,0,12.70
7,in Sri Lanka,2008-2017,23,899,131,47.31,4,0,-,-,0,10,0,-
8,in West Indies,2011-2017,15,591,111*,45.46,2,0,-,-,0,7,0,-
9,in Zimbabwe,2010-2013,9,365,115,60.83,1,0,-,-,0,5,0,-
11,in Africa,2009-2018,26,1242,160*,77.62,4,1,1/15,82.00,0,17,0,-4.37
12,in Americas,2011-2017,15,591,111*,45.46,2,0,-,-,0,7,0,-
13,in Asia,2008-2019,128,6462,183,61.54,28,1,1/20,295.00,0,60,0,-233.45
14,in Europe,2011-2019,31,1316,107,54.83,1,1,1/44,120.00,0,14,0,-65.16
15,in Oceania,2012-2019,36,1675,133*,52.34,6,1,1/36,106.00,0,19,0,-53.65
17,home,2009-2019,89,4593,157*,62.06,19,1,1/20,227.00,0,39,0,-164.93
18,away,2008-2019,98,4575,160*,57.18,18,3,1/15,103.66,0,50,0,-46.47
19,neutral,2009-2019,49,2118,183,58.83,4,0,-,-,0,28,0,-
21,year 2008,,5,159,54,31.80,0,-,-,-,-,3,0,-
22,year 2009,,10,325,107,54.16,1,0,-,-,0,4,0,-
23,year 2010,,25,995,118,47.38,3,0,-,-,0,9,0,-
24,year 2011,,34,1381,117,47.62,4,2,1/20,94.00,0,19,0,-46.37
25,year 2012,,17,1026,183,68.40,5,0,-,-,0,14,0,-
26,year 2013,,34,1268,115*,52.83,4,1,1/15,178.00,0,11,0,-125.16
27,year 2014,,21,1054,139*,58.55,4,1,1/36,107.00,0,8,0,-48.44
28,year 2015,,20,623,138,36.64,2,0,-,-,0,11,0,-
29,year 2016,,10,739,154*,92.37,3,0,-,-,0,6,0,-
30,year 2017,,26,1460,131,76.84,6,0,-,-,0,9,0,-
31,year 2018,,14,1202,160*,133.55,6,-,-,-,-,9,0,-
32,year 2019,,20,1054,123,55.47,3,-,-,-,-,14,0,-
34,season 2008,,5,159,54,31.80,0,-,-,-,-,3,0,-
35,season 2009,,1,2,2*,-,0,-,-,-,-,0,0,-
36,season 2009/10,,17,686,107,62.36,2,0,-,-,0,9,0,-
37,season 2010,,11,280,82,25.45,0,0,-,-,0,3,0,-
38,season 2010/11,,20,827,118,48.64,3,0,-,-,0,8,0,-
39,season 2011,,10,393,107,39.30,1,1,1/44,102.00,0,7,0,-62.69
40,season 2011/12,,21,1243,183,73.11,5,1,1/20,92.00,0,15,0,-18.88
41,season 2012,,5,296,128*,74.00,2,0,-,-,0,4,0,-
42,season 2012/13,,8,168,77*,24.00,0,0,-,-,0,1,0,-
43,season 2013,,15,521,115,52.10,2,0,-,-,0,5,0,-
44,season 2013/14,,21,1059,136,66.18,4,2,1/15,83.00,0,7,0,-16.81
45,season 2014,,4,54,40,18.00,0,-,-,-,-,1,0,-
46,season 2014/15,,20,849,139*,53.06,3,0,-,-,0,11,0,-
47,season 2015,,3,49,25,16.33,0,0,-,-,0,1,0,-
48,season 2015/16,,10,626,138,62.60,3,0,-,-,0,8,0,-
49,season 2016/17,,8,543,154*,90.50,2,-,-,-,-,3,0,-
50,season 2017,,15,832,131,104.00,3,0,-,-,0,6,0,-
51,season 2017/18,,14,1001,160*,91.00,5,-,-,-,-,8,0,-
52,season 2018,,3,191,75,63.66,0,-,-,-,-,1,0,-
53,season 2018/19,,16,1064,157*,76.00,6,-,-,-,-,10,0,-
54,season 2019,,9,443,82,55.37,0,-,-,-,-,6,0,-
56,*MS Dhoni,2008-2016,138,5703,183,50.91,19,4,1/15,136.75,0,67,0,-85.83
57,*G Gambhir,2010-2011,6,314,105,62.80,1,0,-,-,0,1,0,-
58,*V Kohli,2013-2019,77,4566,160*,77.38,19,0,-,-,0,41,0,-
59,*SK Raina,2010-2011,9,367,94,40.77,0,0,-,-,0,6,0,-
60,*V Sehwag,2009-2012,6,336,117,67.20,2,0,-,-,0,2,0,-
62,is captain,2013-2019,77,4566,160*,77.38,19,0,-,-,0,41,0,-
63,is not captain,2008-2016,159,6720,183,51.29,22,4,1/15,152.00,0,76,0,-100.70
65,is not keeper,2008-2019,236,11286,183,59.40,41,4,1/15,166.25,0,117,0,-106.84
67,won the toss,2008-2019,115,5614,157*,63.07,20,2,1/15,144.00,0,48,0,-80.92
68,lost the toss,2008-2019,121,5672,183,56.15,21,2,1/20,188.50,0,69,0,-132.34
70,won toss & batted,2008-2019,49,2172,157*,48.26,6,0,-,-,0,20,0,-
71,won toss & fielded,2008-2019,66,3442,154*,78.22,14,2,1/15,97.50,0,28,0,-19.27
72,lost toss & sent in,2009-2019,50,2378,160*,52.84,10,1,1/44,167.00,0,19,0,-114.15
73,lost toss & fielded,2008-2019,71,3294,183,58.82,11,1,1/20,210.00,0,50,0,-151.17
75,matches batting first,2008-2019,99,4550,160*,50.55,16,1,1/44,260.00,0,39,0,-209.44
76,matches fielding first,2008-2019,137,6736,183,67.36,25,3,1/15,135.00,0,78,0,-67.63
78,1st match innings,2008-2019,236,4550,160*,50.55,16,3,1/15,135.00,0,78,0,-84.44
79,2nd match innings,2008-2019,231,6736,183,67.36,25,1,1/44,260.00,0,39,0,-192.63
81,day match,2008-2019,68,2600,115,49.05,4,0,-,-,0,30,0,-
82,day/night match,2008-2019,168,8686,183,63.40,37,4,1/15,122.50,0,87,0,-59.09
84,won match,2008-2019,144,8103,183,76.44,33,1,1/20,269.00,0,79,0,-192.55
85,lost match,2008-2019,80,2891,123,36.59,7,3,1/15,124.66,0,34,0,-88.07
86,tied match,2011-2018,5,202,157*,50.50,1,-,-,-,-,4,0,-
87,no result,2009-2017,7,90,55,90.00,0,0,-,-,0,0,0,-
89,won batting first,2008-2019,58,3003,160*,57.75,12,0,-,-,0,25,0,-
90,won fielding first,2008-2019,86,5100,183,94.44,21,1,1/20,176.00,0,54,0,-81.55
91,lost batting first,2008-2019,35,1276,121,36.45,3,1,1/44,167.00,0,11,0,-130.54
92,lost fielding first,2008-2019,45,1615,123,36.70,4,2,1/15,103.50,0,23,0,-66.79
93,tied batting first,2011-2018,3,181,157*,90.50,1,-,-,-,-,3,0,-
94,tied fielding first,2012-2014,2,21,15,10.50,0,-,-,-,-,1,0,-
95,no result batting first,2011-2017,3,90,55,90.00,0,-,-,-,-,0,0,-
96,no result fielding first,2009-2013,4,-,-,-,-,0,-,-,0,0,0,-
98,2 team series,2008-2019,156,8079,160*,63.61,33,4,1/15,123.25,0,78,0,-59.63
99,3-4 team tournaments,2009-2015,37,1459,183,45.59,5,0,-,-,0,19,0,-
100,5+ team tournaments,2009-2019,43,1748,136,56.38,3,0,-,-,0,20,0,-
102,1st match in series,2008-2019,35,1881,140,58.78,8,1,1/15,129.00,0,17,0,-70.21
103,2nd match in series,2008-2019,36,1894,157*,61.09,7,0,-,-,0,21,0,-
104,3rd match in series,2008-2019,33,1761,160*,65.22,6,1,1/20,85.00,0,11,0,-19.77
105,4th match in series,2008-2019,26,1297,138,68.26,6,0,-,-,0,13,0,-
106,5th match in series,2008-2019,23,1002,139*,58.94,4,2,1/36,60.50,0,11,0,-1.55
107,6th match in series,2013-2018,2,244,129*,-,2,0,-,-,0,4,0,-
108,7th match in series,2013-2013,1,0,0,0.00,0,-,-,-,-,1,0,-
110,World Cup,2011-2019,26,1030,107,46.81,2,0,-,-,0,14,0,-
111,Asia Cup,2010-2014,11,613,183,61.30,3,0,-,-,0,7,0,-
