,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2019-2019,1,-,-,-,-,6,6/42,7.00,1,1,0,-
2,in England,2018-2019,11,17,12,8.50,0,14,4/51,41.21,0,4,0,-32.71
3,in India,2017-2019,14,4,3,1.33,0,22,3/30,29.63,0,2,0,-28.30
4,in New Zealand,2019-2019,5,18,18*,-,0,9,3/41,24.33,0,3,0,-
5,in South Africa,2018-2018,6,-,-,-,-,16,5/22,16.37,1,1,0,-
6,in Sri Lanka,2017-2017,4,-,-,-,-,5,2/43,37.60,0,0,0,-
7,in U.A.E.,2018-2018,5,-,-,-,-,6,3/46,32.83,0,2,0,-
8,in Zimbabwe,2016-2016,3,-,-,-,-,6,3/25,12.83,0,1,0,-
10,in Africa,2016-2018,9,-,-,-,-,22,5/22,15.40,1,2,0,-
11,in Asia,2017-2019,23,4,3,1.33,0,33,3/30,31.42,0,4,0,-30.09
12,in Europe,2018-2019,11,17,12,8.50,0,14,4/51,41.21,0,4,0,-32.71
13,in Oceania,2019-2019,6,18,18*,-,0,15,6/42,17.40,1,4,0,-
15,home,2017-2019,14,4,3,1.33,0,22,3/30,29.63,0,2,0,-28.30
16,away,2016-2019,23,30,18*,30.00,0,44,6/42,22.97,2,6,0,7.02
17,neutral,2018-2019,12,5,5,5.00,0,18,4/51,30.61,0,6,0,-25.61
19,year 2016,,3,-,-,-,-,6,3/25,12.83,0,1,0,-
20,year 2017,,14,1,1,1.00,0,21,3/30,28.57,0,2,0,-27.57
21,year 2018,,17,15,12,7.50,0,29,5/22,26.00,1,3,0,-18.49
22,year 2019,,15,23,18*,11.50,0,28,6/42,27.96,1,8,0,-16.46
24,season 2016,,3,-,-,-,-,6,3/25,12.83,0,1,0,-
25,season 2017,,4,-,-,-,-,5,2/43,37.60,0,0,0,-
26,season 2017/18,,16,1,1,1.00,0,32,5/22,21.06,1,3,0,-20.06
27,season 2018,,8,12,12,12.00,0,8,3/46,41.50,0,2,0,-29.49
28,season 2018/19,,10,21,18*,10.50,0,21,6/42,23.85,1,4,0,-13.35
29,season 2019,,8,5,5,5.00,0,12,4/51,36.83,0,4,0,-31.83
31,*MS Dhoni,2016-2016,3,-,-,-,-,6,3/25,12.83,0,1,0,-
32,*V Kohli,2017-2019,36,21,12,4.20,0,63,6/42,27.95,2,10,0,-23.75
33,*RG Sharma,2017-2019,10,18,18*,-,0,15,3/41,25.06,0,3,0,-
35,is not captain,2016-2019,49,39,18*,7.80,0,84,6/42,26.35,2,14,0,-18.55
37,is not keeper,2016-2019,49,39,18*,7.80,0,84,6/42,26.35,2,14,0,-18.55
39,won the toss,2016-2019,25,4,3,1.33,0,50,6/42,22.56,2,7,0,-21.22
40,lost the toss,2016-2019,24,35,18*,17.50,0,34,4/46,31.94,0,7,0,-14.44
42,won toss & batted,2017-2019,12,1,1,0.50,0,20,3/30,30.30,0,4,0,-29.79
43,won toss & fielded,2016-2019,13,3,3,3.00,0,30,6/42,17.40,2,3,0,-14.39
44,lost toss & sent in,2017-2019,9,18,18*,-,0,14,4/46,26.28,0,2,0,-
45,lost toss & fielded,2016-2019,15,17,12,8.50,0,20,4/51,35.90,0,5,0,-27.39
47,matches batting first,2017-2019,21,19,18*,9.50,0,34,4/46,28.64,0,6,0,-19.14
48,matches fielding first,2016-2019,28,20,12,6.66,0,50,6/42,24.80,2,8,0,-18.13
