,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2016-2016,3,80,49,26.66,0,0,-,-,0,2,0,-
2,in Bangladesh,2013-2013,1,85,85,85.00,0,-,-,-,-,0,0,-
3,in England,2013-2019,7,125,58*,20.83,0,0,-,-,0,2,0,-
4,in India,2017-2017,3,113,75,37.66,0,0,-,-,0,3,0,-
5,in Ireland,2017-2017,4,61,44,20.33,0,0,-,-,0,2,0,-
6,in New Zealand,2016-2019,26,606,87,24.24,0,7,2/10,43.57,0,12,0,-19.33
7,in South Africa,2013-2015,5,134,57,33.50,0,0,-,-,0,1,0,-
8,in Sri Lanka,2013-2013,3,16,15,8.00,0,-,-,-,-,0,0,-
9,in U.A.E.,2018-2018,3,42,29,14.00,0,0,-,-,0,0,0,-
10,in Zimbabwe,2015-2015,2,9,9,9.00,0,-,-,-,-,0,0,-
12,in Africa,2013-2015,7,143,57,28.60,0,0,-,-,0,1,0,-
13,in Asia,2013-2018,10,256,85,28.44,0,0,-,-,0,3,0,-
14,in Europe,2013-2019,11,186,58*,20.66,0,0,-,-,0,4,0,-
15,in Oceania,2016-2019,29,686,87,24.50,0,7,2/10,46.28,0,14,0,-21.78
17,home,2016-2019,26,606,87,24.24,0,7,2/10,43.57,0,12,0,-19.33
18,away,2013-2017,20,481,85,28.29,0,0,-,-,0,7,0,-
19,neutral,2017-2019,11,184,58*,20.44,0,0,-,-,0,3,0,-
21,year 2013,,7,167,85,27.83,0,0,-,-,0,0,0,-
22,year 2015,,5,77,35,25.66,0,0,-,-,0,1,0,-
23,year 2016,,6,170,87,34.00,0,0,-,-,0,2,0,-
24,year 2017,,12,279,75,25.36,0,1,1/20,118.00,0,8,0,-92.63
25,year 2018,,13,254,58,19.53,0,6,2/10,34.83,0,5,0,-15.29
26,year 2019,,14,324,87,24.92,0,0,-,-,0,6,0,-
28,season 2012/13,,2,66,57,33.00,0,-,-,-,-,0,0,-
29,season 2013,,1,0,0,0.00,0,0,-,-,0,0,0,-
30,season 2013/14,,4,101,85,33.66,0,-,-,-,-,0,0,-
31,season 2015,,5,77,35,25.66,0,0,-,-,0,1,0,-
32,season 2016/17,,8,175,87,25.00,0,1,1/20,51.00,0,3,0,-25.99
33,season 2017,,4,61,44,20.33,0,0,-,-,0,2,0,-
34,season 2017/18,,16,425,75,26.56,0,6,2/10,43.66,0,10,0,-17.10
35,season 2018/19,,11,241,87,21.90,0,0,-,-,0,4,0,-
36,season 2019,,6,125,58*,25.00,0,0,-,-,0,2,0,-
38,*TWM Latham,2017-2019,8,120,44,17.14,0,0,-,-,0,6,0,-
39,*BB McCullum,2013-2013,3,66,57,22.00,0,0,-,-,0,0,0,-
40,*KD Mills,2013-2013,4,101,85,33.66,0,-,-,-,-,0,0,-
41,*TG Southee,2018-2018,1,1,1,1.00,0,1,1/23,23.00,0,1,0,-21.99
42,*KS Williamson,2015-2019,41,983,87,26.56,0,6,2/10,67.16,0,15,0,-40.59
44,is not captain,2013-2019,57,1271,87,24.92,0,7,2/10,68.71,0,22,0,-43.79
46,is not keeper,2013-2019,57,1271,87,24.92,0,7,2/10,68.71,0,22,0,-43.79
48,won the toss,2013-2019,29,742,87,28.53,0,5,2/10,45.80,0,11,0,-17.26
49,lost the toss,2013-2019,28,529,85,21.16,0,2,1/20,126.00,0,11,0,-104.83
51,won toss & batted,2013-2019,14,389,87,27.78,0,2,2/10,19.00,0,4,0,8.78
52,won toss & fielded,2013-2019,15,353,75,29.41,0,3,2/53,63.66,0,7,0,-34.24
53,lost toss & sent in,2013-2019,15,271,85,18.06,0,2,1/20,35.50,0,6,0,-17.43
54,lost toss & fielded,2013-2019,13,258,56,25.80,0,0,-,-,0,5,0,-
56,matches batting first,2013-2019,29,660,87,22.75,0,4,2/10,27.25,0,10,0,-4.49
57,matches fielding first,2013-2019,28,611,75,27.77,0,3,2/53,124.00,0,12,0,-96.22
59,1st match innings,2013-2019,57,660,87,22.75,0,3,2/53,124.00,0,12,0,-101.24
60,2nd match innings,2013-2019,57,611,75,27.77,0,4,2/10,27.25,0,10,0,0.52
62,day match,2013-2019,28,559,87,24.30,0,5,2/10,31.20,0,12,0,-6.89
63,day/night match,2013-2019,29,712,87,25.42,0,2,1/23,162.50,0,10,0,-137.07
65,won match,2013-2019,34,749,87,25.82,0,6,2/10,40.50,0,15,0,-14.67
66,lost match,2013-2019,21,522,85,24.85,0,1,1/23,223.00,0,7,0,-198.14
67,no result,2013-2018,2,0,0,0.00,0,0,-,-,0,0,0,-
69,won batting first,2013-2019,19,466,87,24.52,0,3,2/10,21.66,0,8,0,2.85
70,won fielding first,2013-2019,15,283,58*,28.30,0,3,2/53,59.33,0,7,0,-31.03
71,lost batting first,2013-2019,10,194,85,19.40,0,1,1/23,44.00,0,2,0,-24.59
72,lost fielding first,2013-2019,11,328,75,29.81,0,0,-,-,0,5,0,-
73,no result fielding first,2013-2018,2,0,0,0.00,0,0,-,-,0,0,0,-
75,2 team series,2013-2019,47,1085,87,25.23,0,7,2/10,63.14,0,18,0,-37.91
76,3-4 team tournaments,2017-2017,4,61,44,20.33,0,0,-,-,0,2,0,-
77,5+ team tournaments,2019-2019,6,125,58*,25.00,0,0,-,-,0,2,0,-
79,1st match in series,2013-2019,12,362,87,32.90,0,2,1/20,61.50,0,4,0,-28.59
80,2nd match in series,2013-2019,13,210,87,19.09,0,1,1/23,78.00,0,6,0,-58.90
81,3rd match in series,2013-2019,17,399,85,24.93,0,2,2/10,60.50,0,5,0,-35.56
82,4th match in series,2018-2018,2,56,56,28.00,0,2,2/53,36.50,0,1,0,-8.49
83,5th match in series,2018-2019,3,58,34,19.33,0,0,-,-,0,2,0,-
85,World Cup,2019-2019,6,125,58*,25.00,0,0,-,-,0,2,0,-
86,Chappell-Hadlee,2016-2017,5,85,49,17.00,0,1,1/20,39.00,0,3,0,-21.99
