,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2016-2016,3,29,12,9.66,0,3,2/50,50.33,0,1,0,-40.66
2,in England,2019-2019,10,190,64,23.75,0,6,1/14,35.33,0,3,0,-11.58
3,in India,2017-2017,3,49,41,49.00,0,1,1/40,124.00,0,0,0,-74.99
4,in New Zealand,2012-2019,19,362,74*,40.22,0,11,3/26,42.72,0,5,0,-2.50
5,in U.A.E.,2018-2018,3,3,3,1.50,0,3,2/40,29.66,0,2,0,-28.16
7,in Asia,2017-2018,6,52,41,17.33,0,4,2/40,53.25,0,2,0,-35.91
8,in Europe,2019-2019,10,190,64,23.75,0,6,1/14,35.33,0,3,0,-11.58
9,in Oceania,2012-2019,22,391,74*,32.58,0,14,3/26,44.35,0,6,0,-11.77
11,home,2012-2019,19,362,74*,40.22,0,11,3/26,42.72,0,5,0,-2.50
12,away,2016-2019,8,97,41,16.16,0,5,2/50,62.20,0,1,0,-46.03
13,neutral,2018-2019,11,174,64,21.75,0,8,2/40,33.12,0,5,0,-11.37
15,year 2012,,1,36,36,36.00,0,0,-,-,0,1,0,-
16,year 2016,,3,29,12,9.66,0,3,2/50,50.33,0,1,0,-40.66
17,year 2017,,8,149,41,74.50,0,5,2/40,45.40,0,0,0,29.10
18,year 2018,,10,178,74*,25.42,0,5,2/40,52.80,0,4,0,-27.37
19,year 2019,,16,241,64,24.10,0,11,3/26,35.90,0,5,0,-11.80
21,season 2011/12,,1,36,36,36.00,0,0,-,-,0,1,0,-
22,season 2016/17,,8,129,34*,32.25,0,7,2/40,36.28,0,1,0,-4.03
23,season 2017/18,,10,224,74*,37.33,0,3,1/24,99.66,0,2,0,-62.33
24,season 2018/19,,9,54,37*,13.50,0,8,3/26,34.00,0,4,0,-20.49
25,season 2019,,10,190,64,23.75,0,6,1/14,35.33,0,3,0,-11.58
27,*TWM Latham,2018-2019,2,37,37*,-,0,2,1/18,26.00,0,0,0,-
28,*BB McCullum,2012-2012,1,36,36,36.00,0,0,-,-,0,1,0,-
29,*TG Southee,2018-2018,1,38,38,38.00,0,0,-,-,0,1,0,-
30,*KS Williamson,2016-2019,34,522,74*,24.85,0,22,3/26,44.27,0,9,0,-19.41
32,is not captain,2012-2019,38,633,74*,27.52,0,24,3/26,43.58,0,11,0,-16.06
34,is not keeper,2012-2019,38,633,74*,27.52,0,24,3/26,43.58,0,11,0,-16.06
36,won the toss,2016-2019,18,292,64,24.33,0,15,3/26,36.13,0,6,0,-11.79
37,lost the toss,2012-2019,20,341,74*,31.00,0,9,2/40,56.00,0,5,0,-24.99
39,won toss & batted,2017-2019,7,169,64,28.16,0,5,2/40,38.60,0,3,0,-10.43
40,won toss & fielded,2016-2019,11,123,60,20.50,0,10,3/26,34.90,0,3,0,-14.39
41,lost toss & sent in,2012-2019,8,199,38,39.80,0,4,1/10,36.50,0,3,0,3.30
42,lost toss & fielded,2016-2019,12,142,74*,23.66,0,5,2/40,71.60,0,2,0,-47.93
44,matches batting first,2012-2019,15,368,64,33.45,0,9,2/40,37.66,0,6,0,-4.21
45,matches fielding first,2016-2019,23,265,74*,22.08,0,15,3/26,47.13,0,5,0,-25.04
47,1st match innings,2012-2019,38,368,64,33.45,0,15,3/26,47.13,0,5,0,-13.67
48,2nd match innings,2012-2019,38,265,74*,22.08,0,9,2/40,37.66,0,6,0,-15.58
50,day match,2017-2019,12,254,64,36.28,0,7,1/10,37.85,0,3,0,-1.57
51,day/night match,2012-2019,26,379,74*,23.68,0,17,3/26,45.94,0,8,0,-22.25
53,won match,2017-2019,18,272,74*,38.85,0,14,3/26,29.78,0,6,0,9.07
54,lost match,2012-2019,18,345,64,23.00,0,8,2/40,71.25,0,5,0,-48.24
55,tied match,2019-2019,1,16,16,16.00,0,1,1/25,25.00,0,0,0,-8.99
56,no result,2018-2018,1,-,-,-,-,1,1/34,34.00,0,0,0,-
58,won batting first,2017-2019,6,98,37*,32.66,0,6,2/40,25.16,0,3,0,7.50
59,won fielding first,2017-2019,12,174,74*,43.50,0,8,3/26,33.25,0,3,0,10.25
60,lost batting first,2012-2019,8,254,64,36.28,0,2,1/16,81.50,0,3,0,-45.21
61,lost fielding first,2016-2019,10,91,34*,11.37,0,6,2/40,67.83,0,2,0,-56.45
62,tied batting first,2019-2019,1,16,16,16.00,0,1,1/25,25.00,0,0,0,-8.99
63,no result fielding first,2018-2018,1,-,-,-,-,1,1/34,34.00,0,0,0,-
65,2 team series,2012-2019,28,443,74*,29.53,0,18,3/26,46.33,0,8,0,-16.79
66,5+ team tournaments,2019-2019,10,190,64,23.75,0,6,1/14,35.33,0,3,0,-11.58
68,1st match in series,2016-2019,6,42,34*,14.00,0,2,2/40,80.00,0,2,0,-65.99
69,2nd match in series,2016-2019,7,97,41,19.40,0,4,1/10,59.25,0,2,0,-39.84
70,3rd match in series,2012-2019,7,129,37*,43.00,0,7,2/40,33.14,0,2,0,9.85
71,4th match in series,2017-2019,4,97,74*,97.00,0,3,3/26,25.00,0,1,0,72.00
72,5th match in series,2017-2019,4,78,32,26.00,0,2,1/16,65.00,0,1,0,-38.99
74,World Cup,2019-2019,10,190,64,23.75,0,6,1/14,35.33,0,3,0,-11.58
75,Chappell-Hadlee,2016-2016,3,29,12,9.66,0,3,2/50,50.33,0,1,0,-40.66
77,tournament finals,2019-2019,1,16,16,16.00,0,1,1/25,25.00,0,0,0,-8.99
78,tournament semi-finals,2019-2019,1,16,16,16.00,0,0,-,-,0,1,0,-
79,preliminary matches,2019-2019,8,158,64,26.33,0,5,1/14,34.80,0,2,0,-8.46
