,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2016-2016,1,3,3,3.00,0,-,-,-,-,2,0,-
2,in England,2019-2019,4,91,55,22.75,0,-,-,-,-,0,0,-
3,in India,2017-2017,3,83,42,41.50,0,-,-,-,-,1,0,-
4,in New Zealand,2015-2019,34,895,124*,37.29,1,-,-,-,-,11,0,-
5,in U.A.E.,2018-2018,3,48,33,24.00,0,-,-,-,-,2,0,-
7,in Asia,2017-2018,6,131,42,32.75,0,-,-,-,-,3,0,-
8,in Europe,2019-2019,4,91,55,22.75,0,-,-,-,-,0,0,-
9,in Oceania,2015-2019,35,898,124*,35.92,1,-,-,-,-,13,0,-
11,home,2015-2019,34,895,124*,37.29,1,-,-,-,-,11,0,-
12,away,2016-2019,6,141,55,28.20,0,-,-,-,-,3,0,-
13,neutral,2018-2019,5,84,33,21.00,0,-,-,-,-,2,0,-
15,year 2015,,3,43,23*,43.00,0,-,-,-,-,2,0,-
16,year 2016,,8,179,82,25.57,0,-,-,-,-,6,0,-
17,year 2017,,6,201,83*,67.00,0,-,-,-,-,1,0,-
18,year 2018,,13,220,55,24.44,0,-,-,-,-,5,0,-
19,year 2019,,15,477,124*,36.69,1,-,-,-,-,2,0,-
21,season 2015/16,,10,219,82,31.28,0,-,-,-,-,6,0,-
22,season 2016/17,,1,3,3,3.00,0,-,-,-,-,2,0,-
23,season 2017/18,,16,373,83*,37.30,0,-,-,-,-,4,0,-
24,season 2018/19,,14,434,124*,39.45,1,-,-,-,-,4,0,-
25,season 2019,,4,91,55,22.75,0,-,-,-,-,0,0,-
27,*TWM Latham,2017-2019,4,180,83*,180.00,0,-,-,-,-,1,0,-
28,*BB McCullum,2015-2016,6,111,61,27.75,0,-,-,-,-,3,0,-
29,*TG Southee,2018-2018,1,1,1,1.00,0,-,-,-,-,0,0,-
30,*KS Williamson,2015-2019,34,828,124*,30.66,1,-,-,-,-,12,0,-
32,is not captain,2015-2019,45,1120,124*,33.93,1,-,-,-,-,16,0,-
34,is not keeper,2015-2019,45,1120,124*,33.93,1,-,-,-,-,16,0,-
36,won the toss,2015-2019,21,377,55,20.94,0,-,-,-,-,5,0,-
37,lost the toss,2015-2019,24,743,124*,49.53,1,-,-,-,-,11,0,-
39,won toss & batted,2015-2019,14,266,55,20.46,0,-,-,-,-,3,0,-
40,won toss & fielded,2017-2019,7,111,37,22.20,0,-,-,-,-,2,0,-
41,lost toss & sent in,2016-2019,11,544,124*,68.00,1,-,-,-,-,4,0,-
42,lost toss & fielded,2015-2019,13,199,53,28.42,0,-,-,-,-,7,0,-
44,matches batting first,2015-2019,25,810,124*,38.57,1,-,-,-,-,7,0,-
45,matches fielding first,2015-2019,20,310,53,25.83,0,-,-,-,-,9,0,-
47,1st match innings,2015-2019,45,810,124*,38.57,1,-,-,-,-,9,0,-
48,2nd match innings,2015-2019,44,310,53,25.83,0,-,-,-,-,7,0,-
50,day match,2015-2019,22,658,124*,47.00,1,-,-,-,-,8,0,-
51,day/night match,2016-2019,23,462,61,24.31,0,-,-,-,-,8,0,-
53,won match,2015-2019,27,789,124*,46.41,1,-,-,-,-,11,0,-
54,lost match,2015-2019,15,257,55,17.13,0,-,-,-,-,4,0,-
55,tied match,2019-2019,1,55,55,55.00,0,-,-,-,-,0,0,-
56,no result,2016-2018,2,19,15*,-,0,-,-,-,-,1,0,-
58,won batting first,2016-2019,15,578,124*,48.16,1,-,-,-,-,5,0,-
59,won fielding first,2015-2019,12,211,53,42.20,0,-,-,-,-,6,0,-
60,lost batting first,2015-2019,8,173,55,21.62,0,-,-,-,-,2,0,-
61,lost fielding first,2016-2019,7,84,37,12.00,0,-,-,-,-,2,0,-
62,tied batting first,2019-2019,1,55,55,55.00,0,-,-,-,-,0,0,-
63,no result batting first,2016-2016,1,4,4*,-,0,-,-,-,-,-,-,-
64,no result fielding first,2018-2018,1,15,15*,-,0,-,-,-,-,1,0,-
66,2 team series,2015-2019,41,1029,124*,35.48,1,-,-,-,-,16,0,-
67,5+ team tournaments,2019-2019,4,91,55,22.75,0,-,-,-,-,0,0,-
69,1st match in series,2015-2019,11,317,82,35.22,0,-,-,-,-,4,0,-
70,2nd match in series,2015-2019,10,237,83*,33.85,0,-,-,-,-,3,0,-
71,3rd match in series,2015-2019,12,310,124*,34.44,1,-,-,-,-,4,0,-
72,4th match in series,2016-2019,4,99,52*,-,0,-,-,-,-,2,0,-
73,5th match in series,2016-2019,4,66,55,16.50,0,-,-,-,-,3,0,-
75,World Cup,2019-2019,4,91,55,22.75,0,-,-,-,-,0,0,-
76,Chappell-Hadlee,2016-2016,4,86,61,21.50,0,-,-,-,-,3,0,-
78,tournament finals,2019-2019,1,55,55,55.00,0,-,-,-,-,0,0,-
79,tournament semi-finals,2019-2019,1,28,28,28.00,0,-,-,-,-,0,0,-
80,preliminary matches,2019-2019,2,8,8,4.00,0,-,-,-,-,0,0,-
