,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2019-2019,1,5,5,5.00,0,0,-,-,0,0,0,-
2,in India,2016-2016,3,1,1,0.50,0,4,2/66,38.00,0,0,0,-37.49
3,in Ireland,2017-2017,3,-,-,-,-,4,2/40,26.25,0,0,0,-
4,in New Zealand,2015-2019,15,19,12,4.75,0,23,4/58,30.13,0,4,0,-25.38
5,in South Africa,2015-2015,3,5,5,2.50,0,1,1/59,169.00,0,1,0,-166.49
6,in U.A.E.,2018-2018,3,37,24,18.50,0,2,1/21,63.00,0,2,0,-44.49
7,in Zimbabwe,2015-2015,3,-,-,-,-,5,3/38,30.00,0,0,0,-
9,in Africa,2015-2015,6,5,5,2.50,0,6,3/38,53.16,0,1,0,-50.66
10,in Asia,2016-2018,6,38,24,9.50,0,6,2/66,46.33,0,2,0,-36.83
11,in Europe,2017-2019,4,5,5,5.00,0,4,2/40,35.00,0,0,0,-29.99
12,in Oceania,2015-2019,15,19,12,4.75,0,23,4/58,30.13,0,4,0,-25.38
14,home,2015-2019,15,19,12,4.75,0,23,4/58,30.13,0,4,0,-25.38
15,away,2015-2017,11,6,5,1.50,0,12,3/38,44.66,0,1,0,-43.16
16,neutral,2017-2019,5,42,24,14.00,0,4,2/40,50.25,0,2,0,-36.24
18,year 2015,,7,5,5,2.50,0,7,3/38,47.28,0,1,0,-44.78
19,year 2016,,6,1,1,0.33,0,6,2/31,39.66,0,1,0,-39.33
20,year 2017,,5,-,-,-,-,6,2/40,34.00,0,0,0,-
21,year 2018,,7,44,24,14.66,0,12,4/58,31.50,0,4,0,-16.83
22,year 2019,,6,17,12,5.66,0,8,3/40,34.87,0,1,0,-29.20
24,season 2015,,6,5,5,2.50,0,6,3/38,53.16,0,1,0,-50.66
25,season 2015/16,,4,0,0,0.00,0,3,2/31,32.66,0,1,0,-32.66
26,season 2016/17,,5,1,1,0.50,0,6,2/66,41.83,0,0,0,-41.33
27,season 2017,,3,-,-,-,-,4,2/40,26.25,0,0,0,-
28,season 2017/18,,4,7,5,7.00,0,10,4/58,25.20,0,2,0,-18.19
29,season 2018/19,,8,49,24,12.25,0,10,3/40,37.00,0,3,0,-24.74
30,season 2019,,1,5,5,5.00,0,0,-,-,0,0,0,-
32,*TWM Latham,2017-2018,4,-,-,-,-,4,2/40,39.00,0,0,0,-
33,*BB McCullum,2015-2016,2,0,0,0.00,0,3,2/31,14.33,0,0,0,-14.33
34,*KS Williamson,2015-2019,25,67,24,6.70,0,32,4/58,38.46,0,7,0,-31.76
36,is not captain,2015-2019,31,67,24,6.09,0,39,4/58,36.66,0,7,0,-30.57
38,is not keeper,2015-2019,31,67,24,6.09,0,39,4/58,36.66,0,7,0,-30.57
40,won the toss,2015-2019,11,51,24,12.75,0,19,4/58,29.31,0,4,0,-16.56
41,lost the toss,2015-2019,20,16,5,2.28,0,20,3/38,43.65,0,3,0,-41.36
