,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2016-2016,2,108,74,54.00,0,2,2/58,35.00,0,0,0,19.00
2,in Bangladesh,2013-2013,2,8,8,4.00,0,8,4/42,11.87,0,0,0,-7.87
3,in England,2017-2019,13,279,97*,27.90,0,15,5/31,22.60,1,4,0,5.30
4,in India,2016-2016,4,76,57,19.00,0,4,2/38,42.00,0,1,0,-22.99
5,in Ireland,2017-2017,3,88,52,29.33,0,2,2/68,66.50,0,1,0,-37.16
6,in New Zealand,2013-2019,25,528,71*,40.61,0,21,3/36,31.19,0,14,0,9.42
7,in South Africa,2013-2015,4,59,41,14.75,0,2,1/20,55.50,0,0,0,-40.74
8,in Sri Lanka,2013-2013,2,47,42*,-,0,2,2/26,25.50,0,1,0,-
9,in U.A.E.,2014-2014,2,3,2,1.50,0,2,2/62,66.00,0,0,0,-64.49
10,in Zimbabwe,2015-2015,2,51,37*,-,0,1,1/16,60.00,0,2,0,-
12,in Africa,2013-2015,6,110,41,27.50,0,3,1/16,57.00,0,2,0,-29.49
13,in Asia,2013-2016,10,134,57,16.75,0,16,4/42,27.87,0,2,0,-11.12
14,in Europe,2017-2019,16,367,97*,28.23,0,17,5/31,27.76,1,5,0,0.46
15,in Oceania,2013-2019,27,636,74,42.40,0,23,3/36,31.52,0,14,0,10.87
17,home,2013-2019,25,528,71*,40.61,0,21,3/36,31.19,0,14,0,9.42
18,away,2013-2019,20,435,74,27.18,0,24,4/42,28.87,0,4,0,-1.68
19,neutral,2014-2019,14,284,97*,25.81,0,14,5/31,33.28,1,5,0,-7.46
21,year 2013,,8,83,42*,13.83,0,12,4/42,20.41,0,1,0,-6.58
22,year 2014,,8,63,34*,15.75,0,6,2/62,55.83,0,4,0,-40.08
23,year 2015,,3,92,41,92.00,0,2,1/16,53.50,0,2,0,38.50
24,year 2016,,9,252,74,31.50,0,10,3/36,31.50,0,3,0,0.00
25,year 2017,,13,321,71*,29.18,0,4,2/68,72.75,0,7,0,-43.56
26,year 2019,,18,436,97*,43.60,0,25,5/31,20.84,1,6,0,22.76
28,season 2012/13,,3,18,13,6.00,0,1,1/20,64.00,0,0,0,-57.99
29,season 2013/14,,8,99,42*,33.00,0,13,4/42,23.53,0,5,0,9.46
30,season 2014/15,,5,29,16,7.25,0,4,2/62,52.50,0,0,0,-45.24
31,season 2015,,3,92,41,92.00,0,2,1/16,53.50,0,2,0,38.50
32,season 2016/17,,16,438,74,33.69,0,12,3/36,35.50,0,9,0,-1.80
33,season 2017,,6,135,52,22.50,0,2,2/68,90.00,0,1,0,-67.49
34,season 2018/19,,8,204,64,68.00,0,10,3/38,22.90,0,2,0,45.10
35,season 2019,,10,232,97*,33.14,0,15,5/31,19.46,1,4,0,13.67
37,*TWM Latham,2017-2019,4,125,52,31.25,0,2,2/68,78.50,0,1,0,-47.24
38,*BB McCullum,2013-2014,12,96,34*,12.00,0,14,4/42,28.35,0,4,0,-16.35
39,*KD Mills,2013-2013,2,47,42*,-,0,2,2/26,25.50,0,1,0,-
40,*KS Williamson,2014-2019,41,979,97*,34.96,0,41,5/31,29.48,1,17,0,5.47
42,is not captain,2013-2019,59,1247,97*,31.17,0,59,5/31,30.74,1,23,0,0.42
44,is not keeper,2013-2019,59,1247,97*,31.17,0,59,5/31,30.74,1,23,0,0.42
46,won the toss,2013-2019,26,585,97*,32.50,0,34,5/31,21.41,1,5,0,11.08
47,lost the toss,2013-2019,33,662,71*,30.09,0,25,4/53,43.44,0,18,0,-13.34
49,won toss & batted,2013-2019,11,300,97*,33.33,0,14,3/36,24.35,0,2,0,8.97
50,won toss & fielded,2013-2019,15,285,74,31.66,0,20,5/31,19.35,1,3,0,12.31
51,lost toss & sent in,2013-2019,20,497,71*,35.50,0,11,2/62,56.36,0,10,0,-20.86
52,lost toss & fielded,2013-2019,13,165,44,20.62,0,14,4/53,33.28,0,8,0,-12.66
54,matches batting first,2013-2019,31,797,97*,34.65,0,25,3/36,38.44,0,12,0,-3.78
55,matches fielding first,2013-2019,28,450,74,26.47,0,34,5/31,25.08,1,11,0,1.38
57,1st match innings,2013-2019,59,797,97*,34.65,0,34,5/31,25.08,1,11,0,9.56
58,2nd match innings,2013-2019,58,450,74,26.47,0,25,3/36,38.44,0,12,0,-11.96
60,day match,2013-2019,29,661,97*,36.72,0,22,3/36,36.50,0,14,0,0.22
61,day/night match,2013-2019,30,586,74,26.63,0,37,5/31,27.32,1,9,0,-0.68
63,won match,2013-2019,30,605,71*,40.33,0,30,5/31,29.50,1,19,0,10.83
64,lost match,2013-2019,26,617,97*,26.82,0,25,4/42,34.68,0,4,0,-7.85
65,tied match,2019-2019,1,19,19,19.00,0,3,3/43,14.33,0,0,0,4.66
66,no result,2014-2017,2,6,6,6.00,0,1,1/19,19.00,0,0,0,-12.99
68,won batting first,2013-2019,17,472,71*,42.90,0,17,3/36,31.76,0,12,0,11.14
69,won fielding first,2013-2019,13,133,52,33.25,0,13,5/31,26.53,1,7,0,6.71
70,lost batting first,2013-2019,12,300,97*,30.00,0,5,2/62,75.60,0,0,0,-45.59
71,lost fielding first,2013-2019,14,317,74,24.38,0,20,4/42,24.45,0,4,0,-0.06
72,tied batting first,2019-2019,1,19,19,19.00,0,3,3/43,14.33,0,0,0,4.66
73,no result batting first,2017-2017,1,6,6,6.00,0,-,-,-,-,0,0,-
74,no result fielding first,2014-2014,1,-,-,-,-,1,1/19,19.00,0,0,0,-
76,2 team series,2013-2019,43,880,74,32.59,0,42,4/42,31.95,0,18,0,0.64
77,3-4 team tournaments,2017-2017,3,88,52,29.33,0,2,2/68,66.50,0,1,0,-37.16
78,5+ team tournaments,2017-2019,13,279,97*,27.90,0,15,5/31,22.60,1,4,0,5.30
80,1st match in series,2013-2019,14,262,48,23.81,0,17,4/42,30.94,0,3,0,-7.12
81,2nd match in series,2013-2019,9,265,74,44.16,0,10,4/53,24.40,0,4,0,19.76
82,3rd match in series,2013-2019,12,242,57,40.33,0,7,2/26,48.14,0,8,0,-7.80
83,4th match in series,2014-2019,4,6,6,6.00,0,4,2/38,29.25,0,1,0,-23.24
84,5th match in series,2014-2019,4,105,44,35.00,0,4,1/10,29.50,0,2,0,5.50
86,World Cup,2019-2019,10,232,97*,33.14,0,15,5/31,19.46,1,4,0,13.67
87,Chappell-Hadlee,2016-2017,4,157,74,39.25,0,2,2/58,68.00,0,3,0,-28.74
88,ICC Champions Trophy,2017-2017,3,47,23,15.66,0,0,-,-,0,0,0,-
90,tournament finals,2019-2019,1,19,19,19.00,0,3,3/43,14.33,0,0,0,4.66
91,tournament semi-finals,2019-2019,1,12,12,12.00,0,1,1/49,49.00,0,1,0,-36.99
92,preliminary matches,2017-2019,14,336,97*,30.54,0,13,5/31,29.23,1,4,0,1.31
