,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2016,4,115,81,28.75,0,0,-,-,0,1,0,-
2,in Bangladesh,2010-2013,4,146,108,73.00,1,0,-,-,0,2,0,-
3,in England,2013-2019,24,1393,148,69.65,4,8,2/25,40.00,0,10,0,29.65
4,in India,2010-2017,13,398,118,33.16,1,0,-,-,0,4,0,-
5,in New Zealand,2011-2019,71,2932,115,44.42,4,20,3/22,29.85,0,29,0,14.57
6,in South Africa,2013-2015,6,249,145*,49.80,1,6,4/22,14.00,0,4,0,35.80
7,in Sri Lanka,2010-2012,9,61,22,10.16,0,1,1/2,48.00,0,2,0,-37.83
8,in U.A.E.,2014-2018,7,374,123,62.33,1,0,-,-,0,5,0,-
9,in West Indies,2012-2012,5,163,69,32.60,0,1,1/36,44.00,0,1,0,-11.39
10,in Zimbabwe,2011-2015,6,301,100*,150.50,1,1,1/23,71.00,0,2,0,79.50
12,in Africa,2011-2015,12,550,145*,78.57,2,7,4/22,22.14,0,6,0,56.42
13,in Americas,2012-2012,5,163,69,32.60,0,1,1/36,44.00,0,1,0,-11.39
14,in Asia,2010-2018,33,979,123,37.65,3,1,1/2,191.00,0,13,0,-153.34
15,in Europe,2013-2019,24,1393,148,69.65,4,8,2/25,40.00,0,10,0,29.65
16,in Oceania,2011-2019,75,3047,115,43.52,4,20,3/22,30.00,0,30,0,13.52
18,home,2011-2019,71,2932,115,44.42,4,20,3/22,29.85,0,29,0,14.57
19,away,2010-2019,54,2024,145*,44.97,5,13,4/22,35.76,0,20,0,9.20
20,neutral,2010-2019,24,1176,148,69.17,4,4,1/2,62.00,0,11,0,7.17
22,year 2010,,9,196,108,24.50,1,1,1/2,103.00,0,3,0,-78.49
23,year 2011,,9,270,100*,67.50,1,0,-,-,0,2,0,-
24,year 2012,,15,356,69,27.38,0,4,2/13,19.75,0,5,0,7.63
25,year 2013,,14,453,145*,41.18,1,12,4/22,30.08,0,4,0,11.09
26,year 2014,,12,770,123,70.00,1,6,2/19,27.00,0,8,0,43.00
27,year 2015,,27,1376,118,57.33,3,3,1/12,77.66,0,12,0,-20.33
28,year 2016,,18,699,118,41.11,1,5,3/22,17.40,0,8,0,23.71
29,year 2017,,14,596,100,42.57,1,2,1/17,56.50,0,7,0,-13.92
30,year 2018,,11,468,115,46.80,2,2,2/32,19.50,0,5,0,27.30
31,year 2019,,20,948,148,59.25,2,2,1/25,48.00,0,6,0,11.25
33,season 2010,,4,13,13,4.33,0,1,1/2,48.00,0,1,0,-43.66
34,season 2010/11,,11,339,108,37.66,1,0,-,-,0,2,0,-
35,season 2011/12,,9,281,100*,46.83,1,3,2/13,14.00,0,5,0,32.83
36,season 2012,,5,163,69,32.60,0,1,1/36,44.00,0,1,0,-11.39
37,season 2012/13,,10,296,145*,42.28,1,7,4/22,20.57,0,2,0,21.71
38,season 2013,,6,175,67,35.00,0,5,2/25,39.40,0,2,0,-4.39
39,season 2013/14,,9,432,88,54.00,0,6,2/19,25.16,0,5,0,28.83
40,season 2014/15,,20,987,123,58.05,3,1,1/50,122.00,0,11,0,-63.94
41,season 2015,,11,676,118,67.60,1,2,1/12,52.00,0,5,0,15.60
42,season 2015/16,,8,304,84,38.00,0,1,1/11,76.00,0,4,0,-37.99
43,season 2016/17,,18,695,118,40.88,1,6,3/22,23.83,0,7,0,17.04
44,season 2017,,3,244,100,81.33,1,0,-,-,0,0,0,-
45,season 2017/18,,13,551,115,45.91,2,2,2/32,16.00,0,8,0,29.91
46,season 2018/19,,12,398,76,36.18,0,0,-,-,0,1,0,-
47,season 2019,,10,578,148,82.57,2,2,1/25,32.00,0,6,0,50.57
49,*BB McCullum,2012-2016,50,2189,145*,48.64,4,23,4/22,28.82,0,22,0,19.81
50,*LRPL Taylor,2010-2012,17,331,100*,33.10,1,2,1/2,66.00,0,5,0,-32.89
51,*DL Vettori,2010-2011,7,233,108,38.83,1,0,-,-,0,2,0,-
52,*KS Williamson,2012-2019,75,3379,148,50.43,7,12,3/22,39.25,0,31,0,11.18
54,is captain,2012-2019,75,3379,148,50.43,7,12,3/22,39.25,0,31,0,11.18
55,is not captain,2010-2016,74,2753,145*,45.13,6,25,4/22,33.56,0,29,0,11.57
57,is not keeper,2010-2019,149,6132,148,47.90,13,37,4/22,35.40,0,60,0,12.50
59,won the toss,2010-2019,70,3145,123,54.22,7,17,4/22,35.76,0,23,0,18.45
60,lost the toss,2010-2019,79,2987,148,42.67,6,20,3/22,35.10,0,37,0,7.57
62,won toss & batted,2010-2019,39,1850,123,51.38,4,10,2/13,36.60,0,12,0,14.78
63,won toss & fielded,2010-2019,31,1295,112*,58.86,3,7,4/22,34.57,0,11,0,24.29
64,lost toss & sent in,2010-2019,42,1792,148,44.80,4,11,3/22,30.09,0,16,0,14.70
65,lost toss & fielded,2010-2019,37,1195,118,39.83,2,9,2/32,41.22,0,21,0,-1.38
67,matches batting first,2010-2019,81,3642,148,47.92,8,21,3/22,33.19,0,28,0,14.73
68,matches fielding first,2010-2019,68,2490,118,47.88,5,16,4/22,38.31,0,32,0,9.57
70,1st match innings,2010-2019,149,3642,148,47.92,8,16,4/22,38.31,0,32,0,9.60
71,2nd match innings,2010-2019,146,2490,118,47.88,5,21,3/22,33.19,0,28,0,14.69
73,day match,2010-2019,64,2899,118,53.68,7,21,4/22,34.52,0,28,0,19.16
