,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2016-2016,2,4,4*,4.00,0,1,1/73,123.00,0,0,0,-118.99
2,in England,2019-2019,9,4,4*,4.00,0,21,4/37,19.47,0,2,0,-15.47
3,in New Zealand,2016-2019,22,50,19,8.33,0,34,4/40,30.76,0,8,0,-22.43
4,in U.A.E.,2018-2018,3,4,3*,-,0,11,5/45,12.81,1,0,0,-
6,in Asia,2018-2018,3,4,3*,-,0,11,5/45,12.81,1,0,0,-
7,in Europe,2019-2019,9,4,4*,4.00,0,21,4/37,19.47,0,2,0,-15.47
8,in Oceania,2016-2019,24,54,19,7.71,0,35,4/40,33.40,0,8,0,-25.68
10,home,2016-2019,22,50,19,8.33,0,34,4/40,30.76,0,8,0,-22.43
11,away,2016-2019,3,4,4*,4.00,0,4,3/50,43.25,0,1,0,-39.24
12,neutral,2018-2019,11,8,4*,8.00,0,29,5/45,17.24,1,1,0,-9.24
14,year 2016,,4,8,4*,4.00,0,5,3/54,46.00,0,0,0,-41.99
15,year 2017,,6,7,4,3.50,0,8,3/17,33.37,0,3,0,-29.87
16,year 2018,,9,29,19,29.00,0,19,5/45,20.63,1,1,0,8.36
17,year 2019,,17,18,12,6.00,0,35,4/37,23.71,0,6,0,-17.71
19,season 2016/17,,7,15,4*,3.75,0,8,3/54,50.87,0,0,0,-47.12
20,season 2017/18,,9,25,19,25.00,0,13,3/17,26.23,0,4,0,-1.23
21,season 2018/19,,11,18,12,9.00,0,25,5/45,22.48,1,4,0,-13.47
22,season 2019,,9,4,4*,4.00,0,21,4/37,19.47,0,2,0,-15.47
24,*TWM Latham,2017-2019,4,-,-,-,-,8,5/45,17.00,1,2,0,-
25,*TG Southee,2018-2018,1,19,19,19.00,0,1,1/48,48.00,0,0,0,-28.99
26,*KS Williamson,2016-2019,31,43,12,6.14,0,58,4/37,26.46,0,8,0,-20.32
28,is not captain,2016-2019,36,62,19,7.75,0,67,5/45,25.65,1,10,0,-17.90
30,is not keeper,2016-2019,36,62,19,7.75,0,67,5/45,25.65,1,10,0,-17.90
32,won the toss,2016-2019,19,16,6*,8.00,0,37,4/37,23.89,0,7,0,-15.89
33,lost the toss,2016-2019,17,46,19,7.66,0,30,5/45,27.83,1,3,0,-20.16
35,won toss & batted,2016-2019,13,12,6*,6.00,0,21,3/36,30.19,0,5,0,-24.19
36,won toss & fielded,2017-2019,6,4,4*,-,0,16,4/37,15.62,0,2,0,-
37,lost toss & sent in,2016-2019,8,26,19,13.00,0,14,4/40,25.07,0,2,0,-12.07
38,lost toss & fielded,2016-2019,9,20,12,5.00,0,16,5/45,30.25,1,1,0,-25.24
40,matches batting first,2016-2019,21,38,19,9.50,0,35,4/40,28.14,0,7,0,-18.64
41,matches fielding first,2016-2019,15,24,12,6.00,0,32,5/45,22.93,1,3,0,-16.93
43,1st match innings,2016-2019,36,38,19,9.50,0,32,5/45,22.93,1,3,0,-13.43
44,2nd match innings,2016-2019,36,24,12,6.00,0,35,4/40,28.14,0,7,0,-22.14
46,day match,2016-2019,19,13,6*,6.50,0,36,4/40,23.08,0,8,0,-16.58
47,day/night match,2016-2019,17,49,19,8.16,0,31,5/45,28.64,1,2,0,-20.47
49,won match,2016-2019,24,20,6*,10.00,0,47,4/37,22.21,0,7,0,-12.21
50,lost match,2016-2019,10,42,19,7.00,0,12,3/60,48.33,0,2,0,-41.33
51,tied match,2019-2019,1,-,-,-,-,3,3/50,16.66,0,1,0,-
52,no result,2018-2018,1,-,-,-,-,5,5/45,9.00,1,0,0,-
54,won batting first,2016-2019,15,16,6*,8.00,0,26,4/40,26.11,0,5,0,-18.11
55,won fielding first,2017-2019,9,4,4*,-,0,21,4/37,17.38,0,2,0,-
56,lost batting first,2018-2019,5,22,19,11.00,0,6,3/60,42.66,0,1,0,-31.66
57,lost fielding first,2016-2019,5,20,12,5.00,0,6,2/49,54.00,0,1,0,-48.99
58,tied batting first,2019-2019,1,-,-,-,-,3,3/50,16.66,0,1,0,-
59,no result fielding first,2018-2018,1,-,-,-,-,5,5/45,9.00,1,0,0,-
61,2 team series,2016-2019,27,58,19,8.28,0,46,5/45,28.47,1,8,0,-20.19
62,5+ team tournaments,2019-2019,9,4,4*,4.00,0,21,4/37,19.47,0,2,0,-15.47
64,1st match in series,2016-2019,9,6,3*,3.00,0,16,3/36,27.87,0,2,0,-24.87
65,2nd match in series,2016-2019,7,36,19,12.00,0,16,3/17,21.31,0,3,0,-9.31
66,3rd match in series,2016-2019,9,16,6*,8.00,0,12,5/45,35.58,1,2,0,-27.58
67,4th match in series,2018-2018,1,-,-,-,-,0,-,-,0,0,0,-
68,5th match in series,2018-2018,1,-,-,-,-,2,2/64,32.00,0,1,0,-
70,World Cup,2019-2019,9,4,4*,4.00,0,21,4/37,19.47,0,2,0,-15.47
71,Chappell-Hadlee,2016-2017,4,7,4*,3.50,0,3,2/44,76.33,0,0,0,-72.83
73,tournament finals,2019-2019,1,-,-,-,-,3,3/50,16.66,0,1,0,-
74,tournament semi-finals,2019-2019,1,-,-,-,-,1,1/43,43.00,0,0,0,-
75,preliminary matches,2019-2019,7,4,4*,4.00,0,17,4/37,18.58,0,1,0,-14.58
