,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2009-2016,9,344,114,43.00,1,-,-,-,-,3,0,-
2,in Bangladesh,2011-2011,1,1,1,1.00,0,-,-,-,-,0,0,-
3,in England,2013-2019,24,838,189*,39.90,2,0,-,-,0,16,0,-
4,in India,2010-2017,18,471,86*,29.43,0,2,2/6,3.00,0,5,0,26.43
5,in New Zealand,2009-2019,93,3910,237*,49.49,10,2,2/7,26.50,0,45,0,22.99
6,in South Africa,2009-2015,11,334,103*,33.40,1,0,-,-,0,7,0,-
7,in Sri Lanka,2009-2011,7,132,57,18.85,0,0,-,-,0,3,0,-
8,in U.A.E.,2009-2014,6,152,62,25.33,0,-,-,-,-,4,0,-
9,in West Indies,2012-2012,5,96,51,19.20,0,0,-,-,0,4,0,-
10,in Zimbabwe,2011-2015,5,348,116*,87.00,2,-,-,-,-,3,0,-
12,in Africa,2009-2015,16,682,116*,48.71,3,0,-,-,0,10,0,-
13,in Americas,2012-2012,5,96,51,19.20,0,0,-,-,0,4,0,-
14,in Asia,2009-2017,32,756,86*,25.20,0,2,2/6,9.00,0,12,0,16.20
15,in Europe,2013-2019,24,838,189*,39.90,2,0,-,-,0,16,0,-
16,in Oceania,2009-2019,102,4254,237*,48.89,11,2,2/7,26.50,0,48,0,22.39
18,home,2009-2019,93,3910,237*,49.49,10,2,2/7,26.50,0,45,0,22.99
19,away,2009-2019,54,1887,189*,38.51,6,2,2/6,16.50,0,27,0,22.01
20,neutral,2009-2019,32,829,86*,28.58,0,0,-,-,0,18,0,-
22,year 2009,,22,738,122*,41.00,1,0,-,-,0,11,0,-
23,year 2010,,16,363,91,22.68,0,2,2/7,14.00,0,6,0,8.68
24,year 2011,,16,650,105,54.16,1,-,-,-,-,2,0,-
25,year 2012,,11,400,85,36.36,0,0,-,-,0,5,0,-
26,year 2013,,11,406,189*,50.75,2,-,-,-,-,7,0,-
27,year 2014,,14,396,111,30.46,1,0,-,-,0,7,0,-
28,year 2015,,32,1489,237*,55.14,4,0,-,-,0,21,0,-
29,year 2016,,18,727,114,42.76,2,2,2/6,3.00,0,9,0,39.76
30,year 2017,,9,384,180*,48.00,1,-,-,-,-,2,0,-
31,year 2018,,10,423,100,47.00,1,-,-,-,-,6,0,-
32,year 2019,,20,650,138,36.11,3,-,-,-,-,14,0,-
34,season 2008/09,,12,448,122*,56.00,1,-,-,-,-,3,0,-
35,season 2009,,2,25,22,12.50,0,0,-,-,0,2,0,-
36,season 2009/10,,16,475,91,29.68,0,2,2/7,20.50,0,10,0,9.18
37,season 2010,,3,11,11,3.66,0,-,-,-,-,1,0,-
38,season 2010/11,,19,613,86*,40.86,0,-,-,-,-,3,0,-
39,season 2011/12,,8,483,105,60.37,1,-,-,-,-,1,0,-
40,season 2012,,5,96,51,19.20,0,0,-,-,0,4,0,-
41,season 2012/13,,4,32,27*,10.66,0,-,-,-,-,5,0,-
42,season 2013,,6,372,189*,93.00,2,-,-,-,-,2,0,-
43,season 2013/14,,9,304,111,33.77,1,0,-,-,0,5,0,-
44,season 2014/15,,24,880,237*,41.90,2,0,-,-,0,13,0,-
45,season 2015,,11,501,116*,55.66,2,0,-,-,0,10,0,-
46,season 2015/16,,10,604,102,67.11,1,0,-,-,0,7,0,-
47,season 2016/17,,14,570,180*,47.50,2,2,2/6,3.00,0,2,0,44.50
48,season 2017,,3,86,33,28.66,0,-,-,-,-,0,0,-
49,season 2017/18,,13,476,100,39.66,1,-,-,-,-,8,0,-
50,season 2018/19,,10,464,138,51.55,3,-,-,-,-,6,0,-
51,season 2019,,10,186,73*,20.66,0,-,-,-,-,8,0,-
53,*TWM Latham,2019-2019,1,29,29,29.00,0,-,-,-,-,2,0,-
54,*BB McCullum,2009-2016,58,2483,237*,48.68,5,0,-,-,0,38,0,-
55,*TG Southee,2018-2018,1,50,50,50.00,0,-,-,-,-,0,0,-
56,*LRPL Taylor,2010-2012,14,440,105,31.42,1,-,-,-,-,8,0,-
57,*DL Vettori,2009-2011,40,1303,122*,40.71,1,2,2/7,26.50,0,15,0,14.21
58,*KS Williamson,2012-2019,65,2321,180*,40.01,9,2,2/6,5.00,0,27,0,35.01
60,is not captain,2009-2019,179,6626,237*,42.20,16,4,2/6,24.50,0,90,0,17.70
62,is not keeper,2009-2019,179,6626,237*,42.20,16,4,2/6,24.50,0,90,0,17.70
64,won the toss,2009-2019,83,3145,237*,41.93,8,2,2/7,25.50,0,41,0,16.43
65,lost the toss,2009-2019,96,3481,180*,42.45,8,2,2/6,23.50,0,49,0,18.95
67,won toss & batted,2009-2019,44,1792,237*,42.66,4,2,2/7,16.50,0,21,0,26.16
68,won toss & fielded,2009-2019,39,1353,118,41.00,4,0,-,-,0,20,0,-
69,lost toss & sent in,2009-2019,49,1665,122*,35.42,3,2,2/6,23.50,0,21,0,11.92
70,lost toss & fielded,2009-2019,47,1816,180*,51.88,5,-,-,-,-,28,0,-
72,matches batting first,2009-2019,93,3457,237*,38.84,7,4,2/6,20.00,0,42,0,18.84
73,matches fielding first,2009-2019,86,3169,180*,46.60,9,0,-,-,0,48,0,-
75,1st match innings,2009-2019,179,3457,237*,38.84,7,0,-,-,0,48,0,-
76,2nd match innings,2009-2019,174,3169,180*,46.60,9,4,2/6,20.00,0,42,0,26.60
78,day match,2009-2019,76,3114,189*,49.42,9,0,-,-,0,36,0,-
79,day/night match,2009-2019,103,3512,237*,37.36,7,4,2/6,14.50,0,54,0,22.86
81,won match,2009-2019,96,4552,237*,56.90,13,4,2/6,11.50,0,56,0,45.40
82,lost match,2009-2019,72,1631,114,22.65,1,0,-,-,0,32,0,-
83,tied match,2014-2019,2,130,111,65.00,1,-,-,-,-,2,0,-
84,no result,2009-2017,9,313,122*,104.33,1,-,-,-,-,0,0,-
86,won batting first,2009-2019,48,2191,237*,47.63,5,4,2/6,9.50,0,26,0,38.13
87,won fielding first,2009-2019,48,2361,180*,69.44,8,0,-,-,0,30,0,-
88,lost batting first,2009-2019,39,895,70,22.94,0,0,-,-,0,14,0,-
89,lost fielding first,2009-2019,33,736,114,22.30,1,0,-,-,0,18,0,-
90,tied batting first,2014-2019,2,130,111,65.00,1,-,-,-,-,2,0,-
91,no result batting first,2009-2017,4,241,122*,120.50,1,-,-,-,-,0,0,-
92,no result fielding first,2009-2014,5,72,64*,72.00,0,-,-,-,-,0,0,-
94,2 team series,2009-2019,138,5297,189*,44.14,14,4,2/6,18.25,0,71,0,25.89
95,3-4 team tournaments,2009-2010,5,36,22,7.20,0,0,-,-,0,3,0,-
96,5+ team tournaments,2009-2019,38,1314,237*,38.64,2,0,-,-,0,16,0,-
98,only match in series,2011-2015,2,21,11,10.50,0,-,-,-,-,0,0,-
99,1st match in series,2009-2019,35,1291,138,41.64,4,2,2/7,4.50,0,16,0,37.14
100,2nd match in series,2009-2019,31,1542,189*,64.25,5,2,2/6,14.00,0,14,0,50.25
101,3rd match in series,2009-2019,32,908,111,31.31,1,0,-,-,0,19,0,-
102,4th match in series,2009-2019,18,844,180*,52.75,2,-,-,-,-,10,0,-
103,5th match in series,2009-2018,17,619,102,41.26,2,-,-,-,-,11,0,-
104,6th match in series,2011-2015,2,72,44,36.00,0,-,-,-,-,1,0,-
105,7th match in series,2015-2015,1,0,0,0.00,0,-,-,-,-,0,0,-
107,World Cup,2011-2019,27,995,237*,43.26,2,-,-,-,-,13,0,-
108,Chappell-Hadlee,2009-2017,19,676,114,37.55,1,0,-,-,0,10,0,-
109,ICC Champions Trophy,2009-2017,11,319,66,29.00,0,0,-,-,0,3,0,-
111,tournament finals,2009-2019,3,74,40,24.66,0,-,-,-,-,0,0,-
112,tournament semi-finals,2009-2019,4,85,39,21.25,0,-,-,-,-,2,0,-
113,tournament quarter-finals,2011-2015,2,238,237*,238.00,1,-,-,-,-,2,0,-
114,preliminary matches,2009-2019,34,953,105,30.74,1,0,-,-,0,15,0,-
