,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2016,3,34,27,11.33,0,4,2/46,52.75,0,0,0,-41.41
2,in England,2015-2019,13,30,12,5.00,0,19,4/47,33.84,0,6,0,-28.84
3,in India,2016-2016,2,45,39*,45.00,0,3,2/56,35.66,0,0,0,9.33
4,in Ireland,2017-2017,2,5,5,5.00,0,3,3/36,28.33,0,0,0,-23.33
5,in New Zealand,2014-2019,25,96,48*,48.00,0,49,5/40,20.87,1,10,0,27.12
6,in U.A.E.,2014-2018,5,1,1,1.00,0,14,5/30,18.92,1,1,0,-17.92
7,in Zimbabwe,2015-2015,2,-,-,-,-,0,-,-,0,0,0,-
9,in Africa,2015-2015,2,-,-,-,-,0,-,-,0,0,0,-
10,in Asia,2014-2018,7,46,39*,23.00,0,17,5/30,21.88,1,1,0,1.11
11,in Europe,2015-2019,15,35,12,5.00,0,22,4/47,33.09,0,6,0,-28.09
12,in Oceania,2014-2019,28,130,48*,26.00,0,53,5/40,23.28,1,10,0,2.71
14,home,2014-2019,25,96,48*,48.00,0,49,5/40,20.87,1,10,0,27.12
15,away,2015-2019,14,102,39*,12.75,0,18,3/36,44.55,0,4,0,-31.80
16,neutral,2014-2019,13,13,6,3.25,0,25,5/30,24.48,1,3,0,-21.22
18,year 2014,,6,1,1,1.00,0,19,5/30,15.26,1,1,0,-14.26
19,year 2015,,12,32,20*,10.66,0,17,4/33,32.70,0,4,0,-22.03
20,year 2016,,12,132,48*,33.00,0,22,5/40,27.72,1,4,0,5.27
21,year 2017,,4,5,5,5.00,0,5,3/36,27.80,0,1,0,-22.79
22,year 2018,,2,-,-,-,-,5,4/53,21.20,0,2,0,-
23,year 2019,,16,41,17*,8.20,0,24,4/35,30.66,0,5,0,-22.46
25,season 2013/14,,1,-,-,-,-,4,4/38,9.50,0,0,0,-
26,season 2014/15,,9,21,20*,10.50,0,19,5/30,19.57,1,1,0,-9.07
