,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2016-2016,3,17,15,5.66,0,3,2/43,43.33,0,2,0,-37.66
2,in England,2015-2019,18,194,44,21.55,0,14,3/31,46.71,0,4,0,-25.15
3,in India,2016-2017,8,75,29,15.00,0,7,2/58,45.85,0,4,0,-30.85
4,in Ireland,2017-2017,4,26,20*,26.00,0,8,5/50,20.75,1,2,0,5.25
5,in New Zealand,2015-2019,36,586,67,39.06,0,37,3/15,33.48,0,13,0,5.58
7,in Asia,2016-2017,8,75,29,15.00,0,7,2/58,45.85,0,4,0,-30.85
8,in Europe,2015-2019,22,220,44,22.00,0,22,5/50,37.27,1,6,0,-15.27
9,in Oceania,2015-2019,39,603,67,33.50,0,40,3/15,34.22,0,15,0,-0.72
11,home,2015-2019,36,586,67,39.06,0,37,3/15,33.48,0,13,0,5.58
12,away,2015-2019,21,230,44,16.42,0,25,5/50,35.52,1,10,0,-19.09
13,neutral,2017-2019,12,82,17*,20.50,0,7,2/34,54.71,0,2,0,-34.21
15,year 2015,,8,135,44,27.00,0,7,3/31,46.57,0,3,0,-19.57
16,year 2016,,17,230,48,28.75,0,18,3/47,34.77,0,8,0,-6.02
17,year 2017,,18,176,38*,19.55,0,26,5/50,26.38,1,7,0,-6.82
18,year 2018,,10,230,67,46.00,0,8,3/40,45.37,0,3,0,0.62
19,year 2019,,16,127,22,21.16,0,10,3/45,50.90,0,4,0,-29.73
21,season 2015,,5,97,44,24.25,0,7,3/31,32.85,0,1,0,-8.60
22,season 2015/16,,9,197,48,98.50,0,8,3/47,36.12,0,4,0,62.37
23,season 2016/17,,18,158,38*,14.36,0,20,3/44,35.00,0,10,0,-20.63
24,season 2017,,7,51,20*,17.00,0,9,5/50,29.66,1,2,0,-12.66
25,season 2017/18,,14,268,67,38.28,0,15,3/15,34.33,0,4,0,3.95
26,season 2018/19,,6,55,22,18.33,0,4,3/45,46.50,0,1,0,-28.16
27,season 2019,,10,72,17*,24.00,0,6,2/34,53.83,0,3,0,-29.83
29,*TWM Latham,2017-2019,6,42,20*,42.00,0,11,5/50,20.63,1,2,0,21.36
30,*BB McCullum,2015-2016,10,187,45*,46.75,0,13,3/31,28.46,0,4,0,18.28
31,*TG Southee,2018-2018,1,63,63*,-,0,0,-,-,0,1,0,-
32,*KS Williamson,2015-2019,52,606,67,21.64,0,45,3/40,41.62,0,18,0,-19.97
34,is not captain,2015-2019,69,898,67,27.21,0,69,5/50,36.37,1,25,0,-9.16
36,is not keeper,2015-2019,69,898,67,27.21,0,69,5/50,36.37,1,25,0,-9.16
38,won the toss,2015-2019,31,438,45*,33.69,0,30,3/15,37.76,0,6,0,-4.07
39,lost the toss,2015-2019,38,460,67,23.00,0,39,5/50,35.30,1,19,0,-12.30
41,won toss & batted,2015-2019,18,299,45*,37.37,0,19,3/15,34.73,0,3,0,2.63
42,won toss & fielded,2015-2019,13,139,45*,27.80,0,11,2/54,43.00,0,3,0,-15.19
43,lost toss & sent in,2015-2019,21,363,67,30.25,0,23,5/50,32.30,1,10,0,-2.05
44,lost toss & fielded,2015-2019,17,97,22,12.12,0,16,3/45,39.62,0,9,0,-27.49
46,matches batting first,2015-2019,39,662,67,33.10,0,42,5/50,33.40,1,13,0,-0.30
47,matches fielding first,2015-2019,30,236,45*,18.15,0,27,3/45,41.00,0,12,0,-22.84
49,1st match innings,2015-2019,69,662,67,33.10,0,27,3/45,41.00,0,12,0,-7.89
50,2nd match innings,2015-2019,68,236,45*,18.15,0,42,5/50,33.40,1,13,0,-15.25
52,day match,2015-2019,36,383,67,27.35,0,40,5/50,32.55,1,12,0,-5.19
53,day/night match,2015-2019,33,515,63*,27.10,0,29,3/45,41.65,0,13,0,-14.54
55,won match,2015-2019,38,377,48,47.12,0,48,5/50,28.85,1,13,0,18.27
56,lost match,2015-2019,28,508,67,21.16,0,21,3/31,53.04,0,12,0,-31.88
57,tied match,2019-2019,1,5,5*,-,0,0,-,-,0,0,0,-
58,no result,2016-2017,2,8,8,8.00,0,-,-,-,-,0,0,-
60,won batting first,2015-2019,20,277,48,39.57,0,31,5/50,25.25,1,6,0,14.31
61,won fielding first,2015-2019,18,100,45*,100.00,0,17,3/45,35.41,0,7,0,64.58
62,lost batting first,2015-2019,16,372,67,31.00,0,11,3/31,55.36,0,7,0,-24.36
63,lost fielding first,2015-2019,12,136,41,11.33,0,10,2/43,50.50,0,5,0,-39.16
64,tied batting first,2019-2019,1,5,5*,-,0,0,-,-,0,0,0,-
65,no result batting first,2016-2017,2,8,8,8.00,0,-,-,-,-,0,0,-
67,2 team series,2015-2019,52,775,67,28.70,0,54,3/15,35.55,0,20,0,-6.85
68,3-4 team tournaments,2017-2017,4,26,20*,26.00,0,8,5/50,20.75,1,2,0,5.25
69,5+ team tournaments,2017-2019,13,97,17*,19.40,0,7,2/34,60.57,0,3,0,-41.17
71,1st match in series,2015-2019,14,196,48,24.50,0,15,3/44,35.93,0,3,0,-11.43
72,2nd match in series,2015-2018,10,172,63*,57.33,0,12,3/47,33.25,0,6,0,24.08
73,3rd match in series,2015-2019,14,205,41,22.77,0,15,3/15,36.00,0,3,0,-13.22
74,4th match in series,2015-2019,7,61,44,61.00,0,3,1/38,70.00,0,3,0,-8.99
75,5th match in series,2015-2019,7,141,67,23.50,0,9,3/31,25.77,0,5,0,-2.27
77,World Cup,2019-2019,10,72,17*,24.00,0,6,2/34,53.83,0,3,0,-29.83
78,Chappell-Hadlee,2016-2017,7,142,45*,35.50,0,13,3/44,20.84,0,4,0,14.65
79,ICC Champions Trophy,2017-2017,3,25,14*,12.50,0,1,1/54,101.00,0,0,0,-88.49
81,tournament finals,2019-2019,1,5,5*,-,0,0,-,-,0,0,0,-
82,tournament semi-finals,2019-2019,1,9,9*,-,0,2,2/34,17.00,0,0,0,-
83,preliminary matches,2017-2019,15,109,20*,18.16,0,13,5/50,41.92,1,5,0,-23.75
