,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2007-2015,17,585,84,36.56,0,0,-,-,0,8,0,-
2,in Bangladesh,2008-2013,11,451,107*,50.11,2,0,-,-,0,3,0,-
3,in England,2008-2019,29,1133,119*,43.57,2,0,-,-,0,11,0,-
4,in India,2010-2017,18,526,95,32.87,0,-,-,-,-,10,0,-
5,in Ireland,2017-2017,4,194,60*,64.66,0,-,-,-,-,2,0,-
6,in New Zealand,2006-2019,103,3877,181*,53.84,11,0,-,-,0,63,0,-
7,in Scotland,2008-2008,2,120,61*,-,0,-,-,-,-,2,0,-
8,in South Africa,2007-2009,8,157,72,22.42,0,-,-,-,-,13,0,-
9,in Sri Lanka,2009-2012,12,384,131*,42.66,1,-,-,-,-,13,0,-
10,in U.A.E.,2009-2018,11,462,105*,66.00,1,-,-,-,-,8,0,-
11,in West Indies,2007-2012,8,245,110,30.62,1,-,-,-,-,3,0,-
12,in Zimbabwe,2011-2015,5,242,119,121.00,2,-,-,-,-,1,0,-
14,in Africa,2007-2015,13,399,119,44.33,2,-,-,-,-,14,0,-
15,in Americas,2007-2012,8,245,110,30.62,1,-,-,-,-,3,0,-
16,in Asia,2008-2018,52,1823,131*,44.46,4,0,-,-,0,34,0,-
17,in Europe,2008-2019,35,1447,119*,49.89,2,0,-,-,0,15,0,-
18,in Oceania,2006-2019,120,4462,181*,50.70,11,0,-,-,0,71,0,-
20,home,2006-2019,103,3877,181*,53.84,11,0,-,-,0,63,0,-
21,away,2007-2019,75,2798,119*,43.71,7,0,-,-,0,40,0,-
22,neutral,2007-2019,50,1701,131*,43.61,2,-,-,-,-,34,0,-
24,year 2006,,4,189,128*,63.00,1,-,-,-,-,2,0,-
25,year 2007,,29,663,117,28.82,1,0,-,-,0,19,0,-
26,year 2008,,16,465,103,46.50,1,0,-,-,0,7,0,-
27,year 2009,,24,631,76,31.55,0,-,-,-,-,22,0,-
28,year 2010,,20,676,95,37.55,0,0,-,-,0,16,0,-
29,year 2011,,17,561,131*,51.00,2,-,-,-,-,12,0,-
30,year 2012,,6,223,110,44.60,1,-,-,-,-,4,0,-
31,year 2013,,13,510,107*,46.36,2,-,-,-,-,7,0,-
