,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2009-2016,8,44,17,8.80,0,5,2/63,85.20,0,0,0,-76.39
2,in Bangladesh,2008-2013,8,20,19*,5.00,0,6,3/34,49.00,0,2,0,-43.99
3,in England,2008-2019,17,83,18,11.85,0,26,4/38,29.76,0,3,0,-17.91
4,in India,2010-2017,16,122,55,17.42,0,25,3/13,29.68,0,3,0,-12.25
5,in New Zealand,2008-2019,71,304,32,14.47,0,90,7/33,37.91,3,27,0,-23.43
6,in Scotland,2008-2008,2,-,-,-,-,3,3/22,11.33,0,0,0,-
7,in Sri Lanka,2010-2012,8,30,13,10.00,0,16,4/49,18.00,0,1,0,-7.99
8,in U.A.E.,2009-2018,5,38,20,9.50,0,5,2/26,41.40,0,1,0,-31.89
9,in West Indies,2012-2012,5,35,17*,17.50,0,10,3/37,19.60,0,2,0,-2.09
11,in Americas,2012-2012,5,35,17*,17.50,0,10,3/37,19.60,0,2,0,-2.09
12,in Asia,2008-2018,37,210,55,11.66,0,52,4/49,29.44,0,7,0,-17.77
13,in Europe,2008-2019,19,83,18,11.85,0,29,4/38,27.86,0,3,0,-16.00
14,in Oceania,2008-2019,79,348,32,13.38,0,95,7/33,40.40,3,27,0,-27.01
16,home,2008-2019,71,304,32,14.47,0,90,7/33,37.91,3,27,0,-23.43
17,away,2008-2019,51,287,55,11.48,0,66,4/38,35.10,0,10,0,-23.62
18,neutral,2008-2018,18,85,20,12.14,0,30,4/49,21.46,0,2,0,-9.32
20,year 2008,,11,31,19*,7.75,0,20,4/38,20.90,0,1,0,-13.14
21,year 2009,,13,70,32,14.00,0,10,2/26,63.30,0,1,0,-49.29
22,year 2010,,14,34,13,4.85,0,15,4/36,38.13,0,5,0,-33.27
23,year 2011,,13,27,13*,9.00,0,25,5/33,21.16,1,1,0,-12.15
24,year 2012,,13,77,28,19.25,0,17,3/18,30.23,0,3,0,-10.98
25,year 2013,,8,35,15,8.75,0,10,3/34,33.40,0,1,0,-24.64
26,year 2014,,8,44,27,14.66,0,10,4/72,38.90,0,7,0,-24.23
27,year 2015,,19,66,18*,13.20,0,28,7/33,33.17,1,4,0,-19.97
28,year 2016,,10,93,55,13.28,0,14,3/40,36.35,0,2,0,-23.07
29,year 2017,,14,86,25*,17.20,0,17,3/45,43.35,0,5,0,-26.15
30,year 2018,,12,96,20,16.00,0,11,3/22,47.63,0,7,0,-31.63
31,year 2019,,5,17,9*,-,0,9,6/65,31.66,1,2,0,-
33,season 2008,,7,12,6,4.00,0,16,4/38,16.93,0,1,0,-12.93
34,season 2008/09,,14,84,32,21.00,0,10,2/33,65.20,0,0,0,-44.19
35,season 2009/10,,10,13,4*,2.60,0,13,4/36,35.07,0,5,0,-32.47
36,season 2010,,2,23,13,11.50,0,5,4/49,18.00,0,0,0,-6.49
37,season 2010/11,,18,30,13*,6.00,0,26,5/33,26.26,1,2,0,-20.26
38,season 2011/12,,4,35,28,17.50,0,2,1/50,101.00,0,0,0,-83.49
39,season 2012,,5,35,17*,17.50,0,10,3/37,19.60,0,2,0,-2.09
40,season 2012/13,,6,14,7*,14.00,0,9,3/18,24.22,0,2,0,-10.22
41,season 2013,,4,28,15,28.00,0,3,3/37,51.00,0,0,0,-22.99
42,season 2013/14,,8,39,27,9.75,0,11,4/72,35.36,0,7,0,-25.61
43,season 2014/15,,16,29,12*,7.25,0,26,7/33,29.00,1,3,0,-21.74
44,season 2015,,4,24,18,12.00,0,4,3/44,52.50,0,1,0,-40.49
45,season 2015/16,,1,18,18*,-,0,0,-,-,0,0,0,-
46,season 2016/17,,17,138,55,12.54,0,20,3/40,44.70,0,4,0,-32.15
47,season 2017,,3,12,10*,12.00,0,5,3/45,20.80,0,1,0,-8.79
48,season 2017/18,,14,92,25*,23.00,0,16,3/22,43.31,0,9,0,-20.31
49,season 2018/19,,6,43,20,21.50,0,9,6/65,32.66,1,2,0,-11.16
50,season 2019,,1,7,7*,-,0,1,1/70,70.00,0,0,0,-
52,*TWM Latham,2019-2019,1,-,-,-,-,6,6/65,10.83,1,1,0,-
