,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2016-2016,3,34,28,11.33,0,-,-,-,-,0,0,-
2,in Bangladesh,2013-2013,2,43,43,21.50,0,-,-,-,-,2,1,-
3,in England,2019-2019,10,155,57,19.37,0,-,-,-,-,21,0,-
4,in India,2016-2017,8,450,103*,75.00,1,-,-,-,-,5,0,-
5,in Ireland,2017-2017,4,257,104,64.25,1,-,-,-,-,4,0,-
6,in New Zealand,2012-2019,46,980,137,25.12,1,-,-,-,-,34,6,-
7,in South Africa,2015-2015,3,178,64,59.33,0,-,-,-,-,3,0,-
8,in Sri Lanka,2012-2013,4,101,86,33.66,0,-,-,-,-,2,0,-
9,in U.A.E.,2014-2018,8,155,68,31.00,0,-,-,-,-,5,0,-
10,in West Indies,2012-2012,4,57,32,14.25,0,-,-,-,-,2,0,-
11,in Zimbabwe,2015-2015,3,140,110*,70.00,1,-,-,-,-,1,0,-
13,in Africa,2015-2015,6,318,110*,63.60,1,-,-,-,-,4,0,-
14,in Americas,2012-2012,4,57,32,14.25,0,-,-,-,-,2,0,-
15,in Asia,2012-2018,22,749,103*,46.81,1,-,-,-,-,14,1,-
16,in Europe,2017-2019,14,412,104,34.33,1,-,-,-,-,25,0,-
17,in Oceania,2012-2019,49,1014,137,24.14,1,-,-,-,-,34,6,-
19,home,2012-2019,46,980,137,25.12,1,-,-,-,-,34,6,-
20,away,2012-2019,31,1226,110*,45.40,3,-,-,-,-,22,1,-
21,neutral,2014-2019,18,344,84,26.46,0,-,-,-,-,23,0,-
23,year 2012,,8,138,48,19.71,0,-,-,-,-,2,0,-
24,year 2013,,5,142,86,35.50,0,-,-,-,-,4,1,-
25,year 2014,,8,131,34,26.20,0,-,-,-,-,4,0,-
26,year 2015,,14,486,110*,40.50,1,-,-,-,-,10,0,-
27,year 2016,,14,461,137,35.46,1,-,-,-,-,5,0,-
28,year 2017,,15,546,104,39.00,2,-,-,-,-,17,3,-
29,year 2018,,13,299,79,27.18,0,-,-,-,-,9,1,-
30,year 2019,,18,347,59,26.69,0,-,-,-,-,28,2,-
32,season 2011/12,,3,79,48,39.50,0,-,-,-,-,0,0,-
33,season 2012,,4,57,32,14.25,0,-,-,-,-,2,0,-
34,season 2012/13,,1,2,2,2.00,0,-,-,-,-,0,0,-
35,season 2013/14,,5,142,86,35.50,0,-,-,-,-,4,1,-
36,season 2014/15,,13,222,42,22.20,0,-,-,-,-,7,0,-
37,season 2015,,6,318,110*,63.60,1,-,-,-,-,4,0,-
38,season 2015/16,,6,97,42,19.40,0,-,-,-,-,4,0,-
