,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2016,4,4,2*,4.00,0,7,3/49,31.42,0,2,0,-27.42
2,in England,2015-2019,15,10,4,5.00,0,26,4/30,27.65,0,12,0,-22.65
3,in India,2016-2017,7,9,5*,9.00,0,10,4/35,36.80,0,2,0,-27.79
4,in New Zealand,2013-2019,53,115,21*,11.50,0,111,7/34,21.43,5,12,0,-9.93
5,in Sri Lanka,2012-2012,4,-,-,-,-,3,1/23,36.66,0,0,0,-
6,in U.A.E.,2018-2018,3,9,8*,9.00,0,4,3/54,48.50,0,1,0,-39.49
7,in West Indies,2012-2012,3,7,5,7.00,0,3,2/45,40.33,0,1,0,-33.33
9,in Americas,2012-2012,3,7,5,7.00,0,3,2/45,40.33,0,1,0,-33.33
10,in Asia,2012-2018,14,18,8*,9.00,0,17,4/35,39.52,0,3,0,-30.52
11,in Europe,2015-2019,15,10,4,5.00,0,26,4/30,27.65,0,12,0,-22.65
12,in Oceania,2013-2019,57,119,21*,10.81,0,118,7/34,22.02,5,14,0,-11.20
14,home,2013-2019,53,115,21*,11.50,0,111,7/34,21.43,5,12,0,-9.93
15,away,2012-2019,23,25,5*,6.25,0,32,4/35,34.56,0,11,0,-28.31
16,neutral,2017-2019,13,14,8*,7.00,0,21,4/30,29.80,0,7,0,-22.80
18,year 2012,,7,7,5,7.00,0,6,2/45,38.50,0,1,0,-31.49
19,year 2013,,1,1,1,1.00,0,0,-,-,0,0,0,-
20,year 2014,,2,31,21*,31.00,0,4,2/40,27.50,0,0,0,3.50
21,year 2015,,17,13,13,13.00,0,36,5/27,19.77,1,4,0,-6.77
22,year 2016,,14,29,12,9.66,0,27,4/40,25.70,0,3,0,-16.03
23,year 2017,,16,23,16*,11.50,0,31,7/34,24.58,2,5,0,-13.08
24,year 2018,,12,26,13,8.66,0,22,5/17,28.90,1,3,0,-20.24
25,year 2019,,20,24,10*,6.00,0,38,5/21,23.97,1,14,0,-17.97
27,season 2012,,3,7,5,7.00,0,3,2/45,40.33,0,1,0,-33.33
28,season 2012/13,,5,1,1,1.00,0,3,1/23,55.00,0,0,0,-53.99
29,season 2014/15,,17,44,21*,22.00,0,34,5/27,21.00,1,1,0,1.00
30,season 2015,,2,0,0*,-,0,6,4/55,18.00,0,3,0,-
31,season 2015/16,,5,6,4*,-,0,13,4/40,19.00,0,0,0,-
32,season 2016/17,,16,44,16*,11.00,0,28,6/33,28.82,1,5,0,-17.82
33,season 2017,,3,0,0*,0.00,0,3,1/28,44.00,0,2,0,-43.99
34,season 2017/18,,15,19,13,9.50,0,32,7/34,22.25,2,3,0,-12.74
35,season 2018/19,,13,23,10*,5.75,0,25,5/21,25.04,1,8,0,-19.28
36,season 2019,,10,10,4,10.00,0,17,4/30,28.17,0,7,0,-18.17
38,*TWM Latham,2017-2019,4,-,-,-,-,13,7/34,13.00,1,1,0,-
39,*BB McCullum,2013-2016,23,47,21*,15.66,0,46,5/27,22.63,1,4,0,-6.96
40,*TG Southee,2018-2018,1,2,2,2.00,0,2,2/46,23.00,0,0,0,-20.99
41,*LRPL Taylor,2012-2012,6,6,5,6.00,0,4,1/23,46.50,0,1,0,-40.49
42,*KS Williamson,2012-2019,55,99,16*,9.00,0,99,6/33,26.95,3,24,0,-17.95
44,is not captain,2012-2019,89,154,21*,9.62,0,164,7/34,25.06,5,30,0,-15.44
